Results of a batch run
File ,  Year , Grain-C   , Shoot-C   , Root-C    , CutBiomassC, GrazedBiomassC, dSOC      , Field-CH4 , Field-N2O , Field-NO  , Field-N2  , Field-NH3 , Field-N-leach, Site_name                               
File ,  Year , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgN/ha    , kgN/ha    , kgN/ha    , kgN/ha    , kgN/ha    , Site_name                               
    1,      1,    3350.44,    3685.49,    1340.18,       0.00,       0.00,    1137.83,     -14.19,       0.33,       0.42,       0.00,       0.09,     275.41, boone                                   
