Daily P pools (kg P/ha) and fluxes (kg P/ha/day) at site boone1 in year 1
Day,OrganicP,LabileP,SorbedP,ComplexP,CropDemandP,DayUptakeP,CropP, Leach_P, SO4, H2S_flux
  1,  54.60,   0.02,  13.64,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
  2,  54.60,   0.02,  13.64,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
  3,  54.60,   0.02,  13.64,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
  4,  54.60,   0.01,  13.64,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
  5,  54.60,   0.01,  13.64,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
  6,  54.59,   0.01,  13.64,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
  7,  54.59,   0.01,  13.65,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
  8,  54.59,   0.01,  13.65,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
  9,  54.59,   0.02,  13.65,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 10,  54.59,   0.02,  13.65,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 11,  54.59,   0.02,  13.65,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 12,  54.59,   0.02,  13.65,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 13,  54.59,   0.02,  13.65,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 14,  54.59,   0.02,  13.65,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 15,  54.59,   0.02,  13.65,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 16,  54.59,   0.01,  13.65,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 17,  54.59,   0.01,  13.65,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 18,  54.59,   0.01,  13.65,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 19,  54.58,   0.01,  13.65,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 20,  54.58,   0.01,  13.66,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 21,  54.58,   0.01,  13.66,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 22,  54.58,   0.01,  13.66,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 23,  54.58,   0.01,  13.66,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 24,  54.58,   0.01,  13.66,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 25,  54.58,   0.01,  13.66,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 26,  54.58,   0.01,  13.66,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 27,  54.58,   0.01,  13.66,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
