Daily P pools (kg P/ha) and fluxes (kg P/ha/day) at site boone1 in year 1
Day,OrganicP,LabileP,SorbedP,ComplexP,CropDemandP,DayUptakeP,CropP, Leach_P, SO4, H2S_flux
 28,  54.58,   0.01,  13.66,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 29,  54.58,   0.01,  13.66,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 30,  54.58,   0.01,  13.66,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 31,  54.58,   0.01,  13.66,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 32,  54.58,   0.02,  13.66,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 33,  54.58,   0.02,  13.65,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 34,  54.58,   0.02,  13.65,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 35,  54.57,   0.02,  13.65,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 36,  54.57,   0.02,  13.66,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 37,  54.57,   0.02,  13.66,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 38,  54.57,   0.02,  13.66,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 39,  54.57,   0.02,  13.66,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 40,  54.57,   0.02,  13.66,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 41,  54.57,   0.02,  13.66,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 42,  54.57,   0.02,  13.67,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 43,  54.57,   0.02,  13.67,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 44,  54.57,   0.02,  13.67,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 45,  54.57,   0.02,  13.67,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 46,  54.56,   0.02,  13.67,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 47,  54.56,   0.02,  13.67,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 48,  54.56,   0.02,  13.67,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 49,  54.56,   0.02,  13.67,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 50,  54.56,   0.02,  13.67,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 51,  54.56,   0.02,  13.68,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 52,  54.56,   0.02,  13.68,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 53,  54.56,   0.03,  13.67,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 54,  54.56,   0.04,  13.66,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 55,  54.56,   0.03,  13.66,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 56,  54.56,   0.03,  13.67,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 57,  54.55,   0.03,  13.67,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 58,  54.55,   0.03,  13.67,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 59,  54.55,   0.03,  13.67,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 60,  54.55,   0.03,  13.68,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 61,  54.55,   0.03,  13.67,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 62,  54.55,   0.03,  13.67,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 63,  54.55,   0.03,  13.68,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 64,  54.54,   0.03,  13.68,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 65,  54.54,   0.03,  13.68,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 66,  54.54,   0.03,  13.69,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 67,  54.54,   0.02,  13.69,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 68,  54.54,   0.02,  13.69,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 69,  54.54,   0.02,  13.69,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 70,  54.54,   0.02,  13.70,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 71,  54.54,   0.02,  13.70,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 72,  54.53,   0.02,  13.70,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 73,  54.53,   0.02,  13.70,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 74,  54.53,   0.02,  13.70,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 75,  54.53,   0.02,  13.70,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 76,  54.53,   0.02,  13.70,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 77,  54.53,   0.02,  13.71,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 78,  54.53,   0.02,  13.71,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 79,  54.53,   0.02,  13.71,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 80,  54.53,   0.02,  13.70,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 81,  54.53,   0.02,  13.71,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 82,  54.52,   0.02,  13.71,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 83,  54.52,   0.02,  13.71,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 84,  54.52,   0.02,  13.71,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 85,  54.52,   0.02,  13.71,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 86,  54.52,   0.02,  13.71,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 87,  54.52,   0.02,  13.71,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 88,  54.52,   0.03,  13.71,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 89,  54.52,   0.04,  13.69,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 90,  54.51,   0.04,  13.69,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 91,  54.51,   0.04,  13.70,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 92,  54.51,   0.04,  13.70,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 93,  54.51,   0.04,  13.70,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 94,  54.51,   0.04,  13.71,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 95,  54.51,   0.04,  13.71,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 96,  54.51,   0.03,  13.71,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 97,  54.50,   0.03,  13.72,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 98,  54.50,   0.03,  13.72,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 99,  54.50,   0.03,  13.72,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
100,  54.50,   0.03,  13.73,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
101,  54.50,   0.04,  13.72,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
102,  54.50,   0.04,  13.71,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
103,  54.50,   0.04,  13.72,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
104,  54.49,   0.04,  13.72,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
105,  54.49,   0.03,  13.73,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
106,  54.49,   0.03,  13.73,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
107,  54.49,   0.03,  13.73,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
108,  54.49,   0.03,  13.74,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
109,  54.49,   0.03,  13.74,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
110,  54.49,   0.02,  13.74,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
111,  54.49,   0.02,  13.75,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
112,  54.48,   0.03,  13.74,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
113,  54.48,   0.03,  13.74,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
114,  54.48,   0.03,  13.74,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
115,  54.48,   0.03,  13.75,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
116,  54.48,   0.03,  13.74,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
117,  54.48,   0.04,  13.74,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
118,  54.47,   0.03,  13.71,   0.00,   0.06,   0.04,   0.04,   0.00,   0.00,   0.00
119,  54.46,   0.03,  13.69,   0.00,   0.13,   0.03,   0.07,   0.00,   0.00,   0.00
120,  54.46,   0.03,  13.67,   0.00,   0.05,   0.03,   0.10,   0.00,   0.00,   0.00
121,  54.45,   0.03,  13.65,   0.00,   0.04,   0.03,   0.12,   0.00,   0.00,   0.00
122,  54.44,   0.02,  13.64,   0.00,   0.09,   0.03,   0.15,   0.00,   0.00,   0.00
123,  54.44,   0.02,  13.62,   0.00,   0.04,   0.02,   0.17,   0.00,   0.00,   0.00
124,  54.43,   0.02,  13.61,   0.00,   0.02,   0.02,   0.19,   0.00,   0.00,   0.00
125,  54.42,   0.02,  13.59,   0.00,   0.03,   0.02,   0.21,   0.00,   0.00,   0.00
126,  54.42,   0.02,  13.58,   0.00,   0.03,   0.02,   0.23,   0.00,   0.00,   0.00
127,  54.41,   0.02,  13.56,   0.00,   0.08,   0.02,   0.25,   0.00,   0.00,   0.00
128,  54.41,   0.02,  13.55,   0.00,   0.05,   0.02,   0.27,   0.00,   0.00,   0.00
129,  54.40,   0.02,  13.54,   0.00,   0.03,   0.02,   0.29,   0.00,   0.00,   0.00
130,  54.40,   0.02,  13.52,   0.00,   0.05,   0.02,   0.31,   0.00,   0.00,   0.00
131,  54.39,   0.02,  13.51,   0.00,   0.04,   0.02,   0.33,   0.00,   0.00,   0.00
132,  54.39,   0.02,  13.50,   0.00,   0.02,   0.02,   0.34,   0.00,   0.00,   0.00
133,  54.38,   0.02,  13.48,   0.00,   0.03,   0.02,   0.36,   0.00,   0.00,   0.00
134,  54.38,   0.02,  13.47,   0.00,   0.25,   0.02,   0.38,   0.00,   0.00,   0.00
135,  54.37,   0.02,  13.46,   0.00,   0.19,   0.02,   0.40,   0.00,   0.00,   0.00
136,  54.37,   0.02,  13.44,   0.00,   0.10,   0.02,   0.42,   0.00,   0.00,   0.00
137,  54.36,   0.02,  13.43,   0.00,   0.05,   0.02,   0.44,   0.00,   0.00,   0.00
138,  54.36,   0.02,  13.42,   0.00,   0.10,   0.02,   0.46,   0.00,   0.00,   0.00
139,  54.35,   0.02,  13.40,   0.00,   0.50,   0.02,   0.47,   0.00,   0.00,   0.00
140,  54.35,   0.02,  13.39,   0.00,   0.86,   0.02,   0.49,   0.00,   0.00,   0.00
141,  54.34,   0.02,  13.38,   0.00,   0.72,   0.02,   0.50,   0.00,   0.00,   0.00
142,  54.34,   0.02,  13.37,   0.00,   0.26,   0.02,   0.52,   0.00,   0.00,   0.00
143,  54.33,   0.02,  13.36,   0.00,   0.11,   0.02,   0.54,   0.00,   0.00,   0.00
144,  54.33,   0.02,  13.34,   0.00,   0.06,   0.02,   0.55,   0.00,   0.00,   0.00
145,  54.33,   0.02,  13.32,   0.00,   0.12,   0.02,   0.58,   0.00,   0.00,   0.00
146,  54.32,   0.03,  13.30,   0.00,   0.13,   0.02,   0.60,   0.00,   0.00,   0.00
147,  54.31,   0.04,  13.26,   0.00,   0.18,   0.03,   0.63,   0.00,   0.00,   0.00
148,  54.31,   0.05,  13.22,   0.00,   0.38,   0.04,   0.67,   0.00,   0.00,   0.00
149,  54.30,   0.05,  13.18,   0.00,   0.59,   0.05,   0.72,   0.00,   0.00,   0.00
150,  54.29,   0.04,  13.14,   0.00,   0.79,   0.05,   0.77,   0.00,   0.00,   0.00
151,  54.28,   0.04,  13.11,   0.00,   0.68,   0.04,   0.81,   0.00,   0.00,   0.00
152,  54.27,   0.05,  13.07,   0.00,   0.42,   0.04,   0.85,   0.00,   0.00,   0.00
153,  54.27,   0.04,  13.04,   0.00,   0.42,   0.05,   0.90,   0.00,   0.00,   0.00
154,  54.26,   0.04,  13.01,   0.00,   0.42,   0.04,   0.94,   0.00,   0.00,   0.00
155,  54.25,   0.03,  12.98,   0.00,   0.52,   0.04,   0.98,   0.00,   0.00,   0.00
156,  54.24,   0.03,  12.95,   0.00,   0.35,   0.03,   1.01,   0.00,   0.00,   0.00
157,  54.23,   0.03,  12.93,   0.00,   0.77,   0.03,   1.04,   0.00,   0.00,   0.00
158,  54.22,   0.03,  12.90,   0.00,   0.76,   0.03,   1.07,   0.00,   0.00,   0.00
159,  54.21,   0.03,  12.87,   0.00,   0.54,   0.03,   1.11,   0.00,   0.00,   0.00
160,  54.21,   0.03,  12.85,   0.00,   0.56,   0.03,   1.14,   0.00,   0.00,   0.00
161,  54.20,   0.03,  12.83,   0.00,   0.89,   0.03,   1.17,   0.00,   0.00,   0.00
162,  54.19,   0.03,  12.81,   0.00,   0.96,   0.03,   1.20,   0.00,   0.00,   0.00
163,  54.18,   0.02,  12.80,   0.00,   0.99,   0.03,   1.22,   0.00,   0.00,   0.00
164,  54.17,   0.02,  12.78,   0.00,   0.55,   0.02,   1.25,   0.00,   0.00,   0.00
165,  54.16,   0.02,  12.76,   0.00,   0.57,   0.02,   1.27,   0.00,   0.00,   0.00
166,  54.15,   0.02,  12.75,   0.00,   0.78,   0.02,   1.29,   0.00,   0.00,   0.00
167,  54.15,   0.02,  12.73,   0.00,   0.46,   0.02,   1.32,   0.00,   0.00,   0.00
168,  54.14,   0.02,  12.72,   0.00,   0.40,   0.02,   1.34,   0.00,   0.00,   0.00
169,  54.13,   0.02,  12.71,   0.00,   0.47,   0.02,   1.36,   0.00,   0.00,   0.00
170,  54.12,   0.02,  12.69,   0.00,   0.79,   0.02,   1.38,   0.00,   0.00,   0.00
171,  54.12,   0.02,  12.68,   0.00,   0.85,   0.02,   1.40,   0.00,   0.00,   0.00
172,  54.11,   0.02,  12.67,   0.00,   0.59,   0.02,   1.42,   0.00,   0.00,   0.00
173,  54.10,   0.03,  12.64,   0.00,   0.43,   0.02,   1.44,   0.00,   0.00,   0.00
174,  54.09,   0.04,  12.61,   0.00,   0.61,   0.03,   1.48,   0.00,   0.00,   0.00
175,  54.08,   0.04,  12.58,   0.00,   1.13,   0.04,   1.52,   0.00,   0.00,   0.00
176,  54.08,   0.03,  12.55,   0.00,   1.67,   0.04,   1.56,   0.00,   0.00,   0.00
177,  54.07,   0.03,  12.53,   0.00,   1.94,   0.03,   1.59,   0.00,   0.00,   0.00
178,  54.06,   0.03,  12.51,   0.00,   2.01,   0.03,   1.62,   0.00,   0.00,   0.00
179,  54.05,   0.03,  12.49,   0.00,   1.46,   0.03,   1.65,   0.00,   0.00,   0.00
180,  54.04,   0.02,  12.47,   0.00,   1.22,   0.03,   1.68,   0.00,   0.00,   0.00
181,  54.03,   0.02,  12.46,   0.00,   1.66,   0.02,   1.70,   0.00,   0.00,   0.00
182,  54.02,   0.02,  12.45,   0.00,   1.29,   0.02,   1.72,   0.00,   0.00,   0.00
183,  54.02,   0.02,  12.43,   0.00,   1.35,   0.02,   1.74,   0.00,   0.00,   0.00
184,  54.01,   0.02,  12.42,   0.00,   1.50,   0.02,   1.76,   0.00,   0.00,   0.00
185,  54.00,   0.02,  12.41,   0.00,   1.75,   0.02,   1.78,   0.00,   0.00,   0.00
186,  53.99,   0.02,  12.40,   0.00,   2.06,   0.02,   1.80,   0.00,   0.00,   0.00
187,  53.99,   0.02,  12.39,   0.00,   2.08,   0.02,   1.82,   0.00,   0.00,   0.00
188,  53.98,   0.02,  12.38,   0.00,   1.72,   0.02,   1.83,   0.00,   0.00,   0.00
189,  53.97,   0.02,  12.38,   0.00,   1.74,   0.02,   1.85,   0.00,   0.00,   0.00
190,  53.96,   0.02,  12.37,   0.00,   1.37,   0.02,   1.87,   0.00,   0.00,   0.00
191,  53.96,   0.02,  12.36,   0.00,   0.78,   0.02,   1.88,   0.00,   0.00,   0.00
192,  53.95,   0.02,  12.34,   0.00,   0.64,   0.02,   1.90,   0.00,   0.00,   0.00
193,  53.94,   0.02,  12.33,   0.00,   0.82,   0.02,   1.92,   0.00,   0.00,   0.00
194,  53.93,   0.02,  12.32,   0.00,   1.07,   0.02,   1.94,   0.00,   0.00,   0.00
195,  53.92,   0.02,  12.30,   0.00,   0.97,   0.02,   1.97,   0.00,   0.00,   0.00
196,  53.92,   0.02,  12.29,   0.00,   0.92,   0.02,   1.99,   0.00,   0.00,   0.00
197,  53.91,   0.02,  12.28,   0.00,   0.84,   0.02,   2.01,   0.00,   0.00,   0.00
198,  53.90,   0.02,  12.27,   0.00,   0.93,   0.02,   2.03,   0.00,   0.00,   0.00
199,  53.89,   0.02,  12.26,   0.00,   0.89,   0.02,   2.05,   0.00,   0.00,   0.00
200,  53.88,   0.02,  12.24,   0.00,   0.81,   0.02,   2.07,   0.00,   0.00,   0.00
201,  53.87,   0.02,  12.23,   0.00,   0.78,   0.02,   2.09,   0.00,   0.00,   0.00
202,  53.87,   0.02,  12.21,   0.00,   0.90,   0.02,   2.11,   0.00,   0.00,   0.00
203,  53.86,   0.03,  12.19,   0.00,   0.92,   0.02,   2.13,   0.00,   0.00,   0.00
204,  53.85,   0.03,  12.17,   0.00,   0.86,   0.03,   2.16,   0.00,   0.00,   0.00
205,  53.84,   0.03,  12.15,   0.00,   0.25,   0.03,   2.19,   0.00,   0.00,   0.00
206,  53.83,   0.03,  12.12,   0.00,   0.08,   0.03,   2.23,   0.00,   0.00,   0.00
207,  53.82,   0.03,  12.10,   0.00,   0.08,   0.03,   2.26,   0.00,   0.00,   0.00
208,  53.81,   0.03,  12.09,   0.00,   0.08,   0.03,   2.28,   0.00,   0.00,   0.00
209,  53.81,   0.02,  12.07,   0.00,   0.07,   0.03,   2.31,   0.00,   0.00,   0.00
210,  53.80,   0.02,  12.06,   0.00,   0.07,   0.02,   2.33,   0.00,   0.00,   0.00
211,  53.79,   0.02,  12.05,   0.00,   0.07,   0.02,   2.35,   0.00,   0.00,   0.00
212,  53.78,   0.02,  12.03,   0.00,   0.06,   0.02,   2.37,   0.00,   0.00,   0.00
213,  53.78,   0.02,  12.02,   0.00,   0.06,   0.02,   2.39,   0.00,   0.00,   0.00
214,  53.77,   0.03,  12.00,   0.00,   0.06,   0.02,   2.42,   0.00,   0.00,   0.00
215,  53.76,   0.03,  11.98,   0.00,   0.07,   0.03,   2.44,   0.00,   0.00,   0.00
216,  53.75,   0.03,  11.96,   0.00,   0.07,   0.03,   2.47,   0.00,   0.00,   0.00
217,  53.74,   0.03,  11.94,   0.00,   0.07,   0.03,   2.50,   0.00,   0.00,   0.00
218,  53.73,   0.03,  11.92,   0.00,   0.07,   0.03,   2.53,   0.00,   0.00,   0.00
219,  53.72,   0.03,  11.90,   0.00,   0.07,   0.03,   2.56,   0.00,   0.00,   0.00
220,  53.72,   0.04,  11.87,   0.00,   0.07,   0.03,   2.59,   0.00,   0.00,   0.00
221,  53.71,   0.03,  11.84,   0.00,   0.07,   0.04,   2.62,   0.00,   0.00,   0.00
222,  53.70,   0.03,  11.82,   0.00,   0.07,   0.03,   2.66,   0.00,   0.00,   0.00
223,  53.69,   0.03,  11.80,   0.00,   0.07,   0.03,   2.69,   0.00,   0.00,   0.00
224,  53.68,   0.03,  11.77,   0.00,   0.07,   0.03,   2.72,   0.00,   0.00,   0.00
225,  53.67,   0.03,  11.75,   0.00,   0.07,   0.03,   2.75,   0.00,   0.00,   0.00
226,  53.66,   0.03,  11.72,   0.00,   0.07,   0.03,   2.79,   0.00,   0.00,   0.00
227,  53.66,   0.03,  11.71,   0.00,   0.07,   0.03,   2.82,   0.00,   0.00,   0.00
228,  53.65,   0.02,  11.69,   0.00,   0.07,   0.03,   2.84,   0.00,   0.00,   0.00
229,  53.64,   0.02,  11.68,   0.00,   0.06,   0.02,   2.87,   0.00,   0.00,   0.00
230,  53.63,   0.02,  11.66,   0.00,   0.05,   0.02,   2.89,   0.00,   0.00,   0.00
231,  53.62,   0.02,  11.65,   0.00,   0.05,   0.02,   2.91,   0.00,   0.00,   0.00
232,  53.62,   0.02,  11.64,   0.00,   0.05,   0.02,   2.93,   0.00,   0.00,   0.00
233,  53.61,   0.02,  11.63,   0.00,   0.05,   0.02,   2.94,   0.00,   0.00,   0.00
234,  53.60,   0.02,  11.62,   0.00,   0.04,   0.02,   2.96,   0.00,   0.00,   0.00
235,  53.60,   0.02,  11.61,   0.00,   0.02,   0.02,   2.98,   0.00,   0.00,   0.00
236,  53.59,   0.01,  11.62,   0.00,   0.00,   0.00,   2.98,   0.00,   0.00,   0.00
237,  53.58,   0.01,  11.62,   0.00,   0.00,   0.00,   2.98,   0.00,   0.00,   0.00
238,  53.58,   0.01,  11.63,   0.00,   0.00,   0.00,   2.98,   0.00,   0.00,   0.00
239,  53.57,   0.01,  11.64,   0.00,   0.00,   0.00,   2.98,   0.00,   0.00,   0.00
240,  53.57,   0.01,  11.64,   0.00,   0.00,   0.00,   2.98,   0.00,   0.00,   0.00
241,  53.56,   0.01,  11.65,   0.00,   0.00,   0.00,   2.98,   0.00,   0.00,   0.00
242,  53.56,   0.01,  11.65,   0.00,   0.00,   0.00,   2.98,   0.00,   0.00,   0.00
243,  53.55,   0.01,  11.66,   0.00,   0.00,   0.00,   2.98,   0.00,   0.00,   0.00
244,  53.55,   0.01,  11.66,   0.00,   0.00,   0.00,   2.98,   0.00,   0.00,   0.00
245,  53.54,   0.02,  11.66,   0.00,   0.00,   0.00,   2.98,   0.00,   0.00,   0.00
246,  53.54,   0.01,  11.67,   0.00,   0.00,   0.00,   2.98,   0.00,   0.00,   0.00
247,  53.53,   0.02,  11.67,   0.00,   0.00,   0.00,   2.98,   0.00,   0.00,   0.00
248,  53.52,   0.02,  11.68,   0.00,   0.00,   0.00,   2.98,   0.00,   0.00,   0.00
249,  53.52,   0.02,  11.69,   0.00,   0.00,   0.00,   2.98,   0.00,   0.00,   0.00
250,  53.51,   0.02,  11.70,   0.00,   0.00,   0.00,   2.98,   0.00,   0.00,   0.00
251,  53.50,   0.01,  11.70,   0.00,   0.00,   0.00,   2.98,   0.00,   0.00,   0.00
252,  53.50,   0.01,  11.71,   0.00,   0.00,   0.00,   2.98,   0.00,   0.00,   0.00
253,  53.49,   0.01,  11.71,   0.00,   0.00,   0.00,   2.98,   0.00,   0.00,   0.00
254,  53.49,   0.01,  11.72,   0.00,   0.00,   0.00,   2.98,   0.00,   0.00,   0.00
255,  53.48,   0.01,  11.72,   0.00,   0.00,   0.00,   2.98,   0.00,   0.00,   0.00
256,  53.48,   0.01,  11.73,   0.00,   0.00,   0.00,   2.98,   0.00,   0.00,   0.00
257,  53.48,   0.01,  11.73,   0.00,   0.00,   0.00,   2.98,   0.00,   0.00,   0.00
258,  53.47,   0.01,  11.74,   0.00,   0.00,   0.00,   2.98,   0.00,   0.00,   0.00
259,  53.46,   0.02,  11.74,   0.00,   0.00,   0.00,   2.98,   0.00,   0.00,   0.00
260,  53.46,   0.02,  11.75,   0.00,   0.00,   0.00,   2.98,   0.00,   0.00,   0.00
261,  53.45,   0.02,  11.75,   0.00,   0.00,   0.00,   2.98,   0.00,   0.00,   0.00
262,  53.44,   0.02,  11.76,   0.00,   0.00,   0.00,   2.98,   0.00,   0.00,   0.00
263,  53.44,   0.02,  11.77,   0.00,   0.00,   0.00,   2.98,   0.00,   0.00,   0.00
