Daily P pools (kg P/ha) and fluxes (kg P/ha/day) at site boone in year 1
Day,OrganicP,LabileP,SorbedP,ComplexP,CropDemandP,DayUptakeP,CropP, Leach_P, SO4, H2S_flux
  1, 138.00,   0.03,  34.48,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
  2, 138.00,   0.03,  34.49,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
  3, 137.99,   0.03,  34.49,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
  4, 137.99,   0.03,  34.49,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
  5, 137.99,   0.03,  34.50,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
  6, 137.98,   0.03,  34.50,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
  7, 137.98,   0.03,  34.51,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
  8, 137.97,   0.03,  34.51,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
  9, 137.97,   0.03,  34.51,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 10, 137.97,   0.03,  34.52,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 11, 137.96,   0.03,  34.52,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 12, 137.96,   0.03,  34.52,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 13, 137.96,   0.03,  34.53,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 14, 137.95,   0.03,  34.53,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 15, 137.95,   0.03,  34.53,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 16, 137.95,   0.03,  34.54,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 17, 137.94,   0.03,  34.54,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 18, 137.94,   0.03,  34.54,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 19, 137.94,   0.03,  34.55,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 20, 137.93,   0.03,  34.55,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 21, 137.93,   0.03,  34.55,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 22, 137.93,   0.03,  34.56,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 23, 137.93,   0.03,  34.56,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 24, 137.92,   0.03,  34.56,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 25, 137.92,   0.03,  34.56,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 26, 137.92,   0.03,  34.57,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 27, 137.92,   0.03,  34.57,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 28, 137.91,   0.03,  34.57,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 29, 137.91,   0.03,  34.57,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 30, 137.91,   0.03,  34.58,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 31, 137.91,   0.03,  34.58,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 32, 137.90,   0.03,  34.58,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 33, 137.90,   0.04,  34.57,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 34, 137.90,   0.04,  34.58,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 35, 137.90,   0.04,  34.57,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 36, 137.89,   0.04,  34.57,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 37, 137.89,   0.05,  34.57,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 38, 137.89,   0.05,  34.58,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 39, 137.88,   0.05,  34.58,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 40, 137.88,   0.05,  34.58,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 41, 137.88,   0.05,  34.59,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
 42, 137.87,   0.05,  34.59,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
