Daily soil climate at site boone in year 1
,,,,Soil_temperature,,,,,,,Soil_moisture(wfps),,,,,,,Soil_oxygen(kg O2/layer),,,,,,Soil_Eh(mv),,,,,,WT(m), Ice(wfps),,,,,,Ice,Snowpack,SoilWater,DeepWater,Soil_pH,,,,,,SurfaceWaterT
  9,   0.50,   3.00,    0.4,    1.1,    1.1,    2.2,    3.8,    5.6,    6.7,    7.4,   0.33,   0.33,   0.33,   0.28,   0.22,   0.16,   0.16,   13.7,   19.7,   21.5,   22.8,   24.7,   25.0,  286.9,  412.1,  449.8,  476.4,  516.8,  522.3,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  50.07,   40.9,  53.87,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 10,  -1.50,   2.00,    0.4,    1.1,    1.1,    2.1,    3.6,    5.4,    6.5,    7.1,   0.29,   0.29,   0.30,   0.30,   0.23,   0.16,   0.16,   20.3,   20.1,   21.1,   22.5,   24.7,   25.0,  423.4,  419.6,  441.8,  471.0,  515.6,  522.1,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  51.64,   40.7,  53.50,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 11,  -4.50,   0.00,    0.3,    1.1,    1.1,    2.0,    3.5,    5.2,    6.2,    6.9,   0.28,   0.28,   0.29,   0.29,   0.27,   0.17,   0.16,   21.2,   21.1,   20.9,   22.2,   24.6,   25.0,  444.1,  440.0,  436.7,  463.1,  513.9,  521.9,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  51.30,   40.5,  53.12,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 12,  -3.00,   0.00,    0.3,    1.0,    1.0,    2.0,    3.3,    5.0,    6.0,    6.7,   0.27,   0.27,   0.28,   0.28,   0.29,   0.17,   0.16,   21.6,   21.5,   21.2,   21.5,   24.5,   25.0,  452.4,  449.2,  443.9,  450.0,  511.6,  521.6,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  50.95,   40.3,  52.75,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 13,  -3.25,   0.00,    0.4,    1.0,    1.0,    1.9,    3.2,    4.8,    5.8,    6.5,   0.27,   0.27,   0.27,   0.28,   0.28,   0.17,   0.16,   21.9,   21.7,   21.5,   21.4,   24.3,   24.9,  457.0,  454.5,  449.6,  446.5,  508.1,  521.2,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  50.51,   40.1,  52.39,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 14,  -6.50,   0.00,    0.3,    0.9,    0.9,    1.8,    3.1,    4.7,    5.6,    6.3,   0.26,   0.26,   0.27,   0.27,   0.28,   0.17,   0.16,   22.0,   21.9,   21.7,   21.5,   24.1,   24.9,  459.8,  457.9,  453.7,  449.9,  504.6,  520.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  50.17,   39.9,  52.02,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 15,  -8.75,   0.00,    0.3,    0.9,    0.9,    1.7,    3.0,    4.5,    5.4,    6.1,   0.26,   0.26,   0.26,   0.27,   0.27,   0.17,   0.16,   22.1,   22.0,   21.9,   21.7,   24.0,   24.9,  461.7,  460.2,  456.8,  453.6,  502.2,  520.4,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  49.83,   39.7,  51.67,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 16,  -7.00,   0.00,    0.3,    0.8,    0.8,    1.7,    2.9,    4.3,    5.3,    5.9,   0.26,   0.26,   0.26,   0.26,   0.27,   0.17,   0.16,   22.2,   22.1,   22.0,   21.8,   23.9,   24.9,  463.1,  461.9,  459.3,  456.4,  499.3,  519.9,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  49.52,   39.5,  51.31,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 17,  -6.25,   1.00,    0.4,    0.8,    0.8,    1.6,    2.8,    4.2,    5.1,    5.7,   0.26,   0.26,   0.26,   0.26,   0.27,   0.18,   0.16,   22.2,   22.2,   22.1,   21.9,   23.8,   24.9,  464.2,  463.3,  461.1,  458.6,  497.3,  519.6,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  50.16,   39.3,  50.96,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 18, -12.25,   0.00,    0.4,    0.7,    0.7,    1.5,    2.7,    4.1,    4.9,    5.6,   0.26,   0.26,   0.26,   0.26,   0.26,   0.18,   0.16,   22.2,   22.2,   22.1,   22.0,   23.7,   24.8,  465.0,  464.3,  462.5,  460.5,  496.3,  519.3,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  49.80,   39.2,  50.61,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 19, -11.75,   0.00,    0.4,    0.7,    0.7,    1.5,    2.6,    3.9,    4.8,    5.4,   0.26,   0.26,   0.26,   0.26,   0.26,   0.18,   0.16,   22.3,   22.2,   22.2,   22.1,   23.7,   24.8,  465.6,  465.0,  463.6,  462.0,  496.1,  519.1,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  49.44,   39.0,  50.27,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 20,  -7.75,   0.00,    0.4,    0.7,    0.7,    1.4,    2.5,    3.8,    4.7,    5.3,   0.25,   0.25,   0.26,   0.26,   0.26,   0.18,   0.17,   22.3,   22.3,   22.2,   22.2,   23.8,   24.8,  466.1,  465.6,  464.5,  463.2,  496.7,  519.0,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  49.08,   38.8,  49.92,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 21,  -9.75,   0.00,    0.3,    0.7,    0.7,    1.4,    2.4,    3.7,    4.5,    5.2,   0.25,   0.25,   0.26,   0.26,   0.26,   0.18,   0.17,   22.3,   22.3,   22.3,   22.2,   23.8,   24.8,  466.5,  466.1,  465.2,  464.2,  498.1,  518.9,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  48.79,   38.6,  49.59,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 22, -12.00,   0.00,    0.2,    0.6,    0.6,    1.3,    2.3,    3.6,    4.4,    5.0,   0.25,   0.25,   0.25,   0.26,   0.26,   0.18,   0.17,   22.3,   22.3,   22.3,   22.2,   23.9,   24.8,  466.8,  466.5,  465.8,  465.0,  500.0,  518.8,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  48.54,   38.4,  49.25,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 23, -13.50,   0.00,    0.2,    0.6,    0.6,    1.3,    2.3,    3.5,    4.3,    4.9,   0.25,   0.25,   0.25,   0.26,   0.26,   0.18,   0.17,   22.3,   22.3,   22.3,   22.3,   24.0,   24.8,  467.0,  466.8,  466.2,  465.6,  502.4,  518.8,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  48.32,   38.2,  48.92,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 24, -10.50,   0.00,    0.3,    0.6,    0.6,    1.2,    2.2,    3.4,    4.2,    4.8,   0.25,   0.25,   0.25,   0.25,   0.26,   0.18,   0.17,   22.4,   22.3,   22.3,   22.3,   24.2,   24.8,  467.2,  467.0,  466.6,  466.1,  505.1,  518.9,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  47.98,   38.0,  48.59,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 25,  -8.50,   0.00,    0.4,    0.6,    0.6,    1.2,    2.1,    3.3,    4.1,    4.7,   0.25,   0.25,   0.25,   0.25,   0.25,   0.17,   0.17,   22.4,   22.4,   22.3,   22.3,   24.3,   24.8,  467.4,  467.2,  466.9,  466.5,  508.2,  519.0,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  47.56,   37.8,  48.27,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 26,  -5.00,   0.00,    0.5,    0.6,    0.6,    1.2,    2.1,    3.2,    4.0,    4.6,   0.25,   0.25,   0.25,   0.25,   0.25,   0.17,   0.17,   22.4,   22.4,   22.3,   22.3,   24.5,   24.8,  467.5,  467.4,  467.1,  466.8,  511.5,  519.1,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  47.10,   37.6,  47.95,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 27,  -8.00,   1.00,    0.4,    0.5,    0.5,    1.1,    2.0,    3.2,    3.9,    4.5,   0.25,   0.25,   0.25,   0.25,   0.25,   0.16,   0.17,   22.4,   22.4,   22.4,   22.3,   24.6,   24.8,  467.6,  467.5,  467.3,  467.0,  514.9,  519.4,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  47.68,   37.4,  47.63,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 28, -13.00,   0.00,    0.3,    0.5,    0.5,    1.1,    2.0,    3.1,    3.8,    4.4,   0.25,   0.25,   0.25,   0.25,   0.25,   0.16,   0.17,   22.4,   22.4,   22.4,   22.4,   24.8,   24.9,  467.7,  467.6,  467.4,  467.2,  518.4,  519.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  47.35,   37.3,  47.32,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 29,  -7.25,   0.00,    0.4,    0.5,    0.5,    1.1,    1.9,    3.0,    3.8,    4.4,   0.25,   0.25,   0.25,   0.25,   0.25,   0.15,   0.17,   22.4,   22.4,   22.4,   22.4,   25.0,   24.9,  467.7,  467.7,  467.5,  467.4,  522.0,  520.1,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  46.97,   37.1,  47.01,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 30,  -6.25,   0.00,    0.5,    0.5,    0.5,    1.1,    1.9,    3.0,    3.7,    4.3,   0.25,   0.25,   0.25,   0.25,   0.25,   0.14,   0.17,   22.4,   22.4,   22.4,   22.4,   25.1,   24.9,  467.8,  467.7,  467.6,  467.5,  525.5,  520.6,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  46.49,   36.9,  46.70,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 31,  -2.00,   0.00,    0.5,    0.5,    0.5,    1.1,    1.9,    2.9,    3.6,    4.2,   0.25,   0.25,   0.25,   0.25,   0.25,   0.13,   0.17,   22.4,   22.4,   22.4,   22.4,   25.3,   24.9,  467.8,  467.8,  467.7,  467.6,  529.0,  521.2,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  46.01,   36.7,  46.40,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 32,   0.25,   4.00,    0.3,    0.5,    0.5,    1.0,    1.8,    2.8,    3.6,    4.2,   0.35,   0.35,   0.35,   0.26,   0.25,   0.13,   0.17,   11.3,   19.4,   22.0,   22.4,   25.5,   25.0,  235.4,  405.0,  459.9,  467.2,  532.4,  522.0,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  45.71,   40.5,  46.10,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 33,   1.00,  19.00,    0.3,    0.5,    0.5,    1.0,    1.8,    2.8,    3.5,    4.1,   0.62,   0.62,   0.69,   0.43,   0.26,   0.12,   0.17,    0.0,   14.3,   20.7,   22.3,   25.6,   25.0,    0.0,  299.3,  432.3,  465.1,  535.4,  522.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  45.42,   59.3,  45.80,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 34,   3.50,   0.00,    0.5,    0.5,    0.5,    1.0,    1.8,    2.8,    3.4,    4.0,   0.47,   0.47,   0.53,   0.56,   0.31,   0.11,   0.17,   11.7,   10.3,   14.0,   21.3,   25.6,   25.0,  244.1,  215.5,  291.7,  445.5,  535.7,  523.3,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  44.42,   59.1,  45.51,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 35,   3.75,   4.00,    0.5,    0.5,    0.5,    1.0,    1.8,    2.7,    3.4,    4.0,   0.45,   0.45,   0.50,   0.54,   0.42,   0.12,   0.17,    5.3,   11.9,   13.1,   18.9,   25.2,   25.0,  110.3,  248.1,  273.4,  394.9,  526.4,  522.8,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  43.44,   62.9,  45.22,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 36,  -0.50,   0.00,    0.6,    0.5,    0.5,    1.0,    1.7,    2.7,    3.3,    3.9,   0.38,   0.38,   0.43,   0.48,   0.49,   0.20,   0.17,   16.6,   15.6,   14.2,   16.2,   23.6,   24.9,  346.1,  325.2,  297.5,  338.2,  494.3,  519.6,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  42.88,   62.7,  44.93,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 37,  -5.00,   0.00,    0.5,    0.4,    0.4,    0.9,    1.7,    2.6,    3.3,    3.9,   0.35,   0.35,   0.38,   0.43,   0.47,   0.39,   0.17,   18.5,   17.7,   16.1,   15.3,   20.4,   24.5,  386.6,  369.1,  336.5,  319.7,  426.9,  511.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  42.41,   62.5,  44.64,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 38,  -4.50,  10.00,    0.3,    0.5,    0.5,    0.9,    1.7,    2.6,    3.3,    3.9,   0.33,   0.33,   0.35,   0.40,   0.44,   0.44,   0.18,   19.6,   18.9,   17.5,   16.2,   17.1,   23.6,  408.7,  395.0,  366.1,  339.1,  357.8,  494.0,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  52.12,   62.3,  44.36,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 39,  -8.00,   0.00,    0.4,    0.5,    0.5,    0.9,    1.6,    2.6,    3.2,    3.8,   0.31,   0.31,   0.33,   0.37,   0.41,   0.42,   0.33,   20.2,   19.7,   18.6,   17.2,   16.8,   21.7,  423.1,  412.3,  387.9,  360.1,  351.3,  454.4,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  51.68,   62.1,  44.09,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 40,  -5.50,   0.00,    0.5,    0.5,    0.5,    0.9,    1.6,    2.5,    3.2,    3.8,   0.30,   0.30,   0.32,   0.35,   0.38,   0.40,   0.39,   20.7,   20.3,   19.3,   18.1,   17.5,   18.7,  433.1,  424.5,  404.1,  378.2,  366.2,  391.8,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  51.14,   61.3,  44.31,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 41,  -3.25,   3.00,    0.5,    0.5,    0.5,    0.9,    1.6,    2.5,    3.2,    3.8,   0.29,   0.29,   0.30,   0.33,   0.36,   0.38,   0.39,   21.1,   20.7,   19.9,   18.8,   18.2,   18.0,  440.4,  433.4,  416.6,  393.2,  380.2,  377.0,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  53.67,   59.1,  45.76,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 42,  -4.75,   0.00,    0.4,    0.5,    0.5,    0.9,    1.6,    2.5,    3.1,    3.7,   0.28,   0.28,   0.29,   0.31,   0.34,   0.36,   0.37,   21.3,   21.1,   20.4,   19.4,   18.8,   18.4,  445.9,  440.2,  426.2,  405.6,  392.7,  385.3,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  53.22,   56.8,  47.31,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 43,  -7.25,   1.00,    0.4,    0.5,    0.5,    0.9,    1.6,    2.5,    3.1,    3.7,   0.28,   0.28,   0.29,   0.30,   0.33,   0.35,   0.36,   21.5,   21.3,   20.8,   19.9,   19.3,   18.9,  450.1,  445.5,  433.8,  415.7,  403.5,  395.0,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  53.78,   54.7,  48.63,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 44, -10.75,   0.00,    0.3,    0.4,    0.4,    0.9,    1.6,    2.5,    3.1,    3.7,   0.27,   0.27,   0.28,   0.30,   0.32,   0.33,   0.34,   21.7,   21.5,   21.0,   20.3,   19.8,   19.4,  453.4,  449.6,  439.8,  424.2,  412.9,  404.8,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  53.43,   52.9,  49.68,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 45, -13.75,   0.00,    0.4,    0.4,    0.4,    0.9,    1.5,    2.4,    3.1,    3.7,   0.27,   0.27,   0.28,   0.29,   0.31,   0.32,   0.33,   21.8,   21.7,   21.3,   20.6,   20.2,   19.8,  456.0,  452.8,  444.6,  431.2,  421.2,  413.9,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  53.06,   51.3,  50.51,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 46, -13.25,   0.00,    0.3,    0.4,    0.4,    0.9,    1.5,    2.4,    3.0,    3.6,   0.27,   0.27,   0.27,   0.28,   0.30,   0.31,   0.32,   21.9,   21.8,   21.5,   20.9,   20.5,   20.2,  458.0,  455.4,  448.5,  437.1,  428.4,  422.0,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  52.75,   50.0,  51.12,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 47, -13.75,   0.00,    0.3,    0.4,    0.4,    0.8,    1.5,    2.4,    3.0,    3.6,   0.26,   0.26,   0.27,   0.28,   0.29,   0.30,   0.31,   22.0,   21.9,   21.6,   21.1,   20.8,   20.5,  459.7,  457.5,  451.8,  442.0,  434.6,  429.0,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  52.47,   48.9,  51.56,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 48,  -9.75,  29.00,    0.2,    0.5,    0.5,    0.9,    1.5,    2.4,    3.0,    3.6,   0.26,   0.26,   0.27,   0.27,   0.28,   0.29,   0.30,   22.1,   22.0,   21.7,   21.3,   21.0,   20.8,  461.1,  459.3,  454.4,  446.2,  439.9,  435.1,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  81.28,   47.9,  51.85,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 49,  -6.75,  14.00,    0.2,    0.6,    0.6,    0.9,    1.5,    2.4,    3.0,    3.6,   0.26,   0.26,   0.26,   0.27,   0.28,   0.29,   0.29,   22.1,   22.0,   21.8,   21.5,   21.3,   21.1,  462.2,  460.7,  456.6,  449.7,  444.3,  440.3,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  95.07,   47.1,  52.00,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 50,  -1.00,   0.00,    0.4,    0.6,    0.6,    1.0,    1.6,    2.4,    3.0,    3.6,   0.26,   0.26,   0.26,   0.27,   0.28,   0.28,   0.29,   22.2,   22.1,   21.9,   21.7,   21.4,   21.3,  463.2,  461.9,  458.5,  452.6,  448.1,  444.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  94.68,   46.5,  52.05,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 51,   2.25,   0.00,    0.5,    0.7,    0.7,    1.0,    1.6,    2.4,    2.9,    3.5,   0.26,   0.26,   0.26,   0.26,   0.27,   0.28,   0.28,   22.2,   22.1,   22.0,   21.8,   21.6,   21.5,  464.0,  462.9,  460.0,  455.1,  451.3,  448.4,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  94.19,   45.9,  52.01,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 52,   3.00,   0.00,    0.7,    0.7,    0.7,    1.0,    1.6,    2.4,    2.9,    3.5,   0.26,   0.26,   0.26,   0.26,   0.27,   0.27,   0.28,   22.2,   22.2,   22.1,   21.9,   21.7,   21.6,  464.6,  463.7,  461.3,  457.2,  454.0,  451.5,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  93.52,   45.4,  51.89,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 53,   4.00,  24.00,    0.4,    0.7,    0.7,    1.1,    1.6,    2.4,    2.9,    3.5,   0.63,   0.63,   0.71,   0.45,   0.27,   0.27,   0.27,    0.0,   16.4,   21.4,   21.9,   21.8,   21.7,    0.0,  342.5,  447.1,  458.0,  456.1,  454.1,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  92.66,   69.0,  51.71,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 54,   1.50,  21.00,    0.3,    0.7,    0.7,    1.1,    1.6,    2.4,    2.9,    3.5,   0.66,   0.66,   0.78,   0.87,   0.36,   0.27,   0.27,    0.0,    6.2,   12.6,   21.0,   21.7,   21.8,    0.0,  128.9,  264.3,  438.1,  454.5,  455.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  92.38,   89.7,  51.49,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 55,  -1.75,   0.00,    0.3,    0.7,    0.7,    1.1,    1.6,    2.4,    2.9,    3.5,   0.53,   0.53,   0.62,   0.72,   0.59,   0.33,   0.28,   10.4,    8.1,    5.0,   15.2,   20.7,   21.7,  217.3,  170.0,  103.6,  317.1,  432.2,  453.1,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  92.04,   89.3,  51.28,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 56,  -5.25,   0.00,    0.3,    0.7,    0.7,    1.1,    1.6,    2.4,    2.9,    3.5,   0.45,   0.45,   0.52,   0.62,   0.67,   0.48,   0.31,   14.2,   12.5,    9.4,   10.3,   17.6,   21.0,  297.5,  261.2,  196.2,  215.0,  367.7,  438.8,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  91.75,   88.8,  51.20,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
