Daily soil climate at site boone in year 1
,,,,Soil_temperature,,,,,,,Soil_moisture(wfps),,,,,,,Soil_oxygen(kg O2/layer),,,,,,Soil_Eh(mv),,,,,,WT(m), Ice(wfps),,,,,,Ice,Snowpack,SoilWater,DeepWater,Soil_pH,,,,,,SurfaceWaterT
Day,Temp.(C),Prec.(mm),PET,1,5,10,20,30,40,50,1,5,10,20,30,40,50,1,10,20,30,40,50,1,10,20,30,40,50,,1,10,20,30,40,50,(mm),(mm),(mm),(mm),1,10,20,30,40,50, degreeC

  1,   3.00,  12.00,    0.5,    4.7,    4.7,    6.2,    8.0,    9.1,    9.3,    9.3,   0.46,   0.46,   0.48,   0.17,   0.16,   0.16,   0.16,    0.0,   18.6,   24.2,   25.0,   25.0,   25.0,    0.0,  389.0,  506.3,  522.0,  522.9,  523.0,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   39.4,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
  2,  -1.50,  10.00,    0.5,    0.7,    0.7,    3.2,    6.2,    8.5,    9.1,    9.3,   0.36,   0.36,   0.38,   0.24,   0.16,   0.16,   0.16,   16.3,   15.9,   22.9,   24.9,   25.0,   25.0,  340.9,  332.4,  478.6,  520.3,  522.7,  523.0,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   9.50,   39.2,  56.62,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
  3,  -2.00,  12.00,    0.4,    0.8,    0.8,    2.7,    5.2,    7.8,    8.8,    9.1,   0.32,   0.32,   0.34,   0.34,   0.16,   0.16,   0.16,   19.3,   18.8,   20.7,   24.8,   25.0,   25.0,  403.0,  393.0,  433.4,  517.3,  522.3,  523.0,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  21.12,   39.0,  56.22,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
  4,  -1.25,  25.00,    0.3,    1.2,    1.2,    2.6,    4.7,    7.2,    8.4,    8.9,   0.30,   0.30,   0.31,   0.32,   0.16,   0.16,   0.16,   20.5,   20.1,   19.8,   24.5,   25.0,   25.0,  428.4,  421.0,  414.7,  512.6,  521.7,  522.9,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  45.84,   38.8,  55.82,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
  5,  -3.25,   1.00,    0.4,    1.2,    1.2,    2.6,    4.5,    6.8,    8.0,    8.6,   0.28,   0.28,   0.29,   0.30,   0.17,   0.16,   0.16,   21.1,   20.9,   20.5,   24.2,   24.9,   25.0,  441.7,  436.4,  428.4,  506.1,  520.9,  522.8,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  46.47,   38.6,  55.42,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
  6,  -3.75,   2.00,    0.3,    1.2,    1.2,    2.5,    4.3,    6.4,    7.6,    8.3,   0.27,   0.27,   0.28,   0.29,   0.17,   0.16,   0.16,   21.5,   21.3,   21.0,   23.9,   24.9,   25.0,  449.7,  445.8,  438.9,  498.7,  520.0,  522.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  48.15,   38.4,  55.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
  7,  -4.50,   2.00,    0.3,    1.2,    1.2,    2.4,    4.1,    6.1,    7.3,    8.0,   0.27,   0.27,   0.27,   0.28,   0.18,   0.16,   0.16,   21.8,   21.6,   21.4,   23.4,   24.8,   25.0,  454.9,  452.0,  446.5,  489.7,  518.8,  522.5,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  49.86,   38.2,  54.64,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
  8,  -3.75,   1.00,    0.4,    1.2,    1.2,    2.3,    3.9,    5.9,    7.0,    7.7,   0.26,   0.26,   0.27,   0.27,   0.20,   0.16,   0.16,   21.9,   21.8,   21.6,   23.1,   24.8,   25.0,  458.4,  456.2,  451.8,  483.3,  517.9,  522.4,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  50.43,   38.0,  54.26,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
