Multi-year report for site boone

Year ,GrainC1    ,LeafC1     ,StemC1     ,RootC1     ,GrainC2    ,LeafC2     ,StemC2     ,RootC2     ,GrainC3    ,LeafC3     ,StemC3     ,RootC3     ,SOC 0-10cm ,SOC 10-20cm,SOC 20-30cm,SOC 30-40cm,SOC 40-50cm,SOC 0-10cm ,SOC 10-20cm,SOC 20-30cm,SOC 30-40cm,SOC 40-50cm,IniSOC     ,End_SOC    ,dSOC       ,LitterC_input,RootC_input,ManureC_input,Soil-CO2   ,Leach_DOC  ,CH4        ,IniSON     ,IniSIN     ,EndSON     ,EndSIN     ,dSN        ,Atmo_N_input,Fertilizer_N_input,Manure_N_input,Litter_N_input,N_fixation ,Crop_N_uptake,Leach_NO3  ,Runoff_SON ,Leach_DON  ,N2O_flux   ,NO_flux    ,N2_flux    ,NH3_flux   ,exchengeable-NH4,PET        ,Transpiration,Evaporation,WaterLeach ,Runoff     ,Irrigation ,Precipitation,MeanT      ,WindSpeed  ,ColdStress ,WaterStress,N_Stress   ,Cut_CropC  ,yr_end_grain,yr_end_leaf,yr_end_stem,yr_end_root,yr_end_stub
     ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/kg     ,kgC/kg     ,kgC/kg     ,kgC/kg     ,kgC/kg     ,,kgC/ha     kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgN/ha     ,kgN/ha     ,kgN/ha     ,kgN/ha     ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha     ,mm         ,mm         ,mm         ,mm         ,mm         ,mm         ,mm         ,degree     ,m/s        ,           ,           ,           ,kgC/ha/y   ,kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha     

    1,    3350.44,    1842.74,    1842.74,    1340.18,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,         0.0160,         0.0157,         0.0239,         0.0387,         0.0475,   17742.77,   17403.03,   26458.19,   42788.69,   87493.60,  190748.45,  191886.28,        1137.83,        2211.29,        1340.18,           0.00,        2115.46,          71.39,         -14.19,       18903.17,         111.55,       18838.97,          31.85,        -143.89,           0.00,         271.00,           0.00,          44.31,           0.00,         129.81,         275.41,          40.57,           7.14,           0.33,           0.42,           0.00,           0.09,           3.35,         563.77,         223.57,         188.58,         408.62,         373.49,           0.00,        1390.00,           9.28,           2.00,           1.00,       0.99,       0.99,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00
