Jday  DM       DungN  UrineN P      H2O       Animal
196   1624.0   23.3   69.8   3.09   18324.3     4
197   1622.4   23.0   68.9   3.08   18305.9     4
198   1607.3   23.1   69.4   3.05   18135.2     4
199   1606.0   22.9   68.6   3.05   18120.5     4
200   1626.4   23.5   70.5   3.09   18350.7     4
201   1625.3   23.2   69.7   3.09   18338.4     4
202   1623.6   22.9   68.7   3.08   18319.6     4
203   1626.3   23.3   69.9   3.09   18350.6     4
204   1609.7   22.8   68.5   3.06   18162.2     4
205   1611.2   23.2   69.6   3.06   18179.4     4
206   1609.9   22.9   68.8   3.06   18164.9     4
207   1629.2   23.5   70.6   3.10   18382.9     4
208   1627.6   23.2   69.7   3.09   18365.2     4
209   1626.3   23.0   68.9   3.09   18349.7     4
210   1612.4   23.1   69.4   3.06   18193.2     4
211   1611.2   22.9   68.6   3.06   18179.4     4
212   1612.7   23.2   69.7   3.06   18196.7     4
213   1611.1   22.9   68.8   3.06   18178.9     4
214   1630.4   23.5   70.6   3.10   18396.8     4
215   1629.3   23.3   69.8   3.10   18383.4     4
216   1612.6   22.8   68.5   3.06   18195.9     4
217   1615.4   23.2   69.6   3.07   18227.3     4
218   1613.7   22.9   68.7   3.07   18208.0     4
219   1616.5   23.3   69.8   3.07   18239.7     4
220   1614.0   23.0   69.0   3.07   18210.9     4
221   1634.4   23.6   70.9   3.11   18441.3     4
222   1616.3   23.1   69.3   3.07   18237.1     4
223   1614.5   22.8   68.4   3.07   18217.2     4
224   1617.3   23.2   69.5   3.07   18248.2     4
225   1615.9   22.9   68.7   3.07   18233.0     4
226   1618.7   23.3   69.8   3.08   18264.6     4
227   1616.2   23.0   69.0   3.07   18236.7     4
228   1620.2   23.4   70.3   3.08   18281.3     4
229   1619.0   23.2   69.5   3.08   18268.1     4
230   1617.7   22.9   68.7   3.07   18252.8     4
231   1620.5   23.3   69.8   3.08   18284.3     4
232   1618.9   23.0   68.9   3.08   18266.2     4
233   1621.7   23.3   70.0   3.08   18297.9     4
234   1602.1   22.8   68.4   3.04   18077.0     4
235   1622.5   23.4   70.3   3.08   18307.1     4
236   1621.3   23.2   69.5   3.08   18293.8     4
237   1619.6   22.9   68.6   3.08   18274.9     4
238   1622.4   23.2   69.7   3.08   18305.9     4
239   1621.0   23.0   68.9   3.08   18290.8     4
240   1608.5   23.2   69.5   3.06   18149.1     4
241   1605.9   22.9   68.6   3.05   18120.1     4
242   1625.2   23.5   70.5   3.09   18338.0     4
243   1623.8   23.2   69.5   3.09   18321.3     4
244   1622.4   22.9   68.7   3.08   18305.7     4
245   1625.1   23.3   69.8   3.09   18336.8     4
246   1607.2   22.8   68.4   3.05   18134.1     4
247   1610.0   23.2   69.6   3.06   18165.7     4
248   1608.4   22.9   68.6   3.06   18147.9     4
249   1626.4   23.5   70.4   3.09   18351.1     4
250   1625.2   23.2   69.6   3.09   18337.6     4
251   1623.9   22.9   68.8   3.09   18323.1     4
252   1611.3   23.1   69.4   3.06   18181.1     4
253   1609.7   22.8   68.5   3.06   18162.7     4
254   1612.5   23.2   69.6   3.06   18194.2     4
255   1611.2   22.9   68.8   3.06   18179.5     4
256   1630.3   23.5   70.6   3.10   18395.3     4
257   1629.2   23.3   69.8   3.10   18383.1     4
258   1609.5   22.7   68.2   3.06   18160.4     4
259   1613.6   23.1   69.4   3.07   18206.6     4
260   1612.2   22.9   68.6   3.06   18191.4     4
261   1615.0   23.2   69.7   3.07   18222.9     4
262   1613.8   23.0   68.9   3.07   18209.4     4
263   1631.9   23.6   70.7   3.10   18412.9     4
264   1614.9   23.1   69.2   3.07   18221.9     4
265   1612.2   22.8   68.3   3.06   18191.0     4
266   1616.3   23.2   69.5   3.07   18237.3     4
267   1615.1   22.9   68.7   3.07   18223.2     4
268   1617.8   23.3   69.8   3.07   18254.7     4
269   1616.2   23.0   68.9   3.07   18235.6     4
270   1619.9   23.4   70.1   3.08   18277.9     4
271   1617.4   23.1   69.3   3.07   18250.0     4
272   1614.3   22.8   68.3   3.07   18214.6     4
273   1618.5   23.1   69.4   3.08   18261.7     4
274   1616.7   22.8   68.5   3.07   18241.7     4
275   1619.4   23.2   69.6   3.08   18272.6     4
276   1602.7   22.8   68.3   3.05   18084.1     4
277   1622.0   23.4   70.1   3.08   18301.4     4
278   1619.2   23.0   69.1   3.08   18269.5     4
279   1622.0   23.4   70.2   3.08   18302.0     4
280   1620.8   23.1   69.4   3.08   18288.3     4
281   1619.4   22.9   68.6   3.08   18272.6     4
282   1605.5   23.0   69.1   3.05   18115.9     4
283   1603.9   22.7   68.2   3.05   18097.3     4
284   1623.1   23.3   70.0   3.08   18314.3     4
285   1620.6   23.1   69.2   3.08   18285.7     4
286   1623.5   23.4   70.3   3.08   18318.2     4
287   1622.3   23.2   69.5   3.08   18304.6     4
288   1605.2   22.7   68.0   3.05   18112.3     4
289   1608.0   23.0   69.1   3.06   18143.1     4
290   1606.6   22.8   68.3   3.05   18127.7     4
291   1626.9   23.4   70.2   3.09   18357.2     4
292   1625.8   23.1   69.4   3.09   18344.2     4
293   1627.4   23.5   70.5   3.09   18362.5     4
294   1609.3   23.0   69.0   3.06   18157.9     4
295   1607.9   22.7   68.2   3.05   18142.1     4
296   1610.6   23.1   69.3   3.06   18173.1     4
297   1609.3   22.8   68.5   3.06   18157.9     4
298   1628.5   23.4   70.3   3.09   18375.2     4
299   1626.9   23.1   69.4   3.09   18356.9     4
300   1613.2   23.3   69.9   3.06   18201.7     4
301   1611.9   23.1   69.2   3.06   18188.1     4
302   1610.7   22.8   68.3   3.06   18173.6     4
303   1613.4   23.2   69.5   3.07   18204.7     4
304   1611.8   22.8   68.5   3.06   18186.3     4
305   1631.0   23.5   70.4   3.10   18403.4     4
306   1613.1   23.0   69.0   3.06   18201.7     4
307   1614.8   23.4   70.1   3.07   18219.9     4
308   1613.7   23.1   69.3   3.07   18207.6     4
309   1611.9   22.8   68.3   3.06   18187.7     4
310   1614.7   23.2   69.5   3.07   18218.7     4
311   1613.3   22.9   68.7   3.07   18203.6     4
312   1618.3   23.3   70.0   3.07   18260.1     4
313   1616.8   23.0   69.1   3.07   18242.9     4
314   1618.4   23.4   70.2   3.07   18261.1     4
315   1616.8   23.1   69.2   3.07   18243.1     4
316   1615.4   22.8   68.4   3.07   18227.3     4
317   1618.2   23.2   69.6   3.07   18258.1     4
318   1600.3   22.7   68.2   3.04   18056.3     4
319   1619.5   23.3   70.0   3.08   18273.5     4
320   1618.3   23.1   69.2   3.07   18259.6     4
321   1621.2   23.4   70.3   3.08   18292.4     4
322   1618.7   23.2   69.5   3.08   18264.6     4
323   1617.1   22.9   68.6   3.07   18245.9     4
324   1604.5   23.0   69.1   3.05   18103.7     4
325   1602.7   22.7   68.2   3.05   18084.2     4
326   1623.1   23.4   70.1   3.08   18313.6     4
327   1621.8   23.1   69.3   3.08   18299.6     4
328   1624.7   23.5   70.4   3.09   18332.3     4
329   1621.9   23.1   69.4   3.08   18300.9     4
330   1603.9   22.7   68.0   3.05   18097.4     4
331   1606.6   23.0   69.1   3.05   18128.3     4
332   1605.3   22.8   68.3   3.05   18113.1     4
333   1624.5   23.4   70.2   3.09   18330.3     4
334   1623.0   23.1   69.2   3.08   18313.0     4
335   1625.9   23.5   70.4   3.09   18345.4     4
336   1608.0   23.0   69.0   3.06   18144.0     4
337   1606.6   22.7   68.2   3.05   18128.3     4
338   1609.4   23.1   69.3   3.06   18159.3     4
339   1607.7   22.8   68.3   3.05   18140.7     4
340   1627.0   23.4   70.2   3.09   18357.7     4
341   1625.7   23.1   69.4   3.09   18343.5     4
342   1612.0   23.3   69.9   3.06   18188.4     4
343   1610.9   23.0   69.1   3.06   18175.9     4
344   1607.9   22.7   68.1   3.05   18142.4     4
345   1610.6   23.1   69.3   3.06   18173.1     4
346   1609.3   22.8   68.5   3.06   18157.8     4
347   1629.6   23.4   70.3   3.10   18387.3     4
348   1613.1   23.0   69.0   3.06   18201.2     4
349   1616.0   23.4   70.1   3.07   18233.9     4
350   1614.4   23.1   69.2   3.07   18216.1     4
351   1611.8   22.8   68.4   3.06   18186.0     4
352   1614.5   23.2   69.5   3.07   18217.0     4
353   1613.3   22.9   68.7   3.07   18203.1     4
354   1615.9   23.3   69.9   3.07   18232.8     4
355   1614.3   23.0   69.0   3.07   18214.6     4
356   1617.2   23.4   70.2   3.07   18247.2     4
357   1616.0   23.1   69.4   3.07   18233.8     4
358   1613.4   22.8   68.5   3.07   18205.0     4
359   1616.2   23.2   69.7   3.07   18236.3     4
360   1597.9   22.7   68.1   3.04   18029.3     4
361   1618.2   23.3   70.0   3.07   18259.1     4
362   1617.0   23.1   69.2   3.07   18245.3     4
363   1619.9   23.5   70.4   3.08   18278.3     4
364   1618.5   23.1   69.4   3.08   18261.7     4
365   1615.4   22.8   68.4   3.07   18227.3     4
