Jday  DM       DungN  UrineN P      H2O       Animal
Jday  kg       kg_N   kg_N   kg_P   kg_H2O    type
1     1618.2   23.2   69.6   3.07   18258.2     4
2     1616.8   22.9   68.8   3.07   18242.9     4
3     1619.6   23.3   69.9   3.08   18274.4     4
4     1634.5   23.2   69.6   3.11   18442.1     4
5     1637.3   23.6   70.8   3.11   18474.6     4
6     1620.8   23.1   69.4   3.08   18287.7     4
7     1619.4   22.9   68.6   3.08   18271.9     4
8     1620.8   23.2   69.7   3.08   18288.5     4
9     1619.2   22.9   68.8   3.08   18270.0     4
10    1622.0   23.3   69.9   3.08   18301.2     4
11    1637.1   23.3   69.8   3.11   18472.1     4
12    1624.6   23.5   70.4   3.09   18331.4     4
13    1623.4   23.2   69.6   3.08   18317.9     4
14    1621.8   22.9   68.6   3.08   18298.8     4
15    1623.2   23.2   69.7   3.08   18315.1     4
16    1621.8   23.0   68.9   3.08   18299.8     4
17    1624.6   23.3   70.0   3.09   18331.2     4
18    1624.3   23.1   69.4   3.09   18327.9     4
19    1627.2   23.5   70.5   3.09   18360.6     4
20    1625.7   23.2   69.6   3.09   18343.8     4
21    1624.3   22.9   68.8   3.09   18328.1     4
22    1625.8   23.3   69.9   3.09   18344.6     4
23    1624.5   23.0   69.1   3.09   18329.5     4
24    1611.9   23.2   69.7   3.06   18187.8     4
25    1626.7   23.1   69.4   3.09   18354.6     4
26    1629.6   23.5   70.5   3.10   18387.1     4
27    1628.4   23.2   69.7   3.09   18373.6     4
28    1627.1   23.0   68.9   3.09   18359.1     4
29    1629.9   23.4   70.1   3.10   18390.2     4
30    1610.3   22.8   68.5   3.06   18169.7     4
31    1613.1   23.2   69.6   3.06   18201.2     4
32    1628.3   23.2   69.5   3.09   18372.2     4
33    1631.2   23.6   70.7   3.10   18405.0     4
34    1630.1   23.3   69.9   3.10   18392.7     4
35    1627.0   23.0   68.9   3.09   18357.6     4
36    1615.7   23.2   69.5   3.07   18230.5     4
37    1613.1   22.9   68.6   3.06   18200.8     4
38    1615.9   23.2   69.7   3.07   18232.3     4
39    1631.8   23.2   69.5   3.10   18412.3     4
40    1634.7   23.6   70.7   3.11   18444.8     4
41    1633.1   23.2   69.7   3.10   18426.6     4
42    1613.7   22.8   68.3   3.07   18207.7     4
43    1617.7   23.1   69.4   3.07   18253.6     4
44    1615.2   22.8   68.5   3.07   18224.6     4
45    1617.9   23.2   69.7   3.07   18255.7     4
46    1633.1   23.2   69.6   3.10   18426.4     4
47    1635.9   23.6   70.7   3.11   18458.8     4
48    1619.4   23.1   69.4   3.08   18271.9     4
49    1616.2   22.8   68.4   3.07   18236.4     4
50    1620.4   23.2   69.5   3.08   18283.3     4
51    1618.6   22.8   68.5   3.08   18263.1     4
52    1620.0   23.2   69.6   3.08   18279.4     4
53    1636.2   23.2   69.5   3.11   18462.1     4
54    1622.4   23.4   70.1   3.08   18306.5     4
55    1620.9   23.0   69.1   3.08   18289.0     4
56    1623.8   23.4   70.3   3.09   18321.4     4
57    1622.5   23.2   69.5   3.08   18307.6     4
58    1621.1   22.9   68.7   3.08   18291.7     4
59    1622.6   23.2   69.7   3.08   18308.2     4
60    1622.0   23.0   68.9   3.08   18302.0     4
61    1624.9   23.4   70.1   3.09   18333.8     4
62    1623.6   23.1   69.3   3.08   18319.5     4
63    1626.5   23.5   70.4   3.09   18351.9     4
64    1625.2   23.2   69.6   3.09   18338.2     4
65    1623.5   22.9   68.7   3.08   18319.1     4
66    1608.4   23.0   69.1   3.06   18147.6     4
67    1623.4   23.0   69.0   3.08   18317.8     4
68    1626.3   23.4   70.2   3.09   18349.8     4
69    1625.1   23.1   69.4   3.09   18336.6     4
70    1628.0   23.5   70.5   3.09   18369.2     4
71    1626.5   23.2   69.6   3.09   18352.1     4
72    1609.7   22.7   68.2   3.06   18163.0     4
73    1612.4   23.1   69.4   3.06   18193.8     4
74    1627.5   23.1   69.3   3.09   18363.2     4
75    1630.3   23.5   70.4   3.10   18395.4     4
76    1628.7   23.2   69.5   3.09   18376.9     4
77    1631.6   23.5   70.6   3.10   18409.4     4
78    1613.7   23.1   69.2   3.07   18208.1     4
79    1612.4   22.8   68.4   3.06   18193.5     4
80    1615.2   23.2   69.6   3.07   18224.6     4
81    1628.6   23.1   69.3   3.09   18376.4     4
82    1631.5   23.5   70.4   3.10   18408.5     4
83    1630.2   23.2   69.6   3.10   18394.4     4
84    1617.8   23.4   70.2   3.07   18253.9     4
85    1616.7   23.1   69.4   3.07   18241.6     4
86    1614.9   22.8   68.5   3.07   18221.7     4
87    1617.7   23.2   69.6   3.07   18252.7     4
88    1632.6   23.2   69.5   3.10   18421.3     4
89    1635.5   23.6   70.7   3.11   18453.6     4
90    1617.3   23.0   69.1   3.07   18248.8     4
91    1620.2   23.4   70.3   3.08   18281.4     4
92    1618.6   23.1   69.3   3.08   18263.4     4
93    1617.2   22.8   68.5   3.07   18247.6     4
94    1620.0   23.2   69.7   3.08   18278.5     4
95    1633.5   23.1   69.4   3.10   18431.2     4
96    1621.0   23.3   69.9   3.08   18289.8     4
97    1619.7   23.0   69.1   3.08   18275.5     4
98    1622.6   23.4   70.3   3.08   18307.9     4
99    1621.4   23.2   69.5   3.08   18294.2     4
100   1619.7   22.8   68.5   3.08   18275.1     4
101   1622.4   23.2   69.7   3.08   18305.8     4
102   1620.8   23.0   68.9   3.08   18288.3     4
103   1622.4   23.3   70.0   3.08   18305.8     4
104   1621.1   23.1   69.2   3.08   18291.7     4
105   1624.0   23.5   70.4   3.09   18324.2     4
106   1622.5   23.1   69.4   3.08   18307.2     4
107   1621.1   22.9   68.6   3.08   18291.2     4
108   1608.5   23.1   69.2   3.06   18148.7     4
109   1624.7   23.0   69.1   3.09   18332.6     4
110   1626.3   23.4   70.2   3.09   18350.2     4
111   1624.8   23.1   69.3   3.09   18332.8     4
112   1627.6   23.5   70.4   3.09   18365.1     4
113   1626.4   23.2   69.6   3.09   18351.4     4
114   1608.4   22.7   68.2   3.06   18148.0     4
115   1611.1   23.1   69.4   3.06   18179.0     4
116   1624.5   23.0   69.1   3.09   18329.8     4
117   1627.4   23.4   70.1   3.09   18362.5     4
118   1626.1   23.1   69.3   3.09   18348.1     4
119   1629.0   23.5   70.5   3.10   18380.4     4
120   1612.5   23.0   69.1   3.06   18194.5     4
121   1610.8   22.7   68.2   3.06   18175.2     4
122   1613.5   23.1   69.3   3.07   18205.8     4
123   1627.2   23.0   69.1   3.09   18360.7     4
124   1631.4   23.4   70.3   3.10   18407.7     4
125   1628.9   23.1   69.4   3.09   18379.9     4
126   1615.2   23.3   70.0   3.07   18224.6     4
127   1613.6   23.0   69.0   3.07   18206.3     4
128   1612.1   22.7   68.2   3.06   18190.1     4
129   1614.8   23.1   69.4   3.07   18220.7     4
130   1629.3   23.0   69.1   3.10   18383.5     4
131   1633.5   23.4   70.2   3.10   18431.3     4
132   1615.2   22.9   68.7   3.07   18224.4     4
133   1618.0   23.3   69.8   3.07   18256.1     4
134   1616.7   23.0   69.0   3.07   18241.6     4
135   1615.3   22.7   68.2   3.07   18226.2     4
136   1618.0   23.1   69.3   3.07   18256.4     4
137   1637.4   23.7   71.2   3.11   18475.0     4
138   1619.6   23.3   69.8   3.08   18274.7     4
139   1617.1   23.0   68.9   3.07   18245.7     4
140   1619.9   23.4   70.1   3.08   18277.9     4
141   1618.4   23.0   69.1   3.07   18260.5     4
142   1616.5   22.7   68.2   3.07   18239.7     4
143   1619.2   23.1   69.3   3.08   18269.8     4
144   1624.3   23.5   70.6   3.09   18327.3     4
145   1623.2   23.3   69.8   3.08   18314.7     4
146   1621.6   23.0   68.9   3.08   18296.5     4
147   1623.1   23.3   70.0   3.08   18313.8     4
148   1621.8   23.1   69.2   3.08   18299.3     4
149   1620.3   22.8   68.4   3.08   18282.8     4
150   1606.4   23.0   68.9   3.05   18125.4     4
151   1625.8   23.6   70.7   3.09   18343.9     4
152   1624.3   23.3   69.8   3.09   18327.9     4
153   1623.0   23.0   69.0   3.08   18313.0     4
154   1624.5   23.4   70.1   3.09   18330.3     4
155   1623.3   23.1   69.3   3.08   18315.9     4
156   1606.2   22.6   67.8   3.05   18122.9     4
157   1608.8   23.0   68.9   3.06   18152.9     4
158   1628.2   23.6   70.7   3.09   18371.2     4
159   1627.0   23.3   69.9   3.09   18358.4     4
160   1625.8   23.0   69.1   3.09   18344.6     4
161   1627.4   23.4   70.2   3.09   18362.0     4
162   1609.2   22.9   68.7   3.06   18156.7     4
163   1607.7   22.6   67.9   3.05   18140.1     4
164   1610.4   23.0   69.0   3.06   18170.2     4
165   1630.8   23.6   70.9   3.10   18401.1     4
166   1629.8   23.4   70.1   3.10   18389.6     4
167   1628.1   23.1   69.2   3.09   18370.5     4
168   1614.3   23.2   69.7   3.07   18214.6     4
169   1613.0   23.0   68.9   3.06   18200.3     4
170   1611.7   22.7   68.1   3.06   18185.0     4
171   1614.4   23.1   69.3   3.07   18215.4     4
172   1633.8   23.7   71.1   3.10   18434.2     4
173   1632.3   23.4   70.2   3.10   18417.3     4
174   1614.3   22.9   68.8   3.07   18215.0     4
175   1617.2   23.3   69.9   3.07   18247.0     4
176   1614.7   23.0   69.1   3.07   18219.6     4
177   1611.6   22.7   68.1   3.06   18183.8     4
178   1615.6   23.1   69.2   3.07   18229.2     4
179   1636.1   23.7   71.1   3.11   18460.1     4
180   1619.6   23.2   69.7   3.08   18274.3     4
181   1618.0   22.9   68.8   3.07   18256.2     4
182   1620.8   23.3   69.9   3.08   18288.0     4
183   1617.8   23.0   69.0   3.07   18254.7     4
184   1615.0   22.7   68.1   3.07   18222.7     4
185   1619.0   23.1   69.2   3.08   18267.9     4
186   1621.7   23.5   70.4   3.08   18298.3     4
187   1620.3   23.2   69.5   3.08   18281.9     4
188   1618.9   22.9   68.7   3.08   18266.5     4
189   1621.7   23.3   69.8   3.08   18297.8     4
190   1619.1   23.0   68.9   3.08   18268.6     4
191   1615.8   22.6   67.9   3.07   18231.9     4
192   1604.5   22.8   68.5   3.05   18104.5     4
193   1623.8   23.4   70.3   3.09   18322.1     4
194   1622.6   23.2   69.5   3.08   18308.6     4
195   1621.3   22.9   68.7   3.08   18293.1     4
