Arkansas_BluemoonFarm_Barn1						
Day	Type	ID	Heads	Rate_kgDM/head/day	CP_%	P_%
1	Pig	4	500	5	19	0.8
2	Pig	4	500	5	19	0.8
3	Pig	4	500	5	19	0.8
4	Pig	4	500	5	19	0.8
5	Pig	4	500	5	19	0.8
6	Pig	4	500	5	19	0.8
7	Pig	4	500	5	19	0.8
8	Pig	4	500	5	19	0.8
9	Pig	4	500	5	19	0.8
10	Pig	4	500	5	19	0.8
11	Pig	4	500	5	19	0.8
12	Pig	4	500	5	19	0.8
13	Pig	4	500	5	19	0.8
14	Pig	4	500	5	19	0.8
15	Pig	4	500	5	19	0.8
16	Pig	4	500	5	19	0.8
17	Pig	4	500	5	19	0.8
18	Pig	4	500	5	19	0.8
19	Pig	4	500	5	19	0.8
20	Pig	4	500	5	19	0.8
21	Pig	4	500	5	19	0.8
22	Pig	4	500	5	19	0.8
23	Pig	4	500	5	19	0.8
24	Pig	4	500	5	19	0.8
25	Pig	4	500	5	19	0.8
26	Pig	4	500	5	19	0.8
27	Pig	4	500	5	19	0.8
28	Pig	4	500	5	19	0.8
29	Pig	4	500	5	19	0.8
30	Pig	4	500	5	19	0.8
31	Pig	4	500	5	19	0.8
32	Pig	4	500	5	19	0.8
33	Pig	4	500	5	19	0.8
34	Pig	4	500	5	19	0.8
35	Pig	4	500	5	19	0.8
36	Pig	4	500	5	19	0.8
37	Pig	4	500	5	19	0.8
38	Pig	4	500	5	19	0.8
39	Pig	4	500	5	19	0.8
40	Pig	4	500	5	19	0.8
41	Pig	4	500	5	19	0.8
42	Pig	4	500	5	19	0.8
43	Pig	4	500	5	19	0.8
44	Pig	4	500	5	19	0.8
45	Pig	4	500	5	19	0.8
46	Pig	4	0	0	0	0
47	Pig	4	0	0	0	0
48	Pig	4	0	0	0	0
49	Pig	4	0	0	0	0
50	Pig	4	0	0	0	0
51	Pig	4	430	5.5	17	0.8
52	Pig	4	430	5.5	17	0.8
53	Pig	4	430	5.5	17	0.8
54	Pig	4	430	5.5	17	0.8
55	Pig	4	430	5.5	17	0.8
56	Pig	4	430	5.5	17	0.8
57	Pig	4	430	5.5	17	0.8
58	Pig	4	430	5.5	17	0.8
59	Pig	4	430	5.5	17	0.8
60	Pig	4	430	5.5	17	0.8
61	Pig	4	430	5.5	17	0.8
62	Pig	4	430	5.5	17	0.8
63	Pig	4	430	5.5	17	0.8
64	Pig	4	430	5.5	17	0.8
65	Pig	4	430	5.5	17	0.8
66	Pig	4	430	5.5	17	0.8
67	Pig	4	430	5.5	17	0.8
68	Pig	4	430	5.5	17	0.8
69	Pig	4	430	5.5	17	0.8
70	Pig	4	430	5.5	17	0.8
71	Pig	4	430	5.5	17	0.8
72	Pig	4	430	5	17	0.8
73	Pig	4	430	5	17	0.8
74	Pig	4	430	5	17	0.8
75	Pig	4	430	5	17	0.8
76	Pig	4	430	5	17	0.8
77	Pig	4	430	5	17	0.8
78	Pig	4	430	5	17	0.8
79	Pig	4	430	5	17	0.8
80	Pig	4	430	5	17	0.8
