Arkansas_BluemoonFarm_Barn1						
Day	Type	ID	Heads	Rate_kgDM/head/day	CP_%	P_%
81	Pig	4	430	5	17	0.8
82	Pig	4	430	5	17	0.8
83	Pig	4	430	5	17	0.8
84	Pig	4	430	5	17	0.8
85	Pig	4	430	5	17	0.8
86	Pig	4	430	5	17	0.8
87	Pig	4	430	5	17	0.8
88	Pig	4	430	5	17	0.8
89	Pig	4	430	5	17	0.8
90	Pig	4	430	5	17	0.8
91	Pig	4	550	5	17	0.8
92	Pig	4	550	5	17	0.8
93	Pig	4	550	5	17	0.8
94	Pig	4	550	5	17	0.8
95	Pig	4	550	5	19	0.8
96	Pig	4	550	5	19	0.8
97	Pig	4	550	5	19	0.8
98	Pig	4	550	5	19	0.8
99	Pig	4	550	5	19	0.8
100	Pig	4	550	5	19	0.8
101	Pig	4	550	5	19	0.8
102	Pig	4	550	5	19	0.8
103	Pig	4	550	5	19	0.8
104	Pig	4	550	5	19	0.8
105	Pig	4	550	5	19	0.8
106	Pig	4	550	5	19	0.8
107	Pig	4	550	5	19	0.8
108	Pig	4	550	5	19	0.8
109	Pig	4	550	5	19	0.8
110	Pig	4	550	5	19	0.8
111	Pig	4	550	5	19	0.8
112	Pig	4	550	5	19	0.8
113	Pig	4	550	5	19	0.8
114	Pig	4	550	5	19	0.8
115	Pig	4	550	5	19	0.8
116	Pig	4	550	5	19	0.8
117	Pig	4	550	5	19	0.8
118	Pig	4	550	5	19	0.8
119	Pig	4	550	5	19	0.8
120	Pig	4	550	5	19	0.8
121	Pig	4	550	5	19	0.8
122	Pig	4	550	5	19	0.8
123	Pig	4	550	5	19	0.8
124	Pig	4	550	5	19	0.8
125	Pig	4	550	5	19	0.8
126	Pig	4	550	5	19	0.8
127	Pig	4	550	5	19	0.8
128	Pig	4	550	5	19	0.8
129	Pig	4	550	5	19	0.8
130	Pig	4	550	5	19	0.8
131	Pig	4	550	5	19	0.8
132	Pig	4	550	5	19	0.8
133	Pig	4	550	5	19	0.8
134	Pig	4	550	5	19	0.8
135	Pig	4	550	5	19	0.8
136	Pig	4	550	5	19	0.8
137	Pig	4	550	5	19	0.8
138	Pig	4	550	5	19	0.8
139	Pig	4	550	5	19	0.8
140	Pig	4	550	5	19	0.8
141	Pig	4	550	5	19	0.8
142	Pig	4	550	5	19	0.8
143	Pig	4	550	5	19	0.8
144	Pig	4	550	5	19	0.8
145	Pig	4	550	5	19	0.8
146	Pig	4	550	5	19	0.8
147	Pig	4	550	5	19	0.8
148	Pig	4	550	5	19	0.8
149	Pig	4	550	5	19	0.8
150	Pig	4	550	5	19	0.8
151	Pig	4	550	5	19	0.8
152	Pig	4	550	5	19	0.8
153	Pig	4	550	5	19	0.8
154	Pig	4	550	5	19	0.8
155	Pig	4	550	5	19	0.8
156	Pig	4	550	5	19	0.8
157	Pig	4	550	5	19	0.8
158	Pig	4	550	5	19	0.8
159	Pig	4	550	5	19	0.8
160	Pig	4	550	5	19	0.8
161	Pig	4	550	5	19	0.8
162	Pig	4	550	5	19	0.8
163	Pig	4	550	5	19	0.8
164	Pig	4	550	5	19	0.8
165	Pig	4	550	5	19	0.8
166	Pig	4	550	5	19	0.8
167	Pig	4	550	5	19	0.8
168	Pig	4	550	5	19	0.8
169	Pig	4	550	5	19	0.8
170	Pig	4	550	5	19	0.8
171	Pig	4	550	5	19	0.8
172	Pig	4	550	5	19	0.8
173	Pig	4	550	5	19	0.8
174	Pig	4	550	5	19	0.8
175	Pig	4	550	5	19	0.8
176	Pig	4	550	5	19	0.8
177	Pig	4	550	5	19	0.8
178	Pig	4	550	5	19	0.8
179	Pig	4	550	5	19	0.8
180	Pig	4	550	5	19	0.8
181	Pig	4	550	5	19	0.8
182	Pig	4	550	5	19	0.8
183	Pig	4	550	5	19	0.8
184	Pig	4	550	5	19	0.8
185	Pig	4	550	5	19	0.8
186	Pig	4	550	5	19	0.8
187	Pig	4	550	5	19	0.8
188	Pig	4	550	5	19	0.8
189	Pig	4	550	5	19	0.8
190	Pig	4	550	5	19	0.8
191	Pig	4	550	5	19	0.8
192	Pig	4	550	5	19	0.8
193	Pig	4	550	5	19	0.8
194	Pig	4	550	4.8	19	0.8
195	Pig	4	550	4.8	19	0.8
196	Pig	4	550	4.8	19	0.8
197	Pig	4	550	4.8	19	0.8
198	Pig	4	550	4.8	19	0.8
199	Pig	4	550	4.8	19	0.8
200	Pig	4	550	4.8	19	0.8
201	Pig	4	550	4.8	19	0.8
202	Pig	4	550	4.8	19	0.8
203	Pig	4	550	4.8	19	0.8
204	Pig	4	550	4.8	19	0.8
205	Pig	4	550	4.8	19	0.8
206	Pig	4	550	4.8	19	0.8
207	Pig	4	550	4.8	19	0.8
208	Pig	4	550	4.8	19	0.8
209	Pig	4	550	4.8	19	0.8
210	Pig	4	550	4.8	19	0.8
211	Pig	4	550	4.8	19	0.8
212	Pig	4	550	4.8	19	0.8
213	Pig	4	550	4.8	19	0.8
214	Pig	4	550	4.8	19	0.8
215	Pig	4	550	4.8	19	0.8
216	Pig	4	550	4.8	19	0.8
217	Pig	4	0	0	0	0
218	Pig	4	0	0	0	0
219	Pig	4	0	0	0	0
220	Pig	4	0	0	0	0
221	Pig	4	0	0	0	0
222	Pig	4	500	5	19	0.6
223	Pig	4	500	5	19	0.6
224	Pig	4	500	5	19	0.6
225	Pig	4	500	5	19	0.6
226	Pig	4	500	5	19	0.6
227	Pig	4	500	5	19	0.6
228	Pig	4	500	5	19	0.6
229	Pig	4	500	5	19	0.6
230	Pig	4	500	5	19	0.6
231	Pig	4	500	5	19	0.6
232	Pig	4	500	5	19	0.6
233	Pig	4	500	5	19	0.6
234	Pig	4	500	5	19	0.6
235	Pig	4	500	5	19	0.6
236	Pig	4	500	5	19	0.6
237	Pig	4	500	5	19	0.6
238	Pig	4	500	5	19	0.6
239	Pig	4	500	5	19	0.6
240	Pig	4	500	5	19	0.6
241	Pig	4	500	5	19	0.6
242	Pig	4	500	5	19	0.6
243	Pig	4	500	5	19	0.6
244	Pig	4	500	5	19	0.6
245	Pig	4	500	5	19	0.6
246	Pig	4	500	5	19	0.6
247	Pig	4	500	5	19	0.6
248	Pig	4	500	5	19	0.6
249	Pig	4	500	5	19	0.6
250	Pig	4	500	5	19	0.6
251	Pig	4	500	5	19	0.6
252	Pig	4	500	5	19	0.6
253	Pig	4	500	5	19	0.6
254	Pig	4	500	5	19	0.6
255	Pig	4	500	5	19	0.6
256	Pig	4	500	5	19	0.6
257	Pig	4	500	5	19	0.6
258	Pig	4	500	5	19	0.6
259	Pig	4	500	5	19	0.6
260	Pig	4	500	5	19	0.6
261	Pig	4	500	5	19	0.6
262	Pig	4	500	5	19	0.6
263	Pig	4	500	5	19	0.6
264	Pig	4	500	5	19	0.6
265	Pig	4	500	5	19	0.6
266	Pig	4	500	5	19	0.6
267	Pig	4	500	5	19	0.6
268	Pig	4	500	5	19	0.6
269	Pig	4	500	5	19	0.6
270	Pig	4	500	5	19	0.6
271	Pig	4	500	5	19	0.6
272	Pig	4	500	5	19	0.6
273	Pig	4	500	5	19	0.6
274	Pig	4	500	5	19	0.6
275	Pig	4	500	5	19	0.6
276	Pig	4	500	5	19	0.6
277	Pig	4	500	5	19	0.6
278	Pig	4	500	5	19	0.6
279	Pig	4	500	5	19	0.6
280	Pig	4	500	5	19	0.6
281	Pig	4	500	5	19	0.6
282	Pig	4	500	5	19	0.6
283	Pig	4	500	5	19	0.6
284	Pig	4	500	5	19	0.6
285	Pig	4	500	5	19	0.6
286	Pig	4	500	5	19	0.6
287	Pig	4	500	5	19	0.6
288	Pig	4	500	5	19	0.6
289	Pig	4	500	5	19	0.6
290	Pig	4	500	5	19	0.6
291	Pig	4	500	5	19	0.6
292	Pig	4	500	5	19	0.6
293	Pig	4	500	5	19	0.6
294	Pig	4	500	5	19	0.6
295	Pig	4	500	5	19	0.6
296	Pig	4	500	5	19	0.6
297	Pig	4	500	5	19	0.6
298	Pig	4	500	5	19	0.6
299	Pig	4	500	5	19	0.6
300	Pig	4	500	5	19	0.6
301	Pig	4	500	5	19	0.6
302	Pig	4	500	5	19	0.6
303	Pig	4	500	5	19	0.6
304	Pig	4	500	5	19	0.6
305	Pig	4	500	5	19	0.6
306	Pig	4	500	5	19	0.6
307	Pig	4	500	5	19	0.6
308	Pig	4	500	5	19	0.6
309	Pig	4	500	5	19	0.6
310	Pig	4	500	5	19	0.6
311	Pig	4	500	5	19	0.6
312	Pig	4	500	5	19	0.6
313	Pig	4	500	5	19	0.6
314	Pig	4	500	5	19	0.6
315	Pig	4	500	5	19	0.6
316	Pig	4	500	5	19	0.6
317	Pig	4	500	5	19	0.6
318	Pig	4	500	5	19	0.6
319	Pig	4	500	5	19	0.6
320	Pig	4	500	5	19	0.6
321	Pig	4	500	5	19	0.6
322	Pig	4	500	5	19	0.6
323	Pig	4	500	5	19	0.6
324	Pig	4	500	5	19	0.6
325	Pig	4	500	5	19	0.6
326	Pig	4	500	5	19	0.6
327	Pig	4	500	5	19	0.6
328	Pig	4	500	5	19	0.6
329	Pig	4	500	5	19	0.6
330	Pig	4	500	5	19	0.6
331	Pig	4	500	5	19	0.6
332	Pig	4	500	5	19	0.6
333	Pig	4	500	5	19	0.6
334	Pig	4	500	5	19	0.6
335	Pig	4	500	5	19	0.6
336	Pig	4	500	5	19	0.6
337	Pig	4	500	5	19	0.6
338	Pig	4	500	5	19	0.6
339	Pig	4	500	5	19	0.6
340	Pig	4	500	5	19	0.6
341	Pig	4	500	5	19	0.6
342	Pig	4	500	5	19	0.6
343	Pig	4	500	5	19	0.6
344	Pig	4	500	5	19	0.6
345	Pig	4	500	5	19	0.6
346	Pig	4	500	5	19	0.6
347	Pig	4	500	5	19	0.6
348	Pig	4	500	5	19	0.6
349	Pig	4	500	5	19	0.6
350	Pig	4	500	5	19	0.6
351	Pig	4	500	5	19	0.6
352	Pig	4	500	5	19	0.6
353	Pig	4	500	5	19	0.6
354	Pig	4	500	5	19	0.6
355	Pig	4	500	5	19	0.6
356	Pig	4	500	5	19	0.6
357	Pig	4	500	5	19	0.6
358	Pig	4	500	5	19	0.6
359	Pig	4	500	5	19	0.6
360	Pig	4	500	5	19	0.6
361	Pig	4	500	5	19	0.6
362	Pig	4	500	5	19	0.6
363	Pig	4	500	5	19	0.6
364	Pig	4	500	5	19	0.6
365	Pig	4	500	5	19	0.6
