Daily P pools (kg P/ha) and fluxes (kg P/ha/day) at site FarmTest1 in year 1
Day,OrganicP,LabileP,SorbedP,ComplexP,CropDemandP,DayUptakeP,CropP, Leach_P, SO4, H2S_flux
  1,  56.82,   0.00,  14.20,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
  2,  56.82,   0.00,  14.20,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
  3,  56.82,   0.00,  14.20,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
  4,  56.82,   0.00,  14.21,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
  5,  56.82,   0.00,  14.20,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
  6,  56.82,   0.00,  14.20,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
  7,  56.82,   0.00,  14.20,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
  8,  56.82,   0.00,  14.21,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
  9,  56.82,   0.00,  14.21,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 10,  56.82,   0.00,  14.21,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 11,  56.82,   0.00,  14.21,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 12,  56.82,   0.00,  14.21,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 13,  56.82,   0.00,  14.21,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 14,  56.82,   0.00,  14.21,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 15,  56.81,   0.00,  14.21,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 16,  56.81,   0.00,  14.21,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 17,  56.81,   0.00,  14.21,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 18,  56.81,   0.00,  14.21,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 19,  56.81,   0.00,  14.21,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 20,  56.81,   0.00,  14.21,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 21,  56.81,   0.00,  14.21,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 22,  56.81,   0.00,  14.21,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 23,  56.81,   0.00,  14.21,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 24,  56.81,   0.00,  14.21,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 25,  56.81,   0.00,  14.21,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 26,  56.81,   0.00,  14.21,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 27,  56.81,   0.00,  14.21,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 28,  56.81,   0.00,  14.21,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 29,  56.81,   0.00,  14.21,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 30,  56.81,   0.00,  14.21,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 31,  56.81,   0.00,  14.21,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 32,  56.81,   0.00,  14.21,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 33,  56.81,   0.00,  14.21,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 34,  56.81,   0.00,  14.21,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 35,  56.81,   0.00,  14.21,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 36,  56.81,   0.00,  14.21,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 37,  56.81,   0.00,  14.21,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 38,  56.81,   0.00,  14.21,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 39,  56.81,   0.00,  14.21,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 40,  56.81,   0.00,  14.21,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
