Daily C pools (kg C/ha) and fluxes (kg C/ha/day) at site webster_41B in year 1
Day,Very labile litter,Labile litter,Resistant litter,Microbe,Humads,Humus,CharC,SOC,SOC0-10cm, SOC10-20cm,SOC20-30cm,SOC30-40cm,SOC40-50cm,SOC0-10cm, SOC10-20cm,SOC20-30cm,SOC30-40cm,SOC40-50cm,dSOC,DOC,Photosynthesis,Leaf-respiration, Stem-respiration, Root-respiration,Soil-heterotrophic-respiration, NPP,Eco-respiration, NEE,Stub,CH4-prod.,CH4-oxid.,CH4-flux,CH4-pool,DOC-leach,Litter-C,Manure-C
  1,   0.00,   0.00, 371.07,  27.88,2755.19,33955.91,   0.00,37110.22,11493.11,11493.11,8006.77,4059.27,2057.97,  0.009,  0.009,  0.006,  0.003,  0.002,  -0.05,   0.16,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,0.00000,-0.00107,-0.00107,   0.00,   0.04,   0.00,   0.00
  2,   0.00,   0.00, 370.84,  27.99,2754.53,33956.07,   0.00,37110.05,11492.97,11493.09,8006.76,4059.26,2057.96,  0.009,  0.009,  0.006,  0.003,  0.002,  -0.17,   0.64,   0.00,   0.00,   0.00,   0.00,   0.13,   0.00,   0.13,   0.13,   0.00,0.00000,-0.00381,-0.00381,   0.00,   0.03,   0.00,   0.00
  3,   0.00,   0.00, 370.60,  27.99,2753.95,33956.23,   0.00,37109.85,11492.82,11493.07,8006.74,4059.26,2057.96,  0.009,  0.009,  0.006,  0.003,  0.002,  -0.20,   1.11,   0.00,   0.00,   0.00,   0.00,   0.14,   0.00,   0.14,   0.14,   0.00,0.00000,-0.00480,-0.00480,   0.00,   0.03,   0.00,   0.00
  4,   0.00,   0.00, 370.38,  27.98,2753.39,33956.39,   0.00,37109.64,11492.66,11493.04,8006.73,4059.25,2057.96,  0.009,  0.009,  0.006,  0.003,  0.002,  -0.22,   1.54,   0.00,   0.00,   0.00,   0.00,   0.16,   0.00,   0.16,   0.16,   0.00,0.00000,-0.00491,-0.00491,   0.00,   0.03,   0.00,   0.00
  5,   0.00,   0.00, 370.38,  27.98,2753.39,33956.39,   0.00,37108.14,11492.16,11492.58,8006.42,4059.10,2057.88,  0.009,  0.009,  0.006,  0.003,  0.002,  -1.50,   0.00,   0.00,   0.00,   0.00,   0.00,   1.50,   0.00,   1.50,   1.50,   0.00,0.00000,-0.00000,-0.00000,   0.00,   0.00,   0.00,   0.00
  6,   0.00,   0.00, 370.38,  10.49,2753.39,33956.39,   0.00,37108.13,11492.16,11492.57,8006.42,4059.10,2057.88,  0.009,  0.009,  0.006,  0.003,  0.002,  -0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,0.00000,-0.00000,-0.00000,   0.00,   0.00,   0.00,   0.00
  7,   0.00,   0.00, 370.38,   4.34,2753.39,33956.39,   0.00,37108.13,11492.16,11492.57,8006.42,4059.10,2057.88,  0.009,  0.009,  0.006,  0.003,  0.002,  -0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,0.00000,-0.00000,-0.00000,   0.00,   0.00,   0.00,   0.00
  8,   0.00,   0.00, 370.38,   4.34,2753.39,33956.39,   0.00,37108.13,11492.16,11492.57,8006.42,4059.10,2057.88,  0.009,  0.009,  0.006,  0.003,  0.002,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,0.00000,-0.00000,-0.00000,   0.00,   0.00,   0.00,   0.00
  9,   0.00,   0.00, 370.38,   4.34,2753.39,33956.39,   0.00,37108.13,11492.16,11492.57,8006.42,4059.10,2057.88,  0.009,  0.009,  0.006,  0.003,  0.002,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,0.00000,-0.00000,-0.00000,   0.00,   0.00,   0.00,   0.00
 10,   0.00,   0.00, 370.38,   1.99,2753.39,33956.39,   0.00,37108.13,11492.16,11492.57,8006.42,4059.10,2057.88,  0.009,  0.009,  0.006,  0.003,  0.002,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,0.00000,-0.00000,-0.00000,   0.00,   0.00,   0.00,   0.00
 11,   0.00,   0.00, 370.38,   0.17,2753.39,33956.39,   0.00,37108.13,11492.16,11492.57,8006.42,4059.10,2057.88,  0.009,  0.009,  0.006,  0.003,  0.002,  -0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,0.00000,-0.00000,-0.00000,   0.00,   0.00,   0.00,   0.00
 12,   0.00,   0.00, 370.38,  -0.00,2753.39,33956.39,   0.00,37108.13,11492.16,11492.58,8006.42,4059.10,2057.88,  0.009,  0.009,  0.006,  0.003,  0.002,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,0.00000,-0.00000,-0.00000,   0.00,   0.00,   0.00,   0.00
 13,   0.00,   0.00, 370.38,  -0.00,2753.39,33956.39,   0.00,37108.13,11492.16,11492.58,8006.42,4059.10,2057.88,  0.009,  0.009,  0.006,  0.003,  0.002,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,0.00000,-0.00000,-0.00000,   0.00,   0.00,   0.00,   0.00
 14,   0.00,   0.00, 370.38,  -0.00,2753.39,33956.39,   0.00,37108.13,11492.16,11492.58,8006.42,4059.10,2057.88,  0.009,  0.009,  0.006,  0.003,  0.002,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,0.00000,-0.00000,-0.00000,   0.00,   0.00,   0.00,   0.00
 15,   0.00,   0.00, 370.38,  -0.00,2753.39,33956.39,   0.00,37108.13,11492.16,11492.58,8006.42,4059.10,2057.88,  0.009,  0.009,  0.006,  0.003,  0.002,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,0.00000,-0.00000,-0.00000,   0.00,   0.00,   0.00,   0.00
 16,   0.00,   0.00, 370.38,  -0.00,2753.39,33956.39,   0.00,37108.13,11492.16,11492.58,8006.42,4059.10,2057.88,  0.009,  0.009,  0.006,  0.003,  0.002,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,0.00000,-0.00000,-0.00000,   0.00,   0.00,   0.00,   0.00
 17,   0.00,   0.00, 370.38,  -0.00,2753.39,33956.39,   0.00,37108.13,11492.16,11492.58,8006.42,4059.10,2057.88,  0.009,  0.009,  0.006,  0.003,  0.002,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,0.00000,-0.00000,-0.00000,   0.00,   0.00,   0.00,   0.00
 18,   0.00,   0.00, 370.38,  -0.00,2753.39,33956.39,   0.00,37108.13,11492.16,11492.58,8006.42,4059.10,2057.88,  0.009,  0.009,  0.006,  0.003,  0.002,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,0.00000,-0.00000,-0.00000,   0.00,   0.00,   0.00,   0.00
 19,   0.00,   0.00, 370.38,  -0.00,2753.39,33956.39,   0.00,37108.13,11492.16,11492.58,8006.42,4059.10,2057.88,  0.009,  0.009,  0.006,  0.003,  0.002,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,0.00000,-0.00000,-0.00000,   0.00,   0.00,   0.00,   0.00
 20,   0.00,   0.00, 370.37,   0.00,2753.39,33956.39,   0.00,37108.13,11492.16,11492.58,8006.42,4059.10,2057.88,  0.009,  0.009,  0.006,  0.003,  0.002,  -0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,0.00000,-0.00008,-0.00008,   0.00,   0.00,   0.00,   0.00
 21,   0.00,   0.00, 370.37,  27.54,2725.85,33956.39,   0.00,37108.13,11492.16,11492.58,8006.42,4059.10,2057.88,  0.009,  0.009,  0.006,  0.003,  0.002,  -0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,0.00000,-0.00040,-0.00040,   0.00,   0.00,   0.00,   0.00
 22,   0.00,   0.00, 370.37,  27.54,2725.85,33956.39,   0.00,37108.13,11492.16,11492.58,8006.42,4059.10,2057.88,  0.009,  0.009,  0.006,  0.003,  0.002,  -0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,0.00000,-0.00033,-0.00033,   0.00,   0.00,   0.00,   0.00
 23,   0.00,   0.00, 370.37,  27.54,2725.85,33956.39,   0.00,37108.13,11492.16,11492.58,8006.42,4059.10,2057.88,  0.009,  0.009,  0.006,  0.003,  0.002,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,0.00000,-0.00000,-0.00000,   0.00,   0.00,   0.00,   0.00
 24,   0.00,   0.00, 370.37,  27.54,2725.85,33956.39,   0.00,37108.13,11492.16,11492.58,8006.42,4059.10,2057.88,  0.009,  0.009,  0.006,  0.003,  0.002,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,0.00000,-0.00000,-0.00000,   0.00,   0.00,   0.00,   0.00
 25,   0.00,   0.00, 370.37,   7.58,2725.85,33956.39,   0.00,37108.13,11492.16,11492.57,8006.42,4059.10,2057.88,  0.009,  0.009,  0.006,  0.003,  0.002,  -0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,0.00000,-0.00000,-0.00000,   0.00,   0.00,   0.00,   0.00
 26,   0.00,   0.00, 370.37,   1.33,2725.85,33956.39,   0.00,37108.13,11492.16,11492.58,8006.42,4059.10,2057.88,  0.009,  0.009,  0.006,  0.003,  0.002,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,0.00000,-0.00000,-0.00000,   0.00,   0.00,   0.00,   0.00
 27,   0.00,   0.00, 370.37,   0.00,2725.85,33956.39,   0.00,37108.13,11492.16,11492.57,8006.42,4059.10,2057.88,  0.009,  0.009,  0.006,  0.003,  0.002,  -0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,0.00000,-0.00000,-0.00000,   0.00,   0.00,   0.00,   0.00
 28,   0.00,   0.00, 370.37,  -0.00,2725.85,33956.39,   0.00,37108.13,11492.16,11492.57,8006.42,4059.10,2057.88,  0.009,  0.009,  0.006,  0.003,  0.002,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,0.00000,-0.00000,-0.00000,   0.00,   0.00,   0.00,   0.00
 29,   0.00,   0.00, 370.37,  -0.00,2725.85,33956.39,   0.00,37108.13,11492.16,11492.57,8006.42,4059.10,2057.88,  0.009,  0.009,  0.006,  0.003,  0.002,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,0.00000,-0.00000,-0.00000,   0.00,   0.00,   0.00,   0.00
 30,   0.00,   0.00, 370.37,  -0.00,2725.85,33956.39,   0.00,37108.13,11492.16,11492.57,8006.42,4059.10,2057.88,  0.009,  0.009,  0.006,  0.003,  0.002,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,0.00000,-0.00000,-0.00000,   0.00,   0.00,   0.00,   0.00
