Daily climate at site test_site in year 1
Day,Temp.(C),Prec.(mm),WindSpeed(m/s),Radiation(MJ/m2/d),Humidity(),PET(mm),Actual_ET(mm),Evaporation(mm),Transpiration(mm)
  44,  -10.60,    0.00,    2.00,   13.36,   60.00,    0.60,    0.60,    0.60,    0.00
  45,   -6.60,    0.30,    2.00,   12.98,   60.00,    0.73,    0.73,    0.73,    0.00
  46,  -10.10,    0.00,    2.00,   13.70,   60.00,    0.65,    0.65,    0.65,    0.00
  47,   -5.60,    4.80,    2.00,    7.12,   60.00,    0.42,    0.42,    0.42,    0.00
  48,    1.40,    2.00,    2.00,   10.63,   60.00,    1.06,    1.06,    1.06,    0.00
  49,    7.90,    0.00,    2.00,   14.22,   60.00,    1.44,    1.44,    1.44,    0.00
  50,    0.90,    0.00,    2.00,   14.40,   60.00,    1.02,    1.02,    1.02,    0.00
  51,    3.40,   18.80,    2.00,    1.07,   60.00,    0.43,    0.43,    0.43,    0.00
  52,    1.90,   36.30,    2.00,    0.09,   60.00,    0.23,    0.23,    0.23,    0.00
  53,   -1.60,    0.00,    2.00,   14.94,   60.00,    0.94,    0.94,    0.94,    0.00
  54,   -3.10,    0.00,    2.00,   15.12,   60.00,    0.93,    0.93,    0.93,    0.00
  55,   -6.10,    0.00,    2.00,   15.30,   60.00,    0.79,    0.79,    0.79,    0.00
  56,   -3.10,    0.00,    2.00,   15.49,   60.00,    1.08,    1.08,    1.08,    0.00
  57,    0.40,    4.80,    2.00,    8.04,   60.00,    0.68,    0.68,    0.68,    0.00
  58,   -1.60,    3.60,    2.00,    9.61,   60.00,    0.67,    0.67,    0.67,    0.00
  59,    1.90,    0.30,    2.00,   15.39,   60.00,    1.24,    1.24,    1.24,    0.00
  60,    5.90,    0.30,    2.00,   15.57,   60.00,    1.56,    1.56,    1.56,    0.00
  61,    0.40,    0.00,    2.00,   16.43,   60.00,    1.27,    1.27,    1.27,    0.00
  62,    1.40,    0.00,    2.00,   16.62,   60.00,    1.32,    1.32,    1.32,    0.00
  63,   -0.60,    0.00,    2.00,   16.81,   60.00,    1.15,    1.15,    1.15,    0.00
  64,   -1.60,    0.00,    2.00,   17.00,   60.00,    1.14,    1.14,    1.14,    0.00
  65,   -3.60,    0.00,    2.00,   17.19,   60.00,    1.07,    1.07,    1.07,    0.00
  66,    3.90,    0.00,    2.00,   17.39,   60.00,    2.05,    2.05,    2.05,    0.00
  67,    3.40,    0.00,    2.00,   17.58,   60.00,    1.83,    1.47,    1.47,    0.00
  68,    4.40,   19.80,    2.00,    1.13,   60.00,    0.42,    0.41,    0.41,    0.00
  69,    6.40,    0.00,    2.00,   17.97,   60.00,    2.09,    1.99,    1.99,    0.00
  70,    3.90,    0.00,    2.00,   18.16,   60.00,    1.74,    1.32,    1.32,    0.00
  71,    3.40,    0.00,    2.00,   18.35,   60.00,    1.75,    1.05,    1.05,    0.00
  72,    4.40,    1.80,    2.00,   14.44,   60.00,    1.42,    1.12,    1.12,    0.00
  73,   -4.60,    0.00,    2.00,   18.74,   60.00,    1.18,    0.00,    0.00,    0.00
  74,   -8.10,    0.00,    2.00,   18.94,   60.00,    0.97,    0.00,    0.00,    0.00
  75,   -1.60,    0.00,    2.00,   19.13,   60.00,    1.55,    0.00,    0.00,    0.00
  76,    5.90,    0.00,    2.00,   19.33,   60.00,    2.20,    1.31,    1.31,    0.00
  77,    3.40,    0.30,    2.00,   18.72,   60.00,    1.64,    0.81,    0.81,    0.00
  78,    4.40,    0.00,    2.00,   19.71,   60.00,    1.99,    0.78,    0.78,    0.00
  79,    7.90,    0.00,    2.00,   19.91,   60.00,    2.34,    0.74,    0.74,    0.00
  80,   11.40,    0.00,    2.00,   20.10,   60.00,    2.93,    0.74,    0.74,    0.00
  81,    6.40,    0.00,    2.00,   20.29,   60.00,    2.02,    0.42,    0.42,    0.00
  82,    4.90,    0.00,    2.00,   20.48,   60.00,    1.94,    0.35,    0.35,    0.00
  83,    3.40,   25.40,    2.00,    0.61,   60.00,    0.33,    0.31,    0.31,    0.00
  84,    3.40,    0.00,    2.00,   20.86,   60.00,    1.79,    1.73,    1.73,    0.00
  85,    8.40,    0.00,    2.00,   21.05,   60.00,    2.97,    2.23,    2.23,    0.00
  86,   13.40,    0.00,    2.00,   21.24,   60.00,    3.24,    1.72,    1.72,    0.00
  87,   11.40,    3.60,    2.00,   12.99,   60.00,    1.86,    1.62,    1.62,    0.00
  88,    7.40,    0.00,    2.00,   21.62,   60.00,    2.18,    1.44,    1.44,    0.00
  89,    6.40,    2.50,    2.00,   15.40,   60.00,    1.73,    1.44,    1.44,    0.00
  90,    4.90,    0.00,    2.00,   21.99,   60.00,    2.41,    1.50,    1.50,    0.00
  91,   10.90,    0.00,    2.00,   22.17,   60.00,    2.92,    1.27,    1.27,    0.00
  92,   11.40,    0.00,    2.00,   22.36,   60.00,    3.04,    0.97,    0.97,    0.00
  93,   12.40,    1.00,    2.00,   19.61,   60.00,    2.42,    0.90,    0.90,    0.00
  94,   11.90,    0.50,    2.00,   21.19,   60.00,    2.74,    0.92,    0.92,    0.00
  95,   14.90,    9.10,    2.00,    6.46,   60.00,    1.20,    1.07,    1.07,    0.00
  96,    5.90,    0.00,    2.00,   23.08,   60.00,    2.42,    2.16,    2.16,    0.00
  97,    0.90,    0.00,    2.00,   23.25,   60.00,    1.86,    1.23,    1.23,    0.00
  98,   -3.60,    0.00,    2.00,   23.43,   60.00,    1.42,    0.00,    0.00,    0.00
  99,   -1.60,    0.00,    2.00,   23.60,   60.00,    1.70,    0.87,    0.87,    0.00
 100,    1.40,    1.50,    2.00,   19.30,   60.00,    1.49,    0.97,    0.97,    0.00
 101,   -0.10,    2.80,    2.00,   16.23,   60.00,    1.17,    1.17,    1.17,    0.00
 102,    0.40,    3.60,    2.00,   14.62,   60.00,    1.11,    1.11,    1.11,    0.00
 103,    0.40,    1.00,    2.00,   21.13,   60.00,    1.61,    1.54,    1.54,    0.00
 104,    1.90,    0.00,    2.00,   24.45,   60.00,    2.08,    1.59,    1.59,    0.00
 105,    8.90,    0.00,    2.00,   24.62,   60.00,    2.70,    1.48,    1.48,    0.00
 106,    1.90,    0.00,    2.00,   24.78,   60.00,    2.00,    0.80,    0.80,    0.00
 107,    4.90,    0.00,    2.00,   24.94,   60.00,    2.47,    0.78,    0.78,    0.00
 108,    7.90,    2.30,    2.00,   18.23,   60.00,    2.38,    1.34,    1.34,    0.00
 109,   10.90,    0.00,    2.00,   25.26,   60.00,    3.21,    1.17,    1.17,    0.00
 110,    8.90,    0.00,    2.00,   25.41,   60.00,    2.77,    0.70,    0.70,    0.00
 111,    9.90,    0.00,    2.00,   25.57,   60.00,    2.89,    0.56,    0.56,    0.00
 112,    9.40,    0.00,    2.00,   25.72,   60.00,    2.88,    0.44,    0.44,    0.00
 113,   10.40,    0.00,    2.00,   25.87,   60.00,    2.89,    0.36,    0.36,    0.00
 114,    9.40,    0.00,    2.00,   26.02,   60.00,    2.91,    0.31,    0.31,    0.00
 115,    9.40,    0.00,    2.00,   26.17,   60.00,    3.18,    0.28,    0.28,    0.00
 116,   10.90,    0.00,    2.00,   26.31,   60.00,    3.22,    0.25,    0.25,    0.00
 117,   14.40,    0.00,    2.00,   26.45,   60.00,    3.37,    0.23,    0.23,    0.00
 118,   12.40,    0.00,    2.00,   26.59,   60.00,    3.56,    0.21,    0.21,    0.00
 119,   17.90,    0.00,    2.00,   26.73,   60.00,    3.89,    0.20,    0.20,    0.00
 120,    9.40,   10.70,    2.00,    6.07,   60.00,    1.17,    0.91,    0.91,    0.00
 121,    9.40,    0.30,    2.00,   25.90,   60.00,    2.90,    2.44,    2.44,    0.00
 122,    9.90,    9.90,    2.00,    6.85,   60.00,    0.99,    0.91,    0.91,    0.00
 123,   10.90,    0.00,    2.00,   27.26,   60.00,    3.05,    2.71,    2.71,    0.00
 124,   11.40,    0.00,    2.00,   27.39,   60.00,    3.42,    2.13,    2.13,    0.00
 125,   16.90,    0.00,    2.00,   27.51,   60.00,    3.94,    1.69,    1.69,    0.00
 126,   11.90,    0.00,    2.00,   27.64,   60.00,    3.56,    1.12,    1.12,    0.00
 127,   12.40,   39.90,    2.00,    0.11,   60.00,    0.41,    0.39,    0.39,    0.00
 128,   14.40,    0.00,    2.00,   27.88,   60.00,    3.58,    3.33,    3.33,    0.00
 129,   11.90,    0.00,    2.00,   27.99,   60.00,    3.34,    2.20,    2.20,    0.00
 130,   12.40,    0.00,    2.00,   28.10,   60.00,    3.71,    1.73,    1.73,    0.00
 131,   14.90,    0.00,    2.00,   28.22,   60.00,    3.71,    1.27,    1.27,    0.00
 132,   11.90,    0.30,    2.00,   27.17,   60.00,    3.26,    0.98,    0.98,    0.00
 133,    8.40,    0.30,    2.00,   27.27,   60.00,    2.85,    0.77,    0.77,    0.00
 134,    6.90,    0.00,    2.00,   28.53,   60.00,    2.77,    0.60,    0.60,    0.00
 135,    7.40,    0.00,    2.00,   28.64,   60.00,    2.86,    0.51,    0.51,    0.00
 136,   11.90,    0.00,    2.00,   28.73,   60.00,    4.02,    0.59,    0.59,    0.00
 137,   16.95,    0.00,    2.00,   28.83,   60.00,    4.38,    0.54,    0.54,    0.00
 138,   23.90,   15.50,    2.00,    3.35,   60.00,    1.53,    1.38,    1.38,    0.00
 139,   12.90,    0.00,    2.00,   29.01,   60.00,    3.56,    3.16,    3.16,    0.00
 140,   11.40,    0.00,    2.00,   29.10,   60.00,    3.43,    2.08,    2.08,    0.00
 141,   10.90,    0.00,    2.00,   29.19,   60.00,    3.41,    1.49,    1.46,    0.04
 142,   13.40,    0.00,    2.00,   29.27,   60.00,    3.76,    1.26,    1.18,    0.09
 143,   16.40,    0.00,    2.00,   29.35,   60.00,    4.14,    1.14,    0.96,    0.17
 144,   19.90,    0.00,    2.00,   29.43,   60.00,    4.54,    1.11,    0.81,    0.30
 145,   14.90,    0.00,    2.00,   29.51,   60.00,    3.69,    0.76,    0.53,    0.23
 146,    9.90,   47.80,    2.00,    0.04,   60.00,    0.39,    0.37,    0.25,    0.12
 147,   12.40,    3.80,    2.00,   17.48,   60.00,    2.25,    2.24,    2.04,    0.20
 148,   11.40,    3.30,    2.00,   18.78,   60.00,    2.20,    2.19,    2.00,    0.18
 149,   13.40,    0.30,    2.00,   28.57,   60.00,    3.40,    2.88,    2.62,    0.26
 150,   13.90,    0.00,    2.00,   29.84,   60.00,    3.70,    2.13,    1.83,    0.30
 151,   17.40,    0.30,    2.00,   28.68,   60.00,    4.28,    2.01,    1.56,    0.45
 152,   17.90,    0.00,    2.00,   29.96,   60.00,    4.55,    1.67,    1.17,    0.50
 153,   19.40,    0.00,    2.00,   30.01,   60.00,    4.50,    1.44,    0.85,    0.59
 154,   16.90,    0.00,    2.00,   30.07,   60.00,    4.04,    1.12,    0.61,    0.51
 155,   18.40,    0.00,    2.00,   30.11,   60.00,    4.39,    1.13,    0.54,    0.60
 156,   18.05,    0.00,    2.00,   30.16,   60.00,    4.30,    1.04,    0.44,    0.60
 157,   17.55,    0.30,    2.00,   28.97,   60.00,    4.07,    1.03,    0.44,    0.59
 158,   18.55,    5.60,    2.00,   13.88,   60.00,    2.46,    1.90,    1.25,    0.65
 159,   17.95,    5.10,    2.00,   14.90,   60.00,    2.59,    2.30,    1.66,    0.64
 160,   19.45,    2.50,    2.00,   21.41,   60.00,    3.39,    3.15,    2.42,    0.72
 161,   18.45,    0.00,    2.00,   30.35,   60.00,    4.43,    3.00,    2.32,    0.68
 162,   19.90,    0.00,    2.00,   30.38,   60.00,    4.65,    2.19,    1.43,    0.76
 163,   20.90,    1.80,    2.00,   23.67,   60.00,    3.78,    3.78,    0.00,    3.78
 164,   21.40,    0.30,    2.00,   29.18,   60.00,    4.74,    4.74,    0.00,    4.74
 165,   19.90,    0.00,    2.00,   30.45,   60.00,    4.58,    4.58,    0.00,    4.58
 166,   22.90,    0.00,    2.00,   30.46,   60.00,    5.05,    5.05,    0.00,    5.05
 167,   23.40,    0.00,    2.00,   30.48,   60.00,    5.07,    5.07,    0.00,    5.07
 168,   19.90,    0.00,    2.00,   30.49,   60.00,    4.58,    4.58,    0.00,    4.58
 169,   22.90,    0.00,    2.00,   30.50,   60.00,    4.97,    4.97,    0.00,    4.97
 170,   22.40,    0.80,    2.00,   27.30,   60.00,    4.53,    4.53,    0.00,    4.53
 171,   27.40,    0.00,    2.00,   30.51,   60.00,    5.40,    5.40,    0.00,    5.40
 172,   26.00,    0.00,    2.00,   30.51,   60.00,    5.29,    5.29,    0.00,    5.29
 173,   24.90,    0.00,    2.00,   30.51,   60.00,    5.23,    5.23,    0.00,    5.23
 174,   27.40,    0.00,    2.00,   30.50,   60.00,    5.51,    5.22,    0.09,    5.13
 175,   27.40,    0.00,    2.00,   30.50,   60.00,    5.45,    3.95,    0.46,    3.49
 176,   22.40,    8.60,    2.00,    9.22,   60.00,    2.09,    2.09,    0.00,    2.09
 177,   21.40,    0.00,    2.00,   30.47,   60.00,    4.90,    4.86,    0.43,    4.43
 178,   21.90,    0.00,    2.00,   30.46,   60.00,    4.92,    4.85,    0.33,    4.52
 179,   23.90,    2.80,    2.00,   20.62,   60.00,    3.85,    3.85,    0.00,    3.85
 180,   24.90,    3.00,    2.00,   20.04,   60.00,    3.79,    3.79,    0.00,    3.79
 181,   24.90,    0.30,    2.00,   29.15,   60.00,    4.97,    4.90,    1.34,    3.56
 182,   25.40,    0.00,    2.00,   30.37,   60.00,    5.31,    4.92,    1.12,    3.80
 183,   21.40,    0.00,    2.00,   30.34,   60.00,    4.71,    4.34,    0.51,    3.83
 184,   18.40,    0.00,    2.00,   30.30,   60.00,    4.27,    3.95,    0.30,    3.65
 185,   15.90,    0.00,    2.00,   30.27,   60.00,    3.99,    3.43,    0.39,    3.04
 186,   15.90,    0.00,    2.00,   30.23,   60.00,    4.21,    2.86,    0.75,    2.11
 187,   18.40,    0.00,    2.00,   30.19,   60.00,    4.48,    2.75,    0.72,    2.03
 188,   17.90,    0.00,    2.00,   30.15,   60.00,    4.56,    2.58,    0.63,    1.95
 189,   24.90,    0.00,    2.00,   30.10,   60.00,    5.17,    2.58,    0.64,    1.94
 190,   17.90,    0.00,    2.00,   30.05,   60.00,    4.21,    2.35,    0.37,    1.98
 191,   19.40,    0.00,    2.00,   30.00,   60.00,    4.58,    2.27,    0.39,    1.88
 192,   22.40,    0.00,    2.00,   29.95,   60.00,    4.96,    2.22,    0.39,    1.83
 193,   25.90,    0.00,    2.00,   29.89,   60.00,    5.26,    2.15,    0.37,    1.78
 194,   26.90,    3.60,    2.00,   18.08,   60.00,    3.64,    2.78,    1.10,    1.68
 195,   24.90,   13.20,    2.00,    4.75,   60.00,    1.56,    1.56,    0.00,    1.56
 196,   23.90,    0.30,    2.00,   28.49,   60.00,    5.00,    4.80,    2.77,    2.03
 197,   25.40,    0.00,    2.00,   29.64,   60.00,    5.30,    4.02,    2.23,    1.79
 198,   25.40,    0.00,    2.00,   29.57,   60.00,    5.20,    3.25,    1.49,    1.76
 199,   26.90,    0.00,    2.00,   29.49,   60.00,    5.34,    2.85,    1.16,    1.69
 200,   26.90,    0.00,    2.00,   29.42,   60.00,    5.33,    2.49,    0.91,    1.57
 201,   26.40,    1.00,    2.00,   25.53,   60.00,    4.75,    2.44,    0.99,    1.45
 202,   24.90,    2.80,    2.00,   19.83,   60.00,    3.62,    2.76,    1.39,    1.37
 203,   20.40,    0.50,    2.00,   27.22,   60.00,    4.02,    2.59,    1.24,    1.35
 204,   23.90,    0.00,    2.00,   29.09,   60.00,    4.77,    2.24,    1.02,    1.22
 205,   23.40,    0.00,    2.00,   29.01,   60.00,    4.72,    1.90,    0.71,    1.19
 206,   28.40,    0.00,    2.00,   28.92,   60.00,    5.58,    1.84,    0.67,    1.17
 207,   29.90,    0.00,    2.00,   28.83,   60.00,    5.62,    1.67,    0.53,    1.14
 208,   28.40,    0.00,    2.00,   28.73,   60.00,    5.46,    1.53,    0.41,    1.12
 209,   25.40,    6.30,    2.00,   11.93,   60.00,    2.68,    2.22,    1.13,    1.08
 210,   20.90,    0.00,    2.00,   28.54,   60.00,    4.39,    3.01,    1.74,    1.26
 211,   18.90,    0.00,    2.00,   28.43,   60.00,    4.38,    2.11,    1.05,    1.06
 212,   18.90,    0.00,    2.00,   28.33,   60.00,    4.36,    1.68,    0.70,    0.98
 213,   20.40,    0.00,    2.00,   28.22,   60.00,    4.59,    1.45,    0.54,    0.91
 214,   25.90,    0.00,    2.00,   28.12,   60.00,    5.20,    1.34,    0.48,    0.86
 215,   24.90,    2.50,    2.00,   19.78,   60.00,    4.05,    2.07,    1.23,    0.84
 216,   24.90,    0.30,    2.00,   26.75,   60.00,    4.70,    1.72,    0.90,    0.82
 217,   17.90,    0.00,    2.00,   27.78,   60.00,    4.08,    1.10,    0.48,    0.62
 218,   16.40,    0.00,    2.00,   27.66,   60.00,    3.94,    0.79,    0.34,    0.45
 219,   18.40,    0.00,    2.00,   27.54,   60.00,    4.26,    0.60,    0.28,    0.31
 220,   18.90,    0.00,    2.00,   27.42,   60.00,    4.36,    0.37,    0.24,    0.13
 221,   21.40,    0.00,    2.00,   27.30,   60.00,    4.26,    0.23,    0.20,    0.03
 222,   20.90,    2.50,    2.00,   19.19,   60.00,    3.28,    1.09,    1.06,    0.03
 223,   17.40,    8.10,    2.00,    8.77,   60.00,    1.55,    1.17,    1.12,    0.06
 224,   20.90,    1.50,    2.00,   21.85,   60.00,    3.44,    2.80,    2.70,    0.09
 225,   22.40,    0.00,    2.00,   26.78,   60.00,    4.31,    2.07,    1.99,    0.08
 226,   23.60,    0.00,    2.00,   26.65,   60.00,    4.48,    1.21,    1.18,    0.04
 227,   24.45,    9.90,    2.00,    6.69,   60.00,    1.94,    1.64,    1.63,    0.02
 228,   25.40,   43.70,    2.00,    0.06,   60.00,    1.11,    1.08,    1.05,    0.03
 229,   21.90,    0.00,    2.00,   26.24,   60.00,    4.15,    3.78,    3.77,    0.01
 230,   18.90,    0.00,    2.00,   26.10,   60.00,    3.75,    2.33,    2.33,    0.00
 231,   17.90,    0.30,    2.00,   24.89,   60.00,    3.50,    1.66,    1.66,    0.00
 232,   19.40,    0.00,    2.00,   25.81,   60.00,    3.91,    1.35,    1.35,    0.00
 233,   18.90,    0.00,    2.00,   25.66,   60.00,    3.95,    1.03,    1.03,    0.00
 234,   17.40,    0.30,    2.00,   24.47,   60.00,    3.60,    0.84,    0.84,    0.00
 235,   17.90,    4.60,    2.00,   13.38,   60.00,    2.49,    1.78,    1.78,    0.00
 236,   24.40,    0.00,    2.00,   25.21,   60.00,    4.33,    1.97,    1.97,    0.00
 237,   20.40,    0.00,    2.00,   25.06,   60.00,    3.81,    1.03,    1.03,    0.00
 238,   23.40,    0.50,    2.00,   23.23,   60.00,    4.02,    0.98,    0.98,    0.00
 239,   21.90,    0.30,    2.00,   23.73,   60.00,    3.83,    0.77,    0.77,    0.00
 240,   23.40,    0.30,    2.00,   23.58,   60.00,    4.24,    0.75,    0.75,    0.00
 241,   21.40,    0.00,    2.00,   24.43,   60.00,    3.89,    0.50,    0.50,    0.00
 242,   23.40,   34.00,    2.00,    0.21,   60.00,    0.89,    0.84,    0.84,    0.00
 243,   23.90,    0.30,    2.00,   23.12,   60.00,    4.03,    3.70,    3.70,    0.00
 244,   22.90,    0.00,    2.00,   23.94,   60.00,    4.10,    2.55,    2.55,    0.00
 245,   21.40,    5.10,    2.00,   11.70,   60.00,    2.27,    2.22,    2.22,    0.00
 246,   16.40,    0.00,    2.00,   23.60,   60.00,    3.26,    2.45,    2.45,    0.00
 247,   13.90,    0.00,    2.00,   23.44,   60.00,    3.16,    1.56,    1.56,    0.00
 248,   18.40,    0.00,    2.00,   23.27,   60.00,    3.57,    1.27,    1.27,    0.00
 249,   22.90,    0.00,    2.00,   23.09,   60.00,    4.17,    1.10,    1.10,    0.00
 250,   20.80,    0.00,    2.00,   22.92,   60.00,    3.73,    0.76,    0.76,    0.00
 251,   20.80,    0.00,    2.00,   22.75,   60.00,    3.71,    0.61,    0.61,    0.00
 252,   19.40,    0.50,    2.00,   21.06,   60.00,    3.27,    0.59,    0.59,    0.00
 253,   16.40,    0.00,    2.00,   22.40,   60.00,    3.26,    0.47,    0.47,    0.00
 254,   15.40,    0.30,    2.00,   21.31,   60.00,    3.12,    0.46,    0.46,    0.00
 255,   15.40,    0.00,    2.00,   22.04,   60.00,    3.30,    0.39,    0.39,    0.00
 256,   16.40,    0.50,    2.00,   20.40,   60.00,    2.90,    0.43,    0.43,    0.00
 257,   19.40,    0.00,    2.00,   21.69,   60.00,    3.41,    0.39,    0.39,    0.00
 258,   20.40,    0.30,    2.00,   20.63,   60.00,    3.54,    0.43,    0.43,    0.00
 259,   22.90,    7.10,    2.00,    7.95,   60.00,    2.18,    1.65,    1.65,    0.00
 260,   19.90,    0.00,    2.00,   21.14,   60.00,    3.60,    2.17,    2.17,    0.00
 261,   19.40,    1.80,    2.00,   16.32,   60.00,    3.02,    1.82,    1.82,    0.00
 262,   22.40,    0.00,    2.00,   20.77,   60.00,    3.67,    1.27,    1.27,    0.00
 263,   13.90,    0.00,    2.00,   20.59,   60.00,    2.72,    0.62,    0.62,    0.00
 264,   12.40,    0.00,    2.00,   20.40,   60.00,    2.60,    0.44,    0.44,    0.00
 265,   13.90,   11.90,    2.00,    3.87,   60.00,    0.85,    0.72,    0.72,    0.00
 266,   15.40,   15.20,    2.00,    2.42,   60.00,    0.80,    0.77,    0.77,    0.00
 267,   13.40,    0.00,    2.00,   19.85,   60.00,    2.78,    2.58,    2.58,    0.00
 268,   16.90,    0.00,    2.00,   19.66,   60.00,    3.35,    2.24,    2.24,    0.00
 269,   16.90,    0.00,    2.00,   19.47,   60.00,    3.21,    1.52,    1.52,    0.00
 270,   18.40,    0.00,    2.00,   19.28,   60.00,    3.09,    1.11,    1.11,    0.00
 271,   18.75,    0.00,    2.00,   19.10,   60.00,    3.14,    0.89,    0.89,    0.00
 272,   19.40,    0.00,    2.00,   18.91,   60.00,    3.23,    0.75,    0.75,    0.00
 273,   15.90,    0.00,    2.00,   18.72,   60.00,    2.93,    0.56,    0.56,    0.00
 274,   12.40,    0.00,    2.00,   18.53,   60.00,    2.65,    0.43,    0.43,    0.00
 275,   19.40,    0.00,    2.00,   18.34,   60.00,    3.64,    0.51,    0.51,    0.00
 276,   20.30,    0.00,    2.00,   18.16,   60.00,    3.70,    0.44,    0.44,    0.00
 277,   18.40,    0.00,    2.00,   17.97,   60.00,    3.13,    0.32,    0.32,    0.00
 278,   20.40,    0.00,    2.00,   17.78,   60.00,    3.53,    0.32,    0.32,    0.00
 279,   22.40,    0.00,    2.00,   17.59,   60.00,    3.45,    0.28,    0.28,    0.00
 280,   22.40,    0.00,    2.00,   17.40,   60.00,    3.32,    0.24,    0.24,    0.00
 281,   23.40,    0.00,    2.00,   17.22,   60.00,    3.07,    0.20,    0.20,    0.00
 282,   12.90,    0.00,    2.00,   17.03,   60.00,    2.49,    0.14,    0.14,    0.00
 283,   12.90,    0.00,    2.00,   16.84,   60.00,    2.68,    0.07,    0.07,    0.00
 284,   19.90,    0.00,    2.00,   16.66,   60.00,    2.96,    0.07,    0.07,    0.00
 285,   19.40,   21.30,    2.00,    0.85,   60.00,    0.76,    0.37,    0.37,    0.00
 286,    9.40,    0.00,    2.00,   16.29,   60.00,    2.03,    1.12,    1.12,    0.00
