Daily climate at site test_site in year 1
Day,Temp.(C),Prec.(mm),WindSpeed(m/s),Radiation(MJ/m2/d),Humidity(),PET(mm),Actual_ET(mm),Evaporation(mm),Transpiration(mm)
   1,    0.90,    0.80,    2.00,    7.77,   60.00,    0.74,    0.46,    0.46,    0.00
   2,    5.90,    0.30,    2.00,    8.37,   60.00,    1.05,    0.59,    0.59,    0.00
   3,    7.40,    0.30,    2.00,    8.41,   60.00,    1.21,    0.60,    0.60,    0.00
   4,    7.40,    0.30,    2.00,    8.46,   60.00,    1.22,    0.53,    0.53,    0.00
   5,   -5.60,    0.00,    2.00,    8.87,   60.00,    0.69,    0.00,    0.00,    0.00
   6,   -8.60,    0.00,    2.00,    8.92,   60.00,    0.53,    0.00,    0.00,    0.00
   7,   -8.60,    0.00,    2.00,    8.98,   60.00,    0.56,    0.00,    0.00,    0.00
   8,   -7.10,    0.00,    2.00,    9.04,   60.00,    0.67,    0.00,    0.00,    0.00
   9,   -7.60,    1.30,    2.00,    7.60,   60.00,    0.50,    0.50,    0.50,    0.00
  10,  -16.10,    0.00,    2.00,    9.17,   60.00,    0.34,    0.34,    0.34,    0.00
  11,  -19.10,    0.00,    2.00,    9.24,   60.00,    0.27,    0.27,    0.27,    0.00
  12,  -20.10,    0.00,    2.00,    9.32,   60.00,    0.25,    0.20,    0.20,    0.00
  13,  -14.10,    0.00,    2.00,    9.40,   60.00,    0.39,    0.00,    0.00,    0.00
  14,  -14.10,    0.00,    2.00,    9.48,   60.00,    0.44,    0.00,    0.00,    0.00
  15,   -9.10,    0.00,    2.00,    9.56,   60.00,    0.55,    0.00,    0.00,    0.00
  16,  -16.10,    0.00,    2.00,    9.65,   60.00,    0.35,    0.00,    0.00,    0.00
  17,  -19.10,    0.00,    2.00,    9.74,   60.00,    0.32,    0.00,    0.00,    0.00
  18,  -16.10,    0.00,    2.00,    9.84,   60.00,    0.39,    0.00,    0.00,    0.00
  19,   -5.10,    5.60,    2.00,    4.56,   60.00,    0.51,    0.51,    0.51,    0.00
  20,   -1.60,    0.00,    2.00,   10.04,   60.00,    0.94,    0.94,    0.94,    0.00
  21,    4.40,    1.00,    2.00,    8.83,   60.00,    1.08,    1.08,    1.08,    0.00
  22,   -0.10,    0.00,    2.00,   10.26,   60.00,    1.21,    1.21,    1.21,    0.00
  23,   -8.10,    0.00,    2.00,   10.37,   60.00,    0.58,    0.58,    0.58,    0.00
  24,   -8.60,    0.00,    2.00,   10.48,   60.00,    0.65,    0.65,    0.65,    0.00
  25,  -17.60,    0.00,    2.00,   10.60,   60.00,    0.32,    0.32,    0.32,    0.00
  26,  -15.60,    0.00,    2.00,   10.72,   60.00,    0.40,    0.31,    0.31,    0.00
  27,  -16.70,    0.00,    2.00,   10.85,   60.00,    0.41,    0.00,    0.00,    0.00
  28,  -16.60,    0.00,    2.00,   10.97,   60.00,    0.42,    0.00,    0.00,    0.00
  29,  -13.60,    0.00,    2.00,   11.10,   60.00,    0.48,    0.00,    0.00,    0.00
  30,  -11.10,    0.00,    2.00,   11.24,   60.00,    0.61,    0.00,    0.00,    0.00
  31,   -0.10,   11.70,    2.00,    2.24,   60.00,    0.57,    0.57,    0.57,    0.00
  32,    0.90,    0.30,    2.00,   11.04,   60.00,    0.83,    0.83,    0.83,    0.00
  33,    0.40,    0.00,    2.00,   11.65,   60.00,    0.87,    0.87,    0.87,    0.00
  34,   -1.10,    0.00,    2.00,   11.79,   60.00,    0.84,    0.84,    0.84,    0.00
  35,   -1.60,    4.30,    2.00,    6.57,   60.00,    0.52,    0.52,    0.52,    0.00
  36,   -4.10,    0.30,    2.00,   11.59,   60.00,    0.69,    0.69,    0.69,    0.00
  37,   -5.10,    0.00,    2.00,   12.24,   60.00,    0.67,    0.67,    0.67,    0.00
  38,   -5.10,    0.00,    2.00,   12.39,   60.00,    0.68,    0.68,    0.68,    0.00
  39,   -2.60,    5.60,    2.00,    5.76,   60.00,    0.43,    0.43,    0.43,    0.00
  40,   -2.60,    1.80,    2.00,    9.89,   60.00,    0.60,    0.60,    0.60,    0.00
  41,   -4.10,    0.00,    2.00,   12.87,   60.00,    0.69,    0.69,    0.69,    0.00
  42,   -5.10,    0.00,    2.00,   13.03,   60.00,    0.67,    0.67,    0.67,    0.00
  43,   -9.10,    1.30,    2.00,   11.01,   60.00,    0.56,    0.56,    0.56,    0.00
