Multi-year report for site test_site

Year ,GrainC1    ,LeafC1     ,StemC1     ,RootC1     ,GrainC2    ,LeafC2     ,StemC2     ,RootC2     ,GrainC3    ,LeafC3     ,StemC3     ,RootC3     ,SOC 0-10cm ,SOC 10-20cm,SOC 20-30cm,SOC 30-40cm,SOC 40-50cm,SOC 0-10cm ,SOC 10-20cm,SOC 20-30cm,SOC 30-40cm,SOC 40-50cm,IniSOC     ,End_SOC    ,dSOC       ,LitterC_input,RootC_input,ManureC_input,Soil-CO2   ,Leach_DOC  ,CH4        ,IniSON     ,IniSIN     ,EndSON     ,EndSIN     ,dSN        ,Atmo_N_input,Fertilizer_N_input,Manure_N_input,Litter_N_input,N_fixation ,Crop_N_uptake,Leach_NO3  ,Runoff_SON ,Leach_DON  ,N2O_flux   ,NO_flux    ,N2_flux    ,NH3_flux   ,exchengeable-NH4,PET        ,Transpiration,Evaporation,WaterLeach ,Runoff     ,Irrigation ,Precipitation,MeanT      ,WindSpeed  ,ColdStress ,WaterStress,N_Stress   ,Cut_CropC  ,yr_end_grain,yr_end_leaf,yr_end_stem,yr_end_root,yr_end_stub
     ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/kg     ,kgC/kg     ,kgC/kg     ,kgC/kg     ,kgC/kg     ,,kgC/ha     kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgN/ha     ,kgN/ha     ,kgN/ha     ,kgN/ha     ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha     ,mm         ,mm         ,mm         ,mm         ,mm         ,mm         ,mm         ,degree     ,m/s        ,           ,           ,           ,kgC/ha/y   ,kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha     

    1,    1639.33,     901.63,     901.63,     655.73,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,         0.0089,         0.0086,         0.0062,         0.0031,         0.0015,   11345.86,   10929.44,    7869.53,    3897.65,    1976.60,   35842.70,   36019.09,         176.39,          99.42,         655.73,           0.00,         582.44,           7.59,          -1.77,        3552.01,          38.10,        3519.54,         132.37,          61.80,           3.85,         220.00,           0.00,           8.20,           0.00,          63.34,          48.69,           0.69,           0.76,           2.54,           0.30,           0.00,          55.11,           2.61,         860.14,         154.87,         232.90,         230.74,          41.82,           0.00,         575.10,           8.98,           2.00,           1.01,       0.76,       0.96,       0.00,       0.00,       0.00,       0.00,       0.00,    1162.86
