Daily soil climate at site FarmTest1 in year 1
,,,,Soil_temperature,,,,,,,Soil_moisture(wfps),,,,,,,Soil_oxygen(kg O2/layer),,,,,,Soil_Eh(mv),,,,,,WT(m), Ice(wfps),,,,,,Ice,Snowpack,SoilWater,DeepWater,Soil_pH,,,,,,SurfaceWaterT
Day,Temp.(C),Prec.(mm),PET,1,5,10,20,30,40,50,1,5,10,20,30,40,50,1,10,20,30,40,50,1,10,20,30,40,50,,1,10,20,30,40,50,(mm),(mm),(mm),(mm),1,10,20,30,40,50, degreeC

  9,  10.00,   2.30,    1.2,   13.8,   13.7,   13.5,   13.0,   12.5,   13.5,   10.1,   0.42,   0.61,   0.89,   0.95,   0.98,   0.99,   0.99,    0.1,    0.0,    0.0,    0.0,    0.0,    0.0,   33.6,   14.7,    6.6,    6.2,    6.2,    6.2,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   11.2,  14.99,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 10,   2.50,   0.00,    0.8,    4.4,    4.8,    5.8,    7.5,    8.2,    8.6,    8.7,   0.29,   0.47,   0.87,   0.93,   0.96,   0.98,   0.99,    1.0,    0.4,    0.1,    0.0,    0.0,    0.0,  367.5,  148.4,   39.3,   15.8,    7.4,    6.4,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   10.8,  14.97,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 11,   5.84,  15.50,    0.4,    8.0,    8.1,    8.1,    8.2,    8.3,    8.4,    8.5,   0.69,   0.86,   0.91,   0.97,   0.99,   0.99,   0.99,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    7.4,    6.2,    6.2,    6.2,    6.2,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   11.6,  15.10,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 12,   2.50,   0.50,    0.8,    4.6,    5.0,    5.7,    7.1,    7.7,    8.1,    8.2,   0.51,   0.69,   0.89,   0.96,   0.98,   0.99,   0.99,    0.1,    0.0,    0.0,    0.0,    0.0,    0.0,   25.5,   12.2,    6.4,    6.2,    6.2,    6.2,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   11.3,  15.09,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 13,   0.00,   0.00,    0.8,    2.0,    2.5,    3.5,    5.5,    6.5,    7.2,    7.4,   0.34,   0.52,   0.89,   0.93,   0.96,   0.98,   0.99,    0.8,    0.3,    0.1,    0.0,    0.0,    0.0,  316.0,  120.7,   34.8,   13.9,    7.1,    6.4,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   10.9,  15.06,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 14,   0.83,   4.30,    0.5,    1.4,    1.8,    2.7,    4.4,    5.3,    6.1,    6.4,   0.62,   0.81,   0.91,   0.97,   0.99,   0.99,   0.99,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   18.1,    9.9,    6.3,    6.2,    6.2,    6.2,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   11.5,  15.10,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 15,  -2.50,   0.50,    0.6,   -0.3,    0.2,    1.1,    3.1,    4.2,    5.2,    5.6,   0.00,   0.81,   0.91,   0.97,   0.99,   0.99,   0.99,    0.0,    0.2,    0.1,    0.0,    0.0,    0.0,    0.0,   61.0,   27.8,   11.7,    6.7,    6.3,-9.9900,   3.45,   0.00,   0.00,   0.00,   0.00,   0.00,   0.34,   0.00,   11.2,  15.10,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 16,  -5.00,   0.00,    0.6,   -2.7,   -2.0,   -0.8,    1.6,    3.0,    4.2,    4.6,   0.00,   0.00,   0.00,   0.97,   0.99,   0.99,   0.99,    0.0,    0.0,    0.1,    0.0,    0.0,    0.0,    0.0,    0.0,   24.3,   11.4,    6.7,    6.3,-9.9900,   3.45,   5.04,   0.00,   0.00,   0.00,   0.00,   2.30,   0.00,    9.2,  15.10,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 17,  -2.50,   0.00,    0.7,   -0.7,   -0.4,    0.0,    1.4,    2.3,    3.4,    3.8,   0.00,   0.00,   0.20,   0.97,   0.99,   0.99,   0.99,    0.0,    0.0,    0.1,    0.0,    0.0,    0.0,    0.0,    0.0,   24.3,   11.4,    6.7,    6.3,-9.9900,   3.45,   3.92,   0.00,   0.00,   0.00,   0.00,   1.76,   0.00,    9.8,  15.10,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 18,  -0.27,   0.00,    0.8,    1.7,    1.7,    1.8,    2.3,    2.8,    3.9,    3.7,   0.38,   0.58,   0.89,   0.93,   0.96,   0.98,   0.99,    0.7,    0.2,    0.1,    0.0,    0.0,    0.0,  247.0,   94.1,   29.9,   12.3,    6.8,    6.3,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   11.0,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 19,  -4.45,   0.00,    0.6,   -2.4,   -1.8,   -0.8,    1.2,    2.4,    5.2,    2.3,   0.00,   0.00,   0.00,   0.93,   0.96,   0.98,   0.99,    0.0,    0.0,    0.1,    0.1,    0.0,    0.0,    0.0,    0.0,   42.4,   26.9,   12.4,    8.8,-9.9900,   2.11,   4.94,   0.00,   0.00,   0.00,   0.00,   1.94,   0.00,    9.1,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 20,  -8.89,   0.00,    0.5,   -7.5,   -6.6,   -4.8,   -1.2,    0.4,    7.0,   -3.4,   0.00,   0.00,   0.00,   0.00,   0.96,   0.98,   0.00,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   18.1,    9.1,    3.2,-9.9900,   2.11,   4.94,   5.18,   0.00,   0.00,   5.48,   6.68,   0.00,    4.3,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 21,  -8.34,   0.00,    0.5,   -6.8,   -6.2,   -5.1,   -2.5,   -0.6,    9.1,   -7.0,   0.00,   0.00,   0.00,   0.00,   0.00,   0.98,   0.00,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    6.9,    3.0,-9.9900,   2.11,   4.94,   5.18,   5.35,   0.00,   5.48,   8.34,   0.00,    2.7,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 22,  -3.61,   0.00,    0.7,   -1.1,   -1.0,   -0.6,    0.7,    2.1,    9.1,   -1.2,   0.00,   0.00,   0.00,   0.93,   0.96,   0.98,   0.00,    0.0,    0.0,    0.1,    0.1,    0.0,    0.0,    0.0,    0.0,   32.3,   26.3,    9.4,    3.3,-9.9900,   2.11,   4.94,   0.00,   0.00,   0.00,   5.48,   4.37,   0.00,    6.6,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 23,  -5.28,   0.00,    0.6,   -3.7,   -3.2,   -2.3,   -0.0,    1.3,    9.1,   -3.9,   0.00,   0.00,   0.00,   0.00,   0.96,   0.98,   0.00,    0.0,    0.0,    0.0,    0.1,    0.0,    0.0,    0.0,    0.0,    0.0,   24.3,    9.3,    3.3,-9.9900,   2.11,   4.94,   5.18,   0.00,   0.00,   5.48,   5.63,   0.00,    5.4,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 24,  -6.94,   0.30,    0.5,   -3.4,   -3.0,   -2.2,   -0.3,    1.2,    9.1,   -3.6,   0.00,   0.00,   0.00,   0.00,   0.96,   0.98,   0.00,    0.0,    0.0,    0.0,    0.1,    0.0,    0.0,    0.0,    0.0,    0.0,   24.3,    9.3,    3.3,-9.9900,   2.11,   4.94,   5.18,   0.00,   0.00,   5.48,   5.63,   0.00,    5.4,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 25,  -5.84,   1.80,    0.5,   -0.9,   -0.6,   -0.2,    1.1,    2.5,    9.1,   -0.9,   0.00,   0.00,   0.00,   0.93,   0.96,   0.98,   0.00,    0.0,    0.0,    0.1,    0.1,    0.0,    0.0,    0.0,    0.0,   38.8,   26.7,    9.4,    3.3,-9.9900,   2.11,   4.94,   0.00,   0.00,   0.00,   5.48,   3.70,   1.29,    7.3,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 26,  -3.89,   0.50,    0.6,   -0.6,   -0.3,    0.0,    1.6,    2.9,    9.1,   -0.7,   0.00,   0.00,   0.47,   0.93,   0.96,   0.98,   0.00,    0.0,    0.0,    0.1,    0.1,    0.0,    0.0,    0.0,    0.0,   44.3,   27.0,    9.4,    3.3,-9.9900,   2.11,   2.31,   0.00,   0.00,   0.00,   5.48,   2.82,   1.16,    8.2,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 27,  -4.45,   0.30,    0.7,   -0.5,   -0.2,    0.3,    1.8,    3.0,    9.1,   -0.6,   0.00,   0.00,   0.89,   0.93,   0.96,   0.98,   0.00,    0.0,    0.1,    0.1,    0.1,    0.0,    0.0,    0.0,   34.5,   45.4,   27.1,    9.4,    3.3,-9.9900,   2.11,   0.00,   0.00,   0.00,   0.00,   5.48,   2.54,   0.80,    8.5,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 28,  -1.94,   0.00,    0.8,    0.0,    0.2,    0.8,    2.1,    3.3,    9.1,   -0.1,   0.27,   0.58,   0.89,   0.93,   0.96,   0.98,   0.00,    0.0,    0.3,    0.1,    0.1,    0.0,    0.0,    0.0,  106.8,   47.6,   27.2,    9.4,    3.3,-9.9900,   0.62,   0.00,   0.00,   0.00,   0.00,   5.48,   1.70,   0.01,    9.3,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 29,   0.00,   5.10,    0.6,    0.4,    0.6,    1.1,    2.4,    3.5,    9.1,    0.0,   0.38,   0.58,   0.89,   0.93,   0.96,   0.98,   0.15,    1.0,    0.4,    0.1,    0.1,    0.0,    0.0,  387.9,  155.3,   49.1,   27.3,    9.4,    3.3,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   4.67,   1.38,   4.47,    9.6,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 30,   1.38,   1.00,    1.0,    0.6,    0.8,    1.3,    2.5,    3.5,    9.1,    0.0,   0.38,   0.58,   0.89,   0.93,   0.96,   0.98,   0.42,    1.0,    0.4,    0.1,    0.1,    0.0,    0.0,  387.9,  155.3,   49.1,   27.3,    9.4,    3.3,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   3.14,   0.84,   3.50,   10.2,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 31,  -5.28,   0.00,    0.7,   -0.3,    0.0,    0.6,    2.0,    3.0,    8.1,   -0.3,   0.00,   0.34,   0.89,   0.93,   0.96,   0.98,   0.00,    0.0,    0.2,    0.1,    0.1,    0.0,    0.0,    0.0,   73.9,   46.6,   27.2,   12.4,    3.7,-9.9900,   2.11,   0.00,   0.00,   0.00,   0.00,   5.48,   1.44,   2.84,    9.6,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 32,  -1.38,  39.60,    0.2,    0.3,    0.5,    1.0,    2.1,    3.0,    7.7,    0.0,   0.38,   0.58,   0.89,   0.93,   0.96,   0.98,   0.00,    1.0,    0.4,    0.1,    0.1,    0.0,    0.0,  387.9,  155.3,   49.1,   27.3,   12.4,    3.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   5.48,   1.09,  42.23,    9.9,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 33,   0.28,   1.30,    0.5,    0.4,    0.6,    1.0,    2.2,    3.1,    7.7,    0.0,   0.38,   0.58,   0.89,   0.93,   0.96,   0.98,   0.01,    1.0,    0.4,    0.1,    0.1,    0.0,    0.0,  387.9,  155.3,   49.1,   27.3,   12.4,    3.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   5.45,   1.09,  41.76,    9.9,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 34,   0.28,   0.00,    0.5,    0.4,    0.6,    1.1,    2.2,    3.1,    7.7,    0.0,   0.38,   0.58,   0.89,   0.93,   0.96,   0.98,   0.01,    1.0,    0.4,    0.1,    0.1,    0.0,    0.0,  387.9,  155.3,   49.1,   27.3,   12.4,    3.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   5.43,   1.08,  41.23,    9.9,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 35,   1.11,   0.00,    0.6,    0.4,    0.6,    1.1,    2.2,    3.1,    7.7,    0.0,   0.38,   0.58,   0.89,   0.93,   0.96,   0.98,   0.02,    1.0,    0.4,    0.1,    0.1,    0.0,    0.0,  387.9,  155.3,   49.1,   27.3,   12.4,    3.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   5.36,   1.07,  40.66,    9.9,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 36,   4.45,  15.50,    0.3,    0.4,    0.7,    1.1,    2.3,    3.2,    7.7,    0.0,   0.38,   0.58,   0.89,   0.93,   0.96,   0.98,   0.06,    0.0,    0.3,    0.1,    0.1,    0.0,    0.0,    0.0,  106.8,   47.6,   27.2,   12.4,    3.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   5.14,   1.03,  38.12,   10.0,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 37,   1.11,  23.10,    0.2,    0.4,    0.6,    1.1,    2.2,    3.2,    7.7,    0.0,   0.38,   0.58,   0.89,   0.93,   0.96,   0.98,   0.07,    0.0,    0.3,    0.1,    0.1,    0.0,    0.0,    0.0,  106.8,   47.6,   27.2,   12.4,    3.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   5.07,   1.01,  37.89,   10.0,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 38,  -1.94,   0.50,    0.5,    0.4,    0.6,    1.1,    2.2,    3.1,    7.7,    0.0,   0.38,   0.58,   0.89,   0.93,   0.96,   0.98,   0.07,    1.0,    0.4,    0.1,    0.1,    0.0,    0.0,  387.9,  155.3,   49.1,   27.3,   12.4,    3.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   5.09,   1.02,  37.85,   10.0,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 39,  -1.94,   0.00,    0.6,    0.3,    0.6,    1.1,    2.2,    3.1,    7.7,    0.0,   0.38,   0.58,   0.89,   0.93,   0.96,   0.98,   0.05,    1.0,    0.4,    0.1,    0.1,    0.0,    0.0,  387.9,  155.3,   49.1,   27.3,   12.4,    3.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   5.18,   1.03,  37.29,   10.0,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 40,   0.28,   1.50,    0.5,    0.4,    0.6,    1.1,    2.2,    3.1,    7.7,    0.0,   0.38,   0.58,   0.89,   0.93,   0.96,   0.98,   0.07,    1.0,    0.4,    0.1,    0.1,    0.0,    0.0,  387.9,  155.3,   49.1,   27.3,   12.4,    3.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   5.11,   1.02,  36.74,   10.0,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 41,  -6.66,   1.00,    0.6,    0.3,    0.6,    1.0,    2.2,    3.1,    7.7,   -0.0,   0.38,   0.58,   0.89,   0.93,   0.96,   0.98,   0.00,    1.0,    0.4,    0.1,    0.1,    0.0,    0.0,  387.9,  155.3,   49.1,   27.3,   12.4,    3.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   5.48,   1.09,  37.17,    9.9,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 42, -10.28,   0.00,    0.4,    0.2,    0.5,    1.0,    2.2,    3.1,    7.7,   -0.1,   0.38,   0.58,   0.89,   0.93,   0.96,   0.98,   0.00,    1.0,    0.4,    0.1,    0.1,    0.0,    0.0,  387.9,  155.3,   49.1,   27.3,   12.4,    3.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   5.48,   1.09,  36.79,    9.9,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 43,  -9.73,   8.10,    0.2,    0.3,    0.6,    1.0,    2.2,    3.1,    7.7,   -0.1,   0.38,   0.58,   0.89,   0.93,   0.96,   0.98,   0.00,    1.0,    0.4,    0.1,    0.1,    0.0,    0.0,  387.9,  155.3,   49.1,   27.3,   12.4,    3.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   5.48,   1.09,  44.69,    9.9,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 44,  -3.61,   5.30,    0.3,    0.4,    0.6,    1.1,    2.2,    3.1,    7.7,   -0.0,   0.38,   0.58,   0.89,   0.93,   0.96,   0.98,   0.00,    1.0,    0.4,    0.1,    0.1,    0.0,    0.0,  387.9,  155.3,   49.1,   27.3,   12.4,    3.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   5.48,   1.09,  49.67,    9.9,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 45,  -4.16,   1.00,    0.4,    0.4,    0.7,    1.1,    2.2,    3.1,    7.7,   -0.0,   0.38,   0.58,   0.89,   0.93,   0.96,   0.98,   0.00,    1.0,    0.4,    0.1,    0.1,    0.0,    0.0,  387.9,  155.3,   49.1,   27.3,   12.4,    3.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   5.48,   1.09,  50.22,    9.9,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 46,  -3.05,   0.30,    0.5,    0.5,    0.7,    1.1,    2.3,    3.2,    7.7,   -0.0,   0.38,   0.58,   0.89,   0.93,   0.96,   0.98,   0.00,    1.0,    0.4,    0.1,    0.1,    0.0,    0.0,  387.9,  155.3,   49.1,   27.3,   12.4,    3.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   5.48,   1.09,  50.00,    9.9,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 47,  -7.50,   2.30,    0.3,    0.4,    0.7,    1.1,    2.3,    3.1,    7.7,   -0.1,   0.38,   0.58,   0.89,   0.93,   0.96,   0.98,   0.00,    1.0,    0.4,    0.1,    0.1,    0.0,    0.0,  387.9,  155.3,   49.1,   27.3,   12.4,    3.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   5.48,   1.09,  51.97,    9.9,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 48,  -1.39,   1.00,    0.9,    0.5,    0.7,    1.2,    2.3,    3.2,    7.7,    0.0,   0.38,   0.58,   0.89,   0.93,   0.96,   0.98,   0.02,    1.0,    0.4,    0.1,    0.1,    0.0,    0.0,  387.9,  155.3,   49.1,   27.3,   12.4,    3.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   5.36,   1.07,  52.04,    9.9,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 49,   6.67,   0.00,    0.9,    0.5,    0.8,    1.2,    2.3,    3.2,    7.7,    0.0,   0.38,   0.58,   0.89,   0.93,   0.96,   0.98,   0.07,    1.0,    0.4,    0.1,    0.1,    0.0,    0.0,  387.9,  155.3,   49.1,   27.3,   12.4,    3.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   5.08,   1.01,  50.59,   10.0,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 50,  -3.06,   0.00,    0.5,    0.5,    0.7,    1.2,    2.3,    3.2,    7.7,    0.0,   0.38,   0.58,   0.89,   0.93,   0.96,   0.98,   0.04,    1.0,    0.4,    0.1,    0.1,    0.0,    0.0,  387.9,  155.3,   49.1,   27.3,   12.4,    3.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   5.27,   1.05,  50.10,   10.0,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 51,  -5.83,   0.50,    0.4,    0.4,    0.7,    1.1,    2.3,    3.2,    7.7,   -0.0,   0.38,   0.58,   0.89,   0.93,   0.96,   0.98,   0.00,    1.0,    0.4,    0.1,    0.1,    0.0,    0.0,  387.9,  155.3,   49.1,   27.3,   12.4,    3.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   5.48,   1.09,  50.21,    9.9,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 52,  -7.78,   0.30,    0.4,    0.4,    0.6,    1.1,    2.2,    3.1,    7.7,   -0.1,   0.38,   0.58,   0.89,   0.93,   0.96,   0.98,   0.00,    1.0,    0.4,    0.1,    0.1,    0.0,    0.0,  387.9,  155.3,   49.1,   27.3,   12.4,    3.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   5.48,   1.09,  50.14,    9.9,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 53,  -4.72,   3.30,    0.3,    0.4,    0.7,    1.1,    2.3,    3.1,    7.7,   -0.0,   0.38,   0.58,   0.89,   0.93,   0.96,   0.98,   0.00,    1.0,    0.4,    0.1,    0.1,    0.0,    0.0,  387.9,  155.3,   49.1,   27.3,   12.4,    3.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   5.48,   1.09,  53.11,    9.9,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 54,  -6.39,   0.00,    0.4,    0.4,    0.7,    1.1,    2.3,    3.1,    7.7,   -0.0,   0.38,   0.58,   0.89,   0.93,   0.96,   0.98,   0.00,    1.0,    0.4,    0.1,    0.1,    0.0,    0.0,  387.9,  155.3,   49.1,   27.3,   12.4,    3.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   5.48,   1.09,  52.72,    9.9,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
 55,  -2.50,   0.50,    0.5,    0.5,    0.7,    1.1,    2.3,    3.2,    7.7,   -0.0,   0.38,   0.58,   0.89,   0.93,   0.96,   0.98,   0.00,    1.0,    0.4,    0.1,    0.1,    0.0,    0.0,  387.9,  155.3,   49.1,   27.3,   12.4,    3.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   5.48,   1.09,  52.71,    9.9,  15.07,   1.00,   1.00,   1.00,   1.00,   1.00,   1.00,   0.00
