Nova_scotia_Agricultural_College_LagoonChamber_climate		
Jday	Temp_C	WindSpeed_m/s
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
100	0	0
101	0	0
102	0	0
103	0	0
104	0	0
105	0	0
106	0	0
107	0	0
108	0	0
109	0	0
110	0	0
111	0	0
112	0	0
113	0	0
114	0	0
115	0	0
116	0	0
117	0	0
118	0	0
119	0	0
120	0	0
121	0	0
122	0	0
123	0	0
124	0	0
125	8	0
126	8	0
127	8.3	0
128	17.4	0
129	9.4	0
130	10.6	0
131	7.3	0
132	6.0	0
133	10.4	0
134	10.5	0
135	12.4	0
136	10.0	0
137	13.4	0
138	8.3	0
139	13.9	0
140	12.2	0
141	12.7	0
142	9.3	0
143	14.0	0
144	10.6	0
145	9.5	0
146	14.4	0
147	15.3	0
148	18.0	0
149	14.3	0
150	12.0	0
151	14.3	0
152	10.9	0
153	16.6	0
154	14.1	0
155	19.0	0
156	17.7	0
157	15.3	0
158	14.3	0
159	17.1	0
160	17.7	0
161	20.0	0
162	16.5	0
163	15.8	0
164	18.1	0
165	16.1	0
166	15.2	0
167	17.0	0
168	15.6	0
169	17.4	0
170	16.3	0
171	19.9	0
172	21.3	0
173	16.6	0
174	22.1	0
175	22.4	0
176	22.3	0
177	22.8	0
178	18.6	0
179	18.0	0
180	17.0	0
181	14.1	0
182	20.2	0
183	24.1	0
184	24.0	0
185	26.7	0
186	22.3	0
187	23.8	0
188	24.0	0
189	21.0	0
190	25.6	0
191	25.3	0
192	22.0	0
193	23.2	0
194	22.2	0
195	22.1	0
196	20.7	0
197	24.4	0
198	26.0	0
199	25.3	0
200	22.5	0
201	20.8	0
202	22.4	0
203	19.2	0
204	19.4	0
205	21.6	0
206	23.8	0
207	26.4	0
208	23.9	0
209	25.4	0
210	20.4	0
211	24.1	0
212	22.2	0
213	21.4	0
214	23.7	0
215	19.8	0
216	19.9	0
217	20.7	0
218	18.8	0
219	19.5	0
220	17.7	0
221	18.1	0
222	23.0	0
223	22.9	0
224	19.8	0
225	17.4	0
226	21.4	0
227	17.1	0
228	21.0	0
229	18.5	0
230	21.6	0
231	21.9	0
232	21.1	0
233	16.1	0
234	20.1	0
235	21.2	0
236	20.9	0
237	22.2	0
238	21.6	0
239	20.7	0
240	18.1	0
241	18.8	0
242	19.1	0
243	19.4	0
244	16.8	0
245	17.7	0
246	20.9	0
247	17.2	0
248	20.2	0
249	20.5	0
250	21.8	0
251	21.6	0
252	20.7	0
253	19.1	0
254	18.9	0
255	14.6	0
256	12.4	0
257	15.0	0
258	17.0	0
259	19.8	0
260	16.9	0
261	18.2	0
262	12.3	0
263	11.7	0
264	13.3	0
265	14.1	0
266	10.6	0
267	9.0	0
268	10.7	0
269	11.5	0
270	14.9	0
271	16.9	0
272	19.3	0
273	17.3	0
274	14.2	0
275	12.8	0
276	12.9	0
277	14.5	0
278	12.5	0
279	11.9	0
280	10.6	0
281	6.7	0
282	8.4	0
283	7.9	0
284	15.0	0
285	10.3	0
286	9.5	0
287	7.8	0
288	9.5	0
289	13.4	0
290	12.2	0
291	11.1	0
292	4.9	0
293	2.3	0
294	4.0	0
295	10.8	0
296	7.0	0
297	5.9	0
298	4.4	0
299	5.5	0
300	11.0	0
301	15.7	0
302	15.1	0
303	11.7	0
304	11.7	0
305	11.7	0
306	0	0
307	0	0
308	0	0
309	0	0
310	0	0
311	0	0
312	0	0
313	0	0
314	0	0
315	0	0
316	0	0
317	0	0
318	0	0
319	0	0
320	0	0
321	0	0
322	0	0
323	0	0
324	0	0
325	0	0
326	0	0
327	0	0
328	0	0
329	0	0
330	0	0
331	0	0
332	0	0
333	0	0
334	0	0
335	0	0
336	0	0
337	0	0
338	0	0
339	0	0
340	0	0
341	0	0
342	0	0
343	0	0
344	0	0
345	0	0
346	0	0
347	0	0
348	0	0
349	0	0
350	0	0
351	0	0
352	0	0
353	0	0
354	0	0
355	0	0
356	0	0
357	0	0
358	0	0
359	0	0
360	0	0
361	0	0
362	0	0
363	0	0
364	0	0
365	0	0
