Multi-year report for site FarmTest1

Year ,GrainC1    ,LeafC1     ,StemC1     ,RootC1     ,GrainC2    ,LeafC2     ,StemC2     ,RootC2     ,GrainC3    ,LeafC3     ,StemC3     ,RootC3     ,SOC 0-10cm ,SOC 10-20cm,SOC 20-30cm,SOC 30-40cm,SOC 40-50cm,SOC 0-10cm ,SOC 10-20cm,SOC 20-30cm,SOC 30-40cm,SOC 40-50cm,IniSOC     ,End_SOC    ,dSOC       ,LitterC_input,RootC_input,ManureC_input,Soil-CO2   ,Leach_DOC  ,CH4        ,IniSON     ,IniSIN     ,EndSON     ,EndSIN     ,dSN        ,Atmo_N_input,Fertilizer_N_input,Manure_N_input,Litter_N_input,N_fixation ,Crop_N_uptake,Leach_NO3  ,Runoff_SON ,Leach_DON  ,N2O_flux   ,NO_flux    ,N2_flux    ,NH3_flux   ,exchengeable-NH4,PET        ,Transpiration,Evaporation,WaterLeach ,Runoff     ,Irrigation ,Precipitation,MeanT      ,WindSpeed  ,ColdStress ,WaterStress,N_Stress   ,Cut_CropC  ,yr_end_grain,yr_end_leaf,yr_end_stem,yr_end_root,yr_end_stub
     ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/kg     ,kgC/kg     ,kgC/kg     ,kgC/kg     ,kgC/kg     ,,kgC/ha     kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgN/ha     ,kgN/ha     ,kgN/ha     ,kgN/ha     ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha     ,mm         ,mm         ,mm         ,mm         ,mm         ,mm         ,mm         ,degree     ,m/s        ,           ,           ,           ,kgC/ha/y   ,kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha     

    1,    3542.98,    1948.64,    1948.64,    1417.19,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,         0.0384,         0.0383,         0.0243,         0.0065,         0.0031,   42970.04,   42829.69,   27137.79,    7301.20,    5175.93,   59537.16,  125414.65,       65877.49,         779.46,        1417.19,       48065.52,       28119.60,          30.66,          -1.84,        5900.13,           2.22,        8767.20,        1307.23,        4172.08,           6.15,           0.00,        2414.49,          26.89,           0.00,         137.29,          47.50,          80.53,           3.07,          38.80,           7.11,           0.00,         376.22,          12.61,         707.56,         269.40,          15.53,         530.57,         254.61,           0.00,        1058.40,           9.06,           2.00,           0.78,       0.83,       0.99,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00
