Daily gas emissions from feedlot FarmTest1 in year 1
Units: kg N or C per farm

Day,floor_NH3,gutter_NH3,enteric_N2O,floor_N2O,gutter_N2O,enteric_CH4, floor_CH4, gutter_CH4, floor_CO2, gutter_CO2, animal_CO2
 18,3.04663,0.52409,0.00000,0.00025,0.00797,0.00000,0.00000,5.23053,3.81504,1.13275,0.00000
 19,2.43204,0.45986,0.00000,0.00000,0.00523,0.00000,0.00000,3.21274,3.54997,0.76666,0.00000
 20,1.70586,0.37544,0.00000,0.00000,0.00213,0.00000,0.00000,1.87283,3.13000,0.46821,0.00000
 21,1.78064,0.38001,0.00000,0.00000,0.00248,0.00000,0.00000,2.00242,3.13282,0.50061,0.00000
 22,2.60833,0.47008,0.00000,0.00000,0.00575,0.00000,0.00000,3.54750,3.58162,0.83230,0.00000
 23,2.31779,0.43500,0.00000,0.00000,0.00456,0.00000,0.00000,2.90469,3.39795,0.70430,0.00000
 24,2.02823,0.41029,0.00000,0.00000,0.00347,0.00000,0.00000,2.37539,3.29839,0.59246,0.00000
 25,1.95210,0.42743,0.00000,0.00000,0.00420,0.00000,0.00000,2.71563,3.37234,0.66505,0.00000
 26,2.54825,0.46977,0.00000,0.00000,0.00561,0.00000,0.00000,3.43389,3.59549,0.81026,0.00000
 27,2.49512,0.45386,0.00000,0.00000,0.00517,0.00000,0.00000,3.21021,3.49985,0.76615,0.00000
 28,3.02507,0.49107,0.00000,0.00001,0.00679,0.00000,0.00000,4.31045,3.65091,0.97425,0.00000
 29,2.69925,0.53492,0.00000,0.00029,0.00824,0.00000,0.00000,5.39878,3.88858,1.16037,0.00000
 30,3.29756,0.54433,0.00000,0.00047,0.00897,0.00000,0.00000,6.30781,3.88271,1.30299,0.00000
 31,2.54006,0.43863,0.00000,0.00000,0.00459,0.00000,0.00000,2.90615,3.42740,0.70460,0.00000
 32,2.48893,0.50572,0.00000,0.00009,0.00723,0.00000,0.00000,4.60276,3.73952,1.02602,0.00000
 33,3.21915,0.54514,0.00000,0.00033,0.00850,0.00000,0.00000,5.57784,3.94725,1.18933,0.00000
 34,3.67482,0.53804,0.00000,0.00032,0.00840,0.00000,0.00000,5.57341,3.88621,1.18862,0.00000
 35,3.77135,0.54338,0.00000,0.00042,0.00884,0.00000,0.00000,6.12000,3.88488,1.27440,0.00000
 36,3.24592,0.60648,0.00000,0.00089,0.01117,0.00000,0.00000,8.91208,4.19489,1.65921,0.00000
 37,2.76597,0.54065,0.00000,0.00044,0.00880,0.00000,0.00000,6.11809,3.87557,1.27411,0.00000
 38,3.25518,0.49765,0.00000,0.00001,0.00687,0.00000,0.00000,4.31395,3.69958,0.97488,0.00000
 39,3.24582,0.49601,0.00000,0.00001,0.00685,0.00000,0.00000,4.31308,3.68684,0.97472,0.00000
 40,3.39122,0.54514,0.00000,0.00033,0.00850,0.00000,0.00000,5.57784,3.94487,1.18933,0.00000
 41,2.27363,0.41519,0.00000,0.00000,0.00366,0.00000,0.00000,2.45835,3.31743,0.61040,0.00000
 42,1.69799,0.34351,0.00000,0.00000,0.00116,0.00000,0.00000,1.57145,2.94729,0.39286,0.00000
 43,1.38449,0.35951,0.00000,0.00000,0.00156,0.00000,0.00000,1.68634,3.05043,0.42158,0.00000
 44,2.15577,0.45925,0.00000,0.00000,0.00564,0.00000,0.00000,3.54247,3.49962,0.83133,0.00000
 45,2.84727,0.45893,0.00000,0.00000,0.00536,0.00000,0.00000,3.32297,3.52141,0.78851,0.00000
 46,3.04665,0.47751,0.00000,0.00000,0.00611,0.00000,0.00000,3.78842,3.60373,0.87823,0.00000
 47,2.00351,0.40707,0.00000,0.00000,0.00313,0.00000,0.00000,2.22183,3.30570,0.55546,0.00000
 48,3.34201,0.50471,0.00000,0.00009,0.00722,0.00000,0.00000,4.59696,3.72319,1.02501,0.00000
 49,4.72421,0.63285,0.00000,0.00105,0.01247,0.00000,0.00000,11.37490,4.26444,1.94021,0.00000
 50,3.04044,0.47655,0.00000,0.00000,0.00609,0.00000,0.00000,3.78359,3.59933,0.87732,0.00000
 51,2.49794,0.42123,0.00000,0.00000,0.00415,0.00000,0.00000,2.71644,3.31699,0.66522,0.00000
 52,2.18307,0.39490,0.00000,0.00000,0.00289,0.00000,0.00000,2.14555,3.22033,0.53639,0.00000
 53,2.32439,0.44766,0.00000,0.00000,0.00497,0.00000,0.00000,3.10775,3.46830,0.74562,0.00000
 54,2.45345,0.42269,0.00000,0.00000,0.00387,0.00000,0.00000,2.54180,3.36391,0.62828,0.00000
 55,3.12499,0.48306,0.00000,0.00000,0.00644,0.00000,0.00000,4.03871,3.61656,0.92485,0.00000
 56,3.12919,0.48798,0.00000,0.00000,0.00636,0.00000,0.00000,3.91773,3.67005,0.90246,0.00000
 57,2.48786,0.50555,0.00000,0.00009,0.00723,0.00000,0.00000,4.59743,3.73952,1.02509,0.00000
 58,2.45303,0.41765,0.00000,0.00000,0.00397,0.00000,0.00000,2.62307,3.30580,0.64555,0.00000
 59,1.38291,0.31742,0.00000,0.00000,0.00001,0.00000,0.00000,1.22359,2.84861,0.30590,0.00000
 60,1.55695,0.33256,0.00000,0.00000,0.00061,0.00000,0.00000,1.41377,2.90701,0.35344,0.00000
 61,3.32569,0.50585,0.00000,0.00005,0.00710,0.00000,0.00000,4.45841,3.74854,1.00063,0.00000
 62,2.88021,0.46058,0.00000,0.00000,0.00552,0.00000,0.00000,3.42980,3.51938,0.80946,0.00000
 63,4.71760,0.63984,0.00000,0.00099,0.01226,0.00000,0.00000,10.40398,4.35516,1.83493,0.00000
 64,3.35721,0.62162,0.00000,0.00099,0.01174,0.00000,0.00000,9.76139,4.26181,1.76144,0.00000
 65,2.59270,0.51783,0.00000,0.00025,0.00789,0.00000,0.00000,5.22077,3.77259,1.13113,0.00000
 66,3.58179,0.52613,0.00000,0.00028,0.00812,0.00000,0.00000,5.39332,3.81332,1.15948,0.00000
 67,2.78674,0.54429,0.00000,0.00044,0.00885,0.00000,0.00000,6.12063,3.90031,1.27450,0.00000
 68,2.52075,0.51142,0.00000,0.00009,0.00730,0.00000,0.00000,4.60065,3.78343,1.02566,0.00000
 69,2.68187,0.44205,0.00000,0.00000,0.00477,0.00000,0.00000,3.00497,3.43509,0.72481,0.00000
 70,2.77623,0.45508,0.00000,0.00000,0.00504,0.00000,0.00000,3.11083,3.52367,0.74624,0.00000
 71,3.45289,0.51594,0.00000,0.00016,0.00761,0.00000,0.00000,4.89958,3.77962,1.07722,0.00000
 72,3.08428,0.47581,0.00000,0.00000,0.00635,0.00000,0.00000,4.03496,3.56148,0.92416,0.00000
 73,3.13855,0.48548,0.00000,0.00000,0.00647,0.00000,0.00000,4.03994,3.63652,0.92508,0.00000
 74,4.44035,0.60910,0.00000,0.00086,0.01132,0.00000,0.00000,9.18149,4.18586,1.69230,0.00000
 75,4.16100,0.58634,0.00000,0.00064,0.01017,0.00000,0.00000,7.40175,4.11846,1.46127,0.00000
 76,3.55281,0.52497,0.00000,0.00024,0.00798,0.00000,0.00000,5.23106,3.81852,1.13283,0.00000
 77,3.24499,0.50010,0.00000,0.00000,0.00677,0.00000,0.00000,4.17922,3.73250,0.95055,0.00000
 78,3.88875,0.55575,0.00000,0.00049,0.00926,0.00000,0.00000,6.52319,3.95046,1.33525,0.00000
 79,3.10753,0.58593,0.00000,0.00080,0.01062,0.00000,0.00000,8.36377,4.07081,1.58987,0.00000
 80,3.60771,0.53052,0.00000,0.00028,0.00818,0.00000,0.00000,5.39607,3.84703,1.15992,0.00000
 81,3.13403,0.48467,0.00000,0.00000,0.00646,0.00000,0.00000,4.03953,3.62922,0.92501,0.00000
 82,3.13178,0.48860,0.00000,0.00000,0.00637,0.00000,0.00000,3.91353,3.67666,0.90167,0.00000
 83,2.99530,0.47264,0.00000,0.00000,0.00592,0.00000,0.00000,3.66560,3.58171,0.85495,0.00000
 84,3.07292,0.48225,0.00000,0.00000,0.00616,0.00000,0.00000,3.79068,3.64296,0.87866,0.00000
 85,3.49440,0.51908,0.00000,0.00020,0.00778,0.00000,0.00000,5.05911,3.78857,1.10419,0.00000
 86,4.24026,0.58692,0.00000,0.00075,0.01064,0.00000,0.00000,8.36465,4.06567,1.58999,0.00000
 87,3.67207,0.58833,0.00000,0.00073,0.01044,0.00000,0.00000,7.87507,4.11014,1.52570,0.00000
 88,2.56051,0.51526,0.00000,0.00017,0.00761,0.00000,0.00000,4.90473,3.78245,1.07810,0.00000
 89,2.78410,0.45656,0.00000,0.00000,0.00505,0.00000,0.00000,3.11143,3.53569,0.74636,0.00000
 90,3.22531,0.49255,0.00000,0.00001,0.00681,0.00000,0.00000,4.30632,3.66023,0.97351,0.00000
 91,3.54819,0.64836,0.00000,0.00114,0.01262,0.00000,0.00000,11.05216,4.39976,1.90594,0.00000
 92,5.43409,0.70414,0.00000,0.00140,0.01505,0.00000,0.00000,16.85032,4.59901,2.43103,0.00000
 93,3.55069,0.52086,0.00000,0.00027,0.00805,0.00000,0.00000,5.38998,3.77201,1.15893,0.00000
 94,4.36640,0.60349,0.00000,0.00080,0.01101,0.00000,0.00000,8.63088,4.17289,1.62399,0.00000
 95,3.99472,0.61011,0.00000,0.00089,0.01134,0.00000,0.00000,9.18244,4.19525,1.69241,0.00000
 96,4.83243,0.64894,0.00000,0.00107,0.01274,0.00000,0.00000,11.39263,4.37919,1.94207,0.00000
 97,4.92260,0.65451,0.00000,0.00114,0.01315,0.00000,0.00000,12.46581,4.37752,2.05098,0.00000
 98,5.46524,0.71107,0.00000,0.00140,0.01507,0.00000,0.00000,16.36710,4.65836,2.39352,0.00000
 99,5.74765,0.73484,0.00000,0.00154,0.01620,0.00000,0.00000,20.12881,4.73744,2.66253,0.00000
100,6.24965,0.77846,0.00000,0.00174,0.01818,0.00000,0.00000,28.59547,4.88518,3.12217,0.00000
101,5.16676,0.68018,0.00000,0.00126,0.01401,0.00000,0.00000,14.07545,4.50653,2.20161,0.00000
102,3.66580,0.66182,0.00000,0.00131,0.01348,0.00000,0.00000,13.24781,4.41786,2.12596,0.00000
103,5.69166,0.73150,0.00000,0.00151,0.01595,0.00000,0.00000,18.99197,4.73606,2.58648,0.00000
104,4.28545,0.59386,0.00000,0.00076,0.01075,0.00000,0.00000,8.37075,4.11833,1.59078,0.00000
105,4.56490,0.62517,0.00000,0.00090,0.01169,0.00000,0.00000,9.48161,4.29123,1.72843,0.00000
106,4.54740,0.61973,0.00000,0.00092,0.01171,0.00000,0.00000,9.77019,4.23487,1.76247,0.00000
107,5.17880,0.67703,0.00000,0.00129,0.01415,0.00000,0.00000,14.92254,4.46182,2.27540,0.00000
108,6.01938,0.75947,0.00000,0.00165,0.01725,0.00000,0.00000,24.01734,4.83453,2.89434,0.00000
109,6.50405,0.80511,0.00000,0.00182,0.01907,0.00000,0.00000,32.11655,5.01571,3.27175,0.00000
110,7.11424,0.86765,0.00000,0.00198,0.02125,0.00000,0.00000,42.79284,5.31529,3.62881,0.00000
111,7.01885,0.85473,0.00000,0.00196,0.02098,0.00000,0.00000,42.75370,5.23045,3.62771,0.00000
112,6.83310,0.84183,0.00000,0.00191,0.02018,0.00000,0.00000,36.06853,5.21672,3.41866,0.00000
113,6.80022,0.83531,0.00000,0.00190,0.02013,0.00000,0.00000,37.05487,5.16010,3.45236,0.00000
114,6.61014,0.81132,0.00000,0.00185,0.01955,0.00000,0.00000,35.98668,5.01433,3.41581,0.00000
115,5.98929,0.75743,0.00000,0.00164,0.01712,0.00000,0.00000,23.34760,4.82859,2.85722,0.00000
116,6.05980,0.76293,0.00000,0.00167,0.01741,0.00000,0.00000,24.73375,4.83905,2.93288,0.00000
117,5.30387,0.88515,0.00000,0.00250,0.02197,0.00000,0.00000,47.89799,5.40028,3.76236,0.00000
118,6.17619,0.77481,0.00000,0.00171,0.01783,0.00000,0.00000,26.21089,4.89713,3.00879,0.00000
119,4.06643,0.71828,0.00000,0.00159,0.01531,0.00000,0.00000,16.87096,4.70903,2.43261,0.00000
120,4.72309,0.63541,0.00000,0.00103,0.01240,0.00000,0.00000,11.02649,4.29596,1.90319,0.00000
121,4.46543,0.60735,0.00000,0.00090,0.01151,0.00000,0.00000,9.75793,4.14699,1.76104,0.00000
122,4.78921,0.64251,0.00000,0.00106,0.01263,0.00000,0.00000,11.38562,4.33417,1.94133,0.00000
123,5.31788,0.69227,0.00000,0.00135,0.01463,0.00000,0.00000,15.86120,4.53865,2.35320,0.00000
124,6.47200,0.80709,0.00000,0.00180,0.01884,0.00000,0.00000,29.49773,5.06359,3.16239,0.00000
125,5.14343,0.67679,0.00000,0.00125,0.01395,0.00000,0.00000,14.07111,4.48132,2.20122,0.00000
126,5.44098,0.70756,0.00000,0.00139,0.01501,0.00000,0.00000,16.36213,4.63510,2.39313,0.00000
127,5.90167,0.74747,0.00000,0.00161,0.01683,0.00000,0.00000,22.63343,4.77447,2.81643,0.00000
128,6.12296,0.76519,0.00000,0.00170,0.01773,0.00000,0.00000,26.96044,4.82119,3.04559,0.00000
129,5.49240,0.71009,0.00000,0.00143,0.01526,0.00000,0.00000,17.36652,4.62679,2.47006,0.00000
130,5.36771,0.69703,0.00000,0.00137,0.01482,0.00000,0.00000,16.34697,4.55859,2.39194,0.00000
131,5.70848,0.73393,0.00000,0.00151,0.01599,0.00000,0.00000,18.99582,4.75235,2.58674,0.00000
132,5.72985,0.72991,0.00000,0.00154,0.01621,0.00000,0.00000,20.74211,4.69003,2.70187,0.00000
133,5.92284,0.75274,0.00000,0.00161,0.01683,0.00000,0.00000,21.99055,4.82398,2.77859,0.00000
134,5.80395,0.73818,0.00000,0.00157,0.01646,0.00000,0.00000,21.35222,4.73453,2.73991,0.00000
135,6.12291,0.76519,0.00000,0.00170,0.01773,0.00000,0.00000,26.96044,4.82052,3.04559,0.00000
136,5.88027,0.74666,0.00000,0.00160,0.01672,0.00000,0.00000,22.00253,4.78003,2.77930,0.00000
137,5.53811,0.72160,0.00000,0.00141,0.01527,0.00000,0.00000,16.38179,4.72974,2.39467,0.00000
138,4.56288,0.74332,0.00000,0.00174,0.01646,0.00000,0.00000,20.74377,4.79678,2.70198,0.00000
139,5.30372,0.69012,0.00000,0.00135,0.01459,0.00000,0.00000,15.87499,4.52814,2.35432,0.00000
140,5.09831,0.67518,0.00000,0.00122,0.01372,0.00000,0.00000,13.26419,4.50099,2.12749,0.00000
141,5.36786,0.69703,0.00000,0.00137,0.01482,0.00000,0.00000,16.34697,4.56067,2.39194,0.00000
142,5.14729,0.67246,0.00000,0.00128,0.01407,0.00000,0.00000,14.91620,4.42745,2.27486,0.00000
143,5.28408,0.68982,0.00000,0.00133,0.01449,0.00000,0.00000,15.39232,4.53755,2.31484,0.00000
144,5.89364,0.75319,0.00000,0.00158,0.01665,0.00000,0.00000,20.76057,4.84769,2.70304,0.00000
145,5.82389,0.74332,0.00000,0.00157,0.01646,0.00000,0.00000,20.74377,4.78293,2.70198,0.00000
146,6.04151,0.76036,0.00000,0.00166,0.01736,0.00000,0.00000,24.72858,4.82564,2.93260,0.00000
147,6.89337,0.84584,0.00000,0.00193,0.02044,0.00000,0.00000,38.19113,5.21667,3.48987,0.00000
148,6.16694,0.77352,0.00000,0.00171,0.01780,0.00000,0.00000,26.20817,4.89097,3.00865,0.00000
149,5.11545,0.67021,0.00000,0.00126,0.01393,0.00000,0.00000,14.48963,4.42488,2.23813,0.00000
150,5.89461,0.74638,0.00000,0.00161,0.01681,0.00000,0.00000,22.65501,4.76972,2.81768,0.00000
151,6.45964,0.80757,0.00000,0.00180,0.01876,0.00000,0.00000,28.66016,5.08411,3.12510,0.00000
152,7.46989,0.89957,0.00000,0.00205,0.02262,0.00000,0.00000,53.56094,5.43504,3.89023,0.00000
153,6.34701,0.78979,0.00000,0.00177,0.01849,0.00000,0.00000,29.45844,4.95048,3.16067,0.00000
154,6.95230,0.85186,0.00000,0.00194,0.02065,0.00000,0.00000,39.26759,5.24863,3.52417,0.00000
155,6.72153,0.82657,0.00000,0.00188,0.01987,0.00000,0.00000,36.02821,5.11406,3.41726,0.00000
156,6.90714,0.83764,0.00000,0.00193,0.02070,0.00000,0.00000,43.87692,5.11180,3.65882,0.00000
157,7.22261,0.87222,0.00000,0.00200,0.02178,0.00000,0.00000,49.21425,5.29409,3.79381,0.00000
158,6.16835,1.00361,0.00000,0.00295,0.02648,0.00000,0.00000,90.44790,5.90728,4.41864,0.00000
159,8.42791,0.99039,0.00000,0.00215,0.02618,0.00000,0.00000,90.37659,5.80602,4.41794,0.00000
160,8.22775,0.96785,0.00000,0.00213,0.02551,0.00000,0.00000,85.49409,5.68330,4.36790,0.00000
161,8.96414,1.04221,0.00000,0.00216,0.02815,0.00000,0.00000,118.22512,6.02602,4.63912,0.00000
162,7.88426,0.93368,0.00000,0.00209,0.02427,0.00000,0.00000,72.51496,5.53626,4.21099,0.00000
163,7.20862,0.86650,0.00000,0.00199,0.02182,0.00000,0.00000,51.96925,5.23171,3.85618,0.00000
164,6.83845,0.83634,0.00000,0.00191,0.02033,0.00000,0.00000,39.22338,5.14710,3.52278,0.00000
165,7.64401,0.92091,0.00000,0.00209,0.02316,0.00000,0.00000,55.15027,5.55700,3.92289,0.00000
166,7.85254,0.93707,0.00000,0.00211,0.02402,0.00000,0.00000,65.05133,5.59820,4.10061,0.00000
167,7.59969,0.90917,0.00000,0.00207,0.02316,0.00000,0.00000,59.83048,5.45188,4.01201,0.00000
168,5.26478,0.87928,0.00000,0.00249,0.02184,0.00000,0.00000,47.87864,5.36081,3.76188,0.00000
169,6.53415,0.80710,0.00000,0.00183,0.01920,0.00000,0.00000,33.05507,5.02333,3.30848,0.00000
170,6.21159,0.77318,0.00000,0.00173,0.01807,0.00000,0.00000,28.58330,4.85310,3.12161,0.00000
171,6.47406,0.80308,0.00000,0.00181,0.01894,0.00000,0.00000,31.20313,5.01811,3.23479,0.00000
172,7.00651,0.86129,0.00000,0.00196,0.02076,0.00000,0.00000,38.23302,5.31906,3.49123,0.00000
173,7.16285,0.87227,0.00000,0.00199,0.02143,0.00000,0.00000,43.98637,5.33301,3.66180,0.00000
174,7.16208,0.86608,0.00000,0.00199,0.02156,0.00000,0.00000,47.83432,5.26015,3.76080,0.00000
175,5.35458,0.89173,0.00000,0.00254,0.02228,0.00000,0.00000,50.67817,5.42069,3.82751,0.00000
176,6.84873,0.83775,0.00000,0.00192,0.02036,0.00000,0.00000,39.22746,5.15359,3.52291,0.00000
177,7.03691,0.85120,0.00000,0.00196,0.02116,0.00000,0.00000,46.46143,5.17687,3.72670,0.00000
178,6.25589,0.89979,0.00000,0.00240,0.02279,0.00000,0.00000,56.56853,5.42967,3.95097,0.00000
179,7.92040,0.94797,0.00000,0.00214,0.02417,0.00000,0.00000,63.38883,5.67600,4.07352,0.00000
180,7.75755,0.92629,0.00000,0.00210,0.02370,0.00000,0.00000,63.30094,5.53797,4.07206,0.00000
181,6.22476,0.91236,0.00000,0.00249,0.02339,0.00000,0.00000,63.24268,5.46338,4.07109,0.00000
182,7.38064,0.89156,0.00000,0.00204,0.02227,0.00000,0.00000,50.62705,5.40457,3.82636,0.00000
183,7.03500,0.85495,0.00000,0.00196,0.02107,0.00000,0.00000,43.93253,5.22241,3.66034,0.00000
184,6.89180,0.83751,0.00000,0.00193,0.02062,0.00000,0.00000,42.70000,5.11969,3.62619,0.00000
185,5.34135,0.84858,0.00000,0.00231,0.02076,0.00000,0.00000,41.54500,5.21878,3.59304,0.00000
186,6.83321,0.84183,0.00000,0.00191,0.02018,0.00000,0.00000,36.06853,5.21804,3.41866,0.00000
187,6.89014,0.84339,0.00000,0.00193,0.02048,0.00000,0.00000,39.24364,5.19342,3.52342,0.00000
188,7.20046,0.86927,0.00000,0.00200,0.02171,0.00000,0.00000,49.20400,5.27062,3.79357,0.00000
189,8.16668,0.96532,0.00000,0.00214,0.02522,0.00000,0.00000,78.86365,5.70417,4.29256,0.00000
190,8.20295,0.96458,0.00000,0.00212,0.02544,0.00000,0.00000,85.47659,5.66854,4.36772,0.00000
191,7.49738,0.89369,0.00000,0.00204,0.02290,0.00000,0.00000,61.38229,5.34102,4.03945,0.00000
192,6.93440,0.84325,0.00000,0.00194,0.02074,0.00000,0.00000,42.71810,5.15776,3.62670,0.00000
193,6.82301,0.84044,0.00000,0.00191,0.02015,0.00000,0.00000,36.06491,5.20455,3.41854,0.00000
194,7.68425,0.91848,0.00000,0.00208,0.02344,0.00000,0.00000,61.54587,5.50211,4.04229,0.00000
195,5.43301,0.90152,0.00000,0.00262,0.02299,0.00000,0.00000,59.79959,5.41663,4.01146,0.00000
196,7.41971,0.89482,0.00000,0.00204,0.02243,0.00000,0.00000,52.07195,5.41561,3.85842,0.00000
197,7.12331,0.86286,0.00000,0.00198,0.02141,0.00000,0.00000,46.50052,5.25242,3.72769,0.00000
198,7.57505,0.90770,0.00000,0.00207,0.02305,0.00000,0.00000,58.24819,5.45405,3.98299,0.00000
199,7.67713,0.91373,0.00000,0.00207,0.02350,0.00000,0.00000,64.95190,5.45417,4.09902,0.00000
200,8.40248,0.99076,0.00000,0.00217,0.02603,0.00000,0.00000,85.61397,5.83023,4.36918,0.00000
201,8.15434,0.96371,0.00000,0.00214,0.02518,0.00000,0.00000,78.85574,5.68885,4.29247,0.00000
202,5.73480,0.94296,0.00000,0.00279,0.02464,0.00000,0.00000,76.63409,5.58515,4.26506,0.00000
203,7.63000,0.91515,0.00000,0.00208,0.02320,0.00000,0.00000,58.21941,5.50009,3.98246,0.00000
204,7.22614,0.87080,0.00000,0.00200,0.02183,0.00000,0.00000,50.55413,5.27003,3.82471,0.00000
205,5.32324,0.88711,0.00000,0.00253,0.02218,0.00000,0.00000,50.61165,5.39226,3.82601,0.00000
206,5.14019,0.86141,0.00000,0.00244,0.02138,0.00000,0.00000,46.49568,5.25598,3.72757,0.00000
207,7.86225,0.94022,0.00000,0.00212,0.02400,0.00000,0.00000,63.35781,5.62553,4.07300,0.00000
208,7.95586,0.94501,0.00000,0.00212,0.02444,0.00000,0.00000,70.67648,5.61233,4.18537,0.00000
209,7.76135,0.92306,0.00000,0.00209,0.02379,0.00000,0.00000,66.80536,5.49814,4.12814,0.00000
210,7.96839,0.94480,0.00000,0.00211,0.02451,0.00000,0.00000,72.56705,5.60419,4.21170,0.00000
211,7.28645,0.87693,0.00000,0.00201,0.02204,0.00000,0.00000,52.00770,5.30227,3.85702,0.00000
212,7.36048,0.88876,0.00000,0.00203,0.02222,0.00000,0.00000,50.66791,5.38584,3.82728,0.00000
213,7.60343,0.90770,0.00000,0.00206,0.02321,0.00000,0.00000,61.50166,5.43154,4.04152,0.00000
214,7.80964,0.93525,0.00000,0.00211,0.02381,0.00000,0.00000,61.55225,5.60491,4.04240,0.00000
215,7.17221,0.87141,0.00000,0.00200,0.02150,0.00000,0.00000,45.28483,5.31792,3.69642,0.00000
216,7.08018,0.85703,0.00000,0.00197,0.02128,0.00000,0.00000,46.48108,5.21275,3.72720,0.00000
217,7.49769,0.90130,0.00000,0.00206,0.02274,0.00000,0.00000,55.07875,5.43507,3.92145,0.00000
218,7.34687,0.88308,0.00000,0.00202,0.02226,0.00000,0.00000,53.50048,5.32852,3.88896,0.00000
219,7.76927,0.92783,0.00000,0.00210,0.02373,0.00000,0.00000,63.30733,5.55275,4.07217,0.00000
220,5.12548,0.85963,0.00000,0.00243,0.02125,0.00000,0.00000,45.20173,5.25673,3.69424,0.00000
221,6.22612,0.85362,0.00000,0.00210,0.02051,0.00000,0.00000,37.14149,5.28538,3.45527,0.00000
222,7.06707,0.85927,0.00000,0.00197,0.02116,0.00000,0.00000,43.94616,5.25117,3.66071,0.00000
223,6.72869,0.82339,0.00000,0.00189,0.01998,0.00000,0.00000,38.12797,5.07177,3.48782,0.00000
224,6.01430,0.83391,0.00000,0.00208,0.02010,0.00000,0.00000,37.05107,5.16265,3.45224,0.00000
225,6.90601,0.84145,0.00000,0.00193,0.02061,0.00000,0.00000,41.52340,5.15659,3.59241,0.00000
226,5.75532,0.84763,0.00000,0.00220,0.02057,0.00000,0.00000,39.25566,5.23440,3.52379,0.00000
227,6.98719,0.85042,0.00000,0.00195,0.02089,0.00000,0.00000,42.74044,5.20409,3.62733,0.00000
228,7.17375,0.87371,0.00000,0.00200,0.02146,0.00000,0.00000,43.99078,5.34340,3.66192,0.00000
229,7.04016,0.85760,0.00000,0.00196,0.02104,0.00000,0.00000,42.76248,5.25257,3.62795,0.00000
230,7.44372,0.89222,0.00000,0.00204,0.02262,0.00000,0.00000,56.53930,5.36504,3.95040,0.00000
231,7.76920,0.92783,0.00000,0.00210,0.02373,0.00000,0.00000,63.30733,5.55177,4.07217,0.00000
232,4.53344,0.77904,0.00000,0.00202,0.01810,0.00000,0.00000,27.78273,4.91804,3.08472,0.00000
233,6.39285,0.79830,0.00000,0.00178,0.01857,0.00000,0.00000,28.63999,5.01858,3.12418,0.00000
234,6.67974,0.81874,0.00000,0.00187,0.01979,0.00000,0.00000,37.04669,5.05521,3.45209,0.00000
235,7.57651,0.91185,0.00000,0.00208,0.02297,0.00000,0.00000,55.11757,5.50000,3.92223,0.00000
236,7.53446,0.90434,0.00000,0.00206,0.02289,0.00000,0.00000,56.58589,5.44452,3.95131,0.00000
237,7.67683,0.91373,0.00000,0.00207,0.02350,0.00000,0.00000,64.95190,5.45090,4.09902,0.00000
238,6.61160,0.81783,0.00000,0.00185,0.01942,0.00000,0.00000,33.04819,5.08985,3.30822,0.00000
239,6.33742,0.78846,0.00000,0.00177,0.01847,0.00000,0.00000,29.45536,4.94373,3.16053,0.00000
