Daily gas emissions from feedlot FarmTest1 in year 1
Units: kg N or C per farm

Day,floor_NH3,gutter_NH3,enteric_N2O,floor_N2O,gutter_N2O,enteric_CH4, floor_CH4, gutter_CH4, floor_CO2, gutter_CO2, animal_CO2
  1,2.70969,0.53520,0.00000,0.00231,0.00068,0.00000,0.00000,5.56536,3.87663,1.18732,0.00000
  2,1.54081,0.37049,0.00000,0.00000,0.00211,0.00000,0.00000,1.87137,3.08953,0.46784,0.00000
  3,0.94646,0.25919,0.00000,0.00000,0.00000,0.00000,0.00000,0.77033,2.56508,0.19258,0.00000
  4,1.92781,0.41923,0.00000,0.00000,0.00384,0.00000,0.00000,2.54054,3.33838,0.62802,0.00000
  5,2.46888,0.48682,0.00000,0.00000,0.00621,0.00000,0.00000,3.78845,3.68346,0.87824,0.00000
  6,3.72967,0.62437,0.00000,0.00101,0.01189,0.00000,0.00000,10.06612,4.26435,1.79669,0.00000
  7,4.76763,0.73791,0.00000,0.00174,0.01655,0.00000,0.00000,21.98640,4.73244,2.77834,0.00000
  8,6.13709,0.84163,0.00000,0.00209,0.02036,0.00000,0.00000,38.17949,5.19655,3.48949,0.00000
  9,3.90234,0.69352,0.00000,0.00152,0.01475,0.00000,0.00000,16.34184,4.54837,2.39153,0.00000
 10,3.34824,0.57667,0.00000,0.00063,0.00991,0.00000,0.00000,7.16878,4.06851,1.42869,0.00000
 11,3.44286,0.63354,0.00000,0.00106,0.01216,0.00000,0.00000,10.39768,4.31955,1.83422,0.00000
 12,3.26679,0.58143,0.00000,0.00064,0.00998,0.00000,0.00000,7.17237,4.10621,1.42919,0.00000
 13,2.99262,0.53052,0.00000,0.00029,0.00818,0.00000,0.00000,5.39607,3.85201,1.15992,0.00000
 14,2.72978,0.53588,0.00000,0.00040,0.00862,0.00000,0.00000,5.92636,3.85282,1.24446,0.00000
 15,2.52672,0.48789,0.00000,0.00000,0.00649,0.00000,0.00000,4.04116,3.66025,0.92530,0.00000
 16,2.23255,0.43839,0.00000,0.00000,0.00474,0.00000,0.00000,3.00345,3.41213,0.72450,0.00000
 17,2.69045,0.49031,0.00000,0.00000,0.00652,0.00000,0.00000,4.04237,3.67754,0.92553,0.00000
