Daily manure biogeochemistry in feedlot at FarmTest1 in year 1
Units: per feedlot

Day,AnimalType,Heads,Milk,MeatGain,FecesC,UrineC,BeddingC,Floor-CO2,Gutter-CO2,Floor-CH4,Gutter-CH4,Floor-MOC,Gutter-MOC,Floor-DOC,Gutter-DOC,Removed_FloorC,Removed_GutterC,Feedlot_RunoffC,FecesN,UrineN,BeddingN,Floor-NH3,Gutter-NH3,Floor-N2O,Gutter-N2O,Floor-MON,Gutter-MON,Floor-urea,Gutter-urea,Floor-NH4,Gutter-NH4,Floor-NO3,Gutter-NO3,Removed_FloorN,Removed_GutterN,Feedlot_Runoff_ON,Feedlot_Runoff_IN,FecesP,UrineP,ManureP,Removed_FloorP,Removed_GutterP,Feedlot_runoff_P,FecesH2O,UrineH2O,HouseEV,Floor-water,Gutter-water,Removed_FloorH2O,Removed_GutterH2O,Floor_runoffH2O,Floor-temp,Gutter-temp,Floor_mois,Gutter-mois, Pen_soil_wfps,Floor-pH,Gutter-pH,Floor-Eh,Gutter-Eh,floor-leach-water,floor-leach-urea,floor-leach-NH4,floor-leach-NO3,floor-leach-DOC
   ,          ,     ,kg  ,kg DM   ,kgC   ,kgC   ,kgC      ,kgC      ,kgC      ,kgC      ,kgC      ,kgC      ,kgC      ,kgC      ,kgC      ,kgC,kgC         ,kgC        ,kgN   ,kgN   ,kgN     ,kgN     ,kgN     ,kgN      ,kgN      ,kgN       ,kgN     ,kgN      ,kgN      ,kgN      ,kgN         ,kgN          ,kgN      ,kgN, kgN,kgN         ,kgN     ,kgP   ,kgP   ,kgP    ,kgP ,kgP ,kgP  ,kgWater ,kgWater ,kgWater,kgWater       ,kgWater      ,kgWater,kgWater,kgWater,,          ,WFPS,WFPS,WFPS,    ,,,,kgWater,kgN,kgN,kgN,kgC

 12,  0,   0.00,   0.00,   0.00, 649.84, 298.50,   0.00,   4.11,   1.43,   0.00,   7.17,   0.00,   0.00,   0.00,   0.00,-575.52,-351.11,   0.00,  23.50,  70.40,   0.00,   3.27,   0.58, 0.0006, 0.0100,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -29.61, -60.34,   0.00,   0.00,   3.00,   0.09,   0.00,  -3.09,   0.00,   0.00,3666.28,14665.12, 172.98,   0.00,   0.00,-560.27,-17598.14,   0.00,  11.25,  21.25,   0.45,   1.00,   0.30,  10.10,  10.21, 275.72,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
 13,  0,   0.00,   0.00,   0.00, 649.36, 295.10,   0.00,   3.85,   1.16,   0.00,   5.40,   0.00,   0.00,   0.00,   0.00,-574.70,-352.50,   0.00,  23.20,  69.60,   0.00,   2.99,   0.53, 0.0003, 0.0082,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -29.48, -59.71,   0.00,   0.00,   2.99,   0.09,   0.00,  -3.08,   0.00,   0.00,3663.58,14654.32, 270.40,   0.00,   0.00,-462.32,-17585.18,   0.00,  10.00,  20.00,   0.37,   1.00,   0.30,  10.21,  10.24, 314.60,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
 14,  0,   0.00,   0.00,   0.00, 648.72, 290.86,   0.00,   3.85,   1.24,   0.00,   5.93,   0.00,   0.00,   0.00,   0.00,-573.35,-347.72,   0.00,  22.90,  68.60,   0.00,   2.73,   0.54, 0.0004, 0.0086,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -29.31, -58.84,   0.00,   0.00,   2.99,   0.09,   0.00,  -3.08,   0.00,   0.00,3659.76,14639.04,   0.00,   0.00,   0.00,-731.95,-17566.85,   0.00,  10.41,  20.42,   0.59,   1.00,   0.30,   9.99,  10.23, 205.77,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
 15,  0,   0.00,   0.00,   0.00, 649.28, 295.53,   0.00,   3.66,   0.93,   0.00,   4.04,   0.00,   0.00,   0.00,   0.00,-574.91,-356.08,   0.00,  23.20,  69.70,   0.00,   2.53,   0.49, 0.0000, 0.0065,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -29.97, -59.85,   0.00,   0.00,   2.99,   0.09,   0.00,  -3.08,   0.00,   0.00,3663.02,14652.08, 177.71,   0.00,   0.00,-554.90,-17582.50,   0.00,   8.75,  18.75,   0.45,   1.00,   0.30,  10.17,  10.28, 277.48,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
 16,  0,   0.00,   0.00,   0.00, 648.72, 292.14,   0.00,   3.41,   0.72,   0.00,   3.00,   0.00,   0.00,   0.00,   0.00,-574.02,-355.80,   0.00,  23.00,  68.90,   0.00,   2.23,   0.44, 0.0000, 0.0047,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -29.95, -59.23,   0.00,   0.00,   2.99,   0.09,   0.00,  -3.08,   0.00,   0.00,3659.96,14639.84, 276.32,   0.00,   0.00,-455.67,-17567.81,   0.00,   7.50,  17.50,   0.37,   1.00,   0.30,  10.28,  10.31, 316.91,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
 17,  0,   0.00,   0.00,   0.00, 649.84, 296.80,   0.00,   3.68,   0.93,   0.00,   4.04,   0.00,   0.00,   0.00,   0.00,-575.59,-357.21,   0.00,  23.30,  70.00,   0.00,   2.69,   0.49, 0.0000, 0.0065,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -29.95, -60.10,   0.00,   0.00,   3.00,   0.09,   0.00,  -3.09,   0.00,   0.00,3666.24,14664.96, 311.57,   0.00,   0.00,-421.68,-17597.95,   0.00,   8.75,  18.75,   0.34,   1.00,   0.30,  10.29,  10.28, 331.10,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
 18,  0,   0.00,   0.00,   0.00, 649.72, 294.26,   0.00,   3.82,   1.13,   0.00,   5.23,   0.00,   0.00,   0.00,   0.00,-574.85,-352.29,   0.00,  23.10,  69.40,   0.00,   3.05,   0.52, 0.0002, 0.0080,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -29.31, -59.54,   0.00,   0.00,   3.00,   0.09,   0.00,  -3.09,   0.00,   0.00,3665.58,14662.32, 348.11,   0.00,   0.00,-385.01,-17594.79,   0.00,   9.86,  19.86,   0.31,   1.00,   0.30,  10.29,  10.25, 345.63,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
 19,  0,   0.00,   0.00,   0.00, 650.88, 298.92,   0.00,   3.55,   0.77,   0.00,   3.21,   0.00,   0.00,   0.00,   0.00,-576.97,-361.14,   0.00,  23.50,  70.50,   0.00,   2.43,   0.46, 0.0000, 0.0052,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -30.47, -60.59,   0.00,   0.00,   3.00,   0.09,   0.00,  -3.09,   0.00,   0.00,3672.12,14688.48, 328.24,   0.00,   0.00,-406.18,-17626.18,   0.00,   7.78,  17.77,   0.32,   1.00,   0.30,  10.34,  10.31, 337.66,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
 20,  0,   0.00,   0.00,   0.00, 650.28, 295.10,   0.00,   3.13,   0.47,   0.00,   1.87,   0.00,   0.00,   0.00,   0.00,-576.14,-361.33,   0.00,  23.20,  69.60,   0.00,   1.71,   0.38, 0.0000, 0.0021,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -30.77, -59.92,   0.00,   0.00,   3.00,   0.09,   0.00,  -3.09,   0.00,   0.00,3668.76,14675.04, 313.02,   0.00,   0.00,-420.73,-17610.05,   0.00,   5.55,  15.56,   0.34,   1.00,   0.30,  10.38,  10.37, 331.49,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
 21,  0,   0.00,   0.00,   0.00, 649.72, 291.71,   0.00,   3.13,   0.50,   0.00,   2.00,   0.00,   0.00,   0.00,   0.00,-575.01,-358.18,   0.00,  22.90,  68.80,   0.00,   1.78,   0.38, 0.0000, 0.0025,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -30.30, -59.21,   0.00,   0.00,   3.00,   0.09,   0.00,  -3.09,   0.00,   0.00,3665.62,14662.48, 332.93,   0.00,   0.00,-400.20,-17594.97,   0.00,   5.83,  15.83,   0.32,   1.00,   0.30,  10.39,  10.36, 339.40,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
 22,  0,   0.00,   0.00,   0.00, 650.32, 296.38,   0.00,   3.58,   0.83,   0.00,   3.55,   0.00,   0.00,   0.00,   0.00,-575.98,-358.17,   0.00,  23.30,  69.90,   0.00,   2.61,   0.47, 0.0000, 0.0058,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -30.01, -60.05,   0.00,   0.00,   3.00,   0.09,   0.00,  -3.09,   0.00,   0.00,3668.92,14675.68, 390.71,   0.00,   0.00,-343.08,-17610.82,   0.00,   8.19,  18.19,   0.27,   1.00,   0.30,  10.39,  10.30, 362.66,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
 23,  0,   0.00,   0.00,   0.00, 649.80, 292.98,   0.00,   3.40,   0.70,   0.00,   2.90,   0.00,   0.00,   0.00,   0.00,-575.06,-356.94,   0.00,  23.00,  69.10,   0.00,   2.32,   0.44, 0.0000, 0.0046,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -29.90, -59.40,   0.00,   0.00,   3.00,   0.09,   0.00,  -3.09,   0.00,   0.00,3665.90,14663.60, 394.15,   0.00,   0.00,-339.03,-17596.32,   0.00,   7.36,  17.36,   0.27,   1.00,   0.30,  10.42,  10.31, 364.02,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
 24,  0,   0.00,   0.00,   0.00, 644.76, 295.53,   0.00,   3.30,   0.59,   0.00,   2.38,   0.00,   0.00,   0.00,   0.00,-571.64,-359.28,   0.00,  23.20,  69.70,   0.00,   2.03,   0.41, 0.0000, 0.0035,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -30.47, -59.95,   0.00,   0.00,   2.97,   0.09,   0.00,  -3.06,   0.00,   0.00,3637.56,14550.24, 335.31,   0.00,   0.00,-392.20,-17460.29,   0.00,   6.53,  16.53,   0.32,   1.00,   0.30,  10.38,  10.34, 341.73,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
 25,  0,   0.00,   0.00,   0.00, 650.68, 294.26,   0.00,   3.37,   0.67,   0.00,   2.72,   0.00,   0.00,   0.00,   0.00,-576.06,-358.60,   0.00,  23.10,  69.40,   0.00,   1.95,   0.43, 0.0000, 0.0042,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -30.41, -59.67,   0.00,   0.00,   3.00,   0.09,   0.00,  -3.09,   0.00,   0.00,3670.92,14683.68,  69.60,   0.00,   0.00,-664.59,-17620.42,   0.00,   7.08,  17.08,   0.53,   1.00,   0.30,  10.14,  10.32, 233.89,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
 26,  0,   0.00,   0.00,   0.00, 651.84, 298.92,   0.00,   3.60,   0.81,   0.00,   3.43,   0.00,   0.00,   0.00,   0.00,-577.69,-360.79,   0.00,  23.50,  70.50,   0.00,   2.55,   0.47, 0.0000, 0.0056,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -30.35, -60.57,   0.00,   0.00,   3.01,   0.09,   0.00,  -3.10,   0.00,   0.00,3677.42,14709.68, 355.32,   0.00,   0.00,-380.16,-17651.62,   0.00,   8.06,  18.06,   0.30,   1.00,   0.30,  10.36,  10.30, 348.26,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
 27,  0,   0.00,   0.00,   0.00, 651.36, 295.53,   0.00,   3.50,   0.77,   0.00,   3.21,   0.00,   0.00,   0.00,   0.00,-576.72,-358.53,   0.00,  23.20,  69.70,   0.00,   2.50,   0.45, 0.0000, 0.0052,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -30.00, -59.89,   0.00,   0.00,   3.00,   0.09,   0.00,  -3.09,   0.00,   0.00,3674.72,14698.88, 415.45,   0.00,   0.00,-319.49,-17638.66,   0.00,   7.78,  17.77,   0.26,   1.00,   0.30,  10.44,  10.31, 372.25,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
 28,  0,   0.00,   0.00,   0.00, 650.84, 292.14,   0.00,   3.65,   0.97,   0.00,   4.31,   0.00,   0.00,   0.00,   0.00,-575.46,-353.03,   0.00,  23.00,  68.90,   0.00,   3.03,   0.49, 0.0000, 0.0068,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -29.15, -59.16,   0.00,   0.00,   3.00,   0.09,   0.00,  -3.09,   0.00,   0.00,3671.82,14687.28, 534.87,   0.00,   0.00,-199.50,-17624.73,   0.00,   9.03,  19.03,   0.16,   1.00,   0.30,  10.60,  10.27, 420.08,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
 29,  0,   0.00,   0.00,   0.00, 651.96, 297.22,   0.00,   3.89,   1.16,   0.00,   5.40,   0.00,   0.00,   0.00,   0.00,-577.18,-354.71,   0.00,  23.40,  70.10,   0.00,   2.70,   0.53, 0.0003, 0.0082,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -30.04, -60.14,   0.00,   0.00,   3.01,   0.09,   0.00,  -3.10,   0.00,   0.00,3678.04,14712.16,   0.00,   0.00,   0.00,-735.61,-17654.59,   0.00,  10.00,  20.00,   0.59,   1.00,   0.30,  10.02,  10.25, 206.27,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
 30,  0,   0.00,   0.00,   0.00, 644.12, 290.44,   0.00,   3.88,   1.30,   0.00,   6.31,   0.00,   0.00,   0.00,   0.00,-569.53,-345.55,   0.00,  22.80,  68.50,   0.00,   3.30,   0.54, 0.0005, 0.0090,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -28.64, -58.73,   0.00,   0.00,   2.97,   0.09,   0.00,  -3.06,   0.00,   0.00,3633.94,14535.76, 377.99,   0.00,   0.00,-348.79,-17442.91,   0.00,  10.69,  20.69,   0.28,   1.00,   0.30,  10.30,  10.22, 358.87,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
 31,  0,   0.00,   0.00,   0.00, 645.24, 295.10,   0.00,   3.43,   0.70,   0.00,   2.91,   0.00,   0.00,   0.00,   0.00,-571.80,-357.72,   0.00,  23.20,  69.60,   0.00,   2.54,   0.44, 0.0000, 0.0046,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -29.94, -59.84,   0.00,   0.00,   2.97,   0.09,   0.00,  -3.06,   0.00,   0.00,3640.24,14560.96, 564.64,   0.00,   0.00,-163.41,-17473.15,   0.00,   7.36,  17.36,   0.13,   1.00,   0.30,  10.74,  10.32, 434.09,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
 32,  0,   0.00,   0.00,   0.00, 651.32, 294.68,   0.00,   3.74,   1.03,   0.00,   4.60,   0.00,   0.00,   0.00,   0.00,-576.30,-354.45,   0.00,  23.20,  69.50,   0.00,   2.49,   0.51, 0.0001, 0.0072,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -29.97, -59.66,   0.00,   0.00,   3.00,   0.09,   0.00,  -3.09,   0.00,   0.00,3674.44,14697.76,   0.00,   0.00,   0.00,-734.89,-17637.31,   0.00,   9.31,  19.31,   0.59,   1.00,   0.30,  10.03,  10.26, 206.04,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
 33,  0,   0.00,   0.00,   0.00, 652.48, 299.77,   0.00,   3.95,   1.19,   0.00,   5.58,   0.00,   0.00,   0.00,   0.00,-578.02,-356.42,   0.00,  23.60,  70.70,   0.00,   3.22,   0.55, 0.0003, 0.0085,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -29.80, -60.65,   0.00,   0.00,   3.01,   0.09,   0.00,  -3.10,   0.00,   0.00,3681.00,14724.00, 362.74,   0.00,   0.00,-373.46,-17668.80,   0.00,  10.14,  20.14,   0.30,   1.00,   0.30,  10.31,  10.25, 351.11,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
