Daily manure biogeochemistry in feedlot at FarmTest1 in year 1
Units: per feedlot

Day,AnimalType,Heads,Milk,MeatGain,FecesC,UrineC,BeddingC,Floor-CO2,Gutter-CO2,Floor-CH4,Gutter-CH4,Floor-MOC,Gutter-MOC,Floor-DOC,Gutter-DOC,Removed_FloorC,Removed_GutterC,Feedlot_RunoffC,FecesN,UrineN,BeddingN,Floor-NH3,Gutter-NH3,Floor-N2O,Gutter-N2O,Floor-MON,Gutter-MON,Floor-urea,Gutter-urea,Floor-NH4,Gutter-NH4,Floor-NO3,Gutter-NO3,Removed_FloorN,Removed_GutterN,Feedlot_Runoff_ON,Feedlot_Runoff_IN,FecesP,UrineP,ManureP,Removed_FloorP,Removed_GutterP,Feedlot_runoff_P,FecesH2O,UrineH2O,HouseEV,Floor-water,Gutter-water,Removed_FloorH2O,Removed_GutterH2O,Floor_runoffH2O,Floor-temp,Gutter-temp,Floor_mois,Gutter-mois, Pen_soil_wfps,Floor-pH,Gutter-pH,Floor-Eh,Gutter-Eh,floor-leach-water,floor-leach-urea,floor-leach-NH4,floor-leach-NO3,floor-leach-DOC
   ,          ,     ,kg  ,kg DM   ,kgC   ,kgC   ,kgC      ,kgC      ,kgC      ,kgC      ,kgC      ,kgC      ,kgC      ,kgC      ,kgC      ,kgC,kgC         ,kgC        ,kgN   ,kgN   ,kgN     ,kgN     ,kgN     ,kgN      ,kgN      ,kgN       ,kgN     ,kgN      ,kgN      ,kgN      ,kgN         ,kgN          ,kgN      ,kgN, kgN,kgN         ,kgN     ,kgP   ,kgP   ,kgP    ,kgP ,kgP ,kgP  ,kgWater ,kgWater ,kgWater,kgWater       ,kgWater      ,kgWater,kgWater,kgWater,,          ,WFPS,WFPS,WFPS,    ,,,,kgWater,kgN,kgN,kgN,kgC

 86,  0,   0.00,   0.00,   0.00, 645.96, 290.44,   0.00,   4.07,   1.59,   0.00,   8.36,   0.00,   0.00,   0.00,   0.00,-570.80,-341.11,   0.00,  22.80,  68.50,   0.00,   4.24,   0.59, 0.0008, 0.0106,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -27.69, -58.67,   0.00,   0.00,   2.98,   0.09,   0.00,  -3.07,   0.00,   0.00,3644.34,14577.36, 655.98,   0.00,   0.00, -72.89,-17492.83,   0.00,  11.94,  21.94,   0.06,   1.00,   0.30,  10.95,  10.18, 470.58,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
 87,  0,   0.00,   0.00,   0.00, 647.08, 295.10,   0.00,   4.11,   1.53,   0.00,   7.88,   0.00,   0.00,   0.00,   0.00,-572.61,-346.20,   0.00,  23.20,  69.60,   0.00,   3.67,   0.59, 0.0007, 0.0104,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -28.80, -59.63,   0.00,   0.00,   2.98,   0.09,   0.00,  -3.07,   0.00,   0.00,3650.54,14602.16, 384.92,   0.00,   0.00,-345.18,-17522.59,   0.00,  11.67,  21.67,   0.28,   1.00,   0.30,  10.29,  10.20, 361.13,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
 88,  0,   0.00,   0.00,   0.00, 653.04, 294.68,   0.00,   3.78,   1.08,   0.00,   4.90,   0.00,   0.00,   0.00,   0.00,-577.64,-354.07,   0.00,  23.20,  69.50,   0.00,   2.56,   0.52, 0.0002, 0.0076,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -29.90, -59.65,   0.00,   0.00,   3.01,   0.09,   0.00,  -3.10,   0.00,   0.00,3684.26,14737.04,   0.00,   0.00,   0.00,-736.85,-17684.45,   0.00,   9.59,  19.58,   0.59,   1.00,   0.30,  10.02,  10.25, 205.95,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
 89,  0,   0.00,   0.00,   0.00, 654.20, 299.77,   0.00,   3.54,   0.75,   0.00,   3.11,   0.00,   0.00,   0.00,   0.00,-579.78,-362.74,   0.00,  23.60,  70.70,   0.00,   2.78,   0.46, 0.0000, 0.0051,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -30.24, -60.77,   0.00,   0.00,   3.02,   0.09,   0.00,  -3.11,   0.00,   0.00,3690.72,14762.88, 664.33,   0.00,   0.00, -73.81,-17715.46,   0.00,   7.64,  17.64,   0.06,   1.00,   0.30,  11.00,  10.32, 470.64,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
 90,  0,   0.00,   0.00,   0.00, 646.92, 292.98,   0.00,   3.66,   0.97,   0.00,   4.31,   0.00,   0.00,   0.00,   0.00,-572.48,-352.93,   0.00,  23.00,  69.10,   0.00,   3.23,   0.49, 0.0000, 0.0068,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -28.99, -59.32,   0.00,   0.00,   2.98,   0.09,   0.00,  -3.07,   0.00,   0.00,3649.76,14599.04, 656.96,   0.00,   0.00, -73.00,-17518.85,   0.00,   9.02,  19.02,   0.06,   1.00,   0.30,  11.00,  10.27, 470.61,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
 91,  0,   0.00,   0.00,   0.00, 648.08, 298.07,   0.00,   4.40,   1.91,   0.00,  11.05,   0.00,   0.00,   0.00,   0.00,-573.75,-341.48,   0.00,  23.40,  70.30,   0.00,   3.55,   0.65, 0.0011, 0.0126,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -29.22, -60.15,   0.00,   0.00,   2.99,   0.09,   0.00,  -3.08,   0.00,   0.00,3656.28,14625.12,   0.00,   0.00,   0.00,-731.26,-17550.14,   0.00,  13.19,  23.19,   0.59,   1.00,   0.30,   9.93,  10.16, 206.53,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
 92,  0,   0.00,   0.00,   0.00, 647.44, 293.83,   0.00,   4.60,   2.43,   0.00,  16.85,   0.00,   0.00,   0.00,   0.00,-572.13,-324.98,   0.00,  23.10,  69.30,   0.00,   5.43,   0.70, 0.0014, 0.0150,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -26.89, -59.20,   0.00,   0.00,   2.99,   0.09,   0.00,  -3.08,   0.00,   0.00,3652.68,14610.72, 657.48,   0.00,   0.00, -73.05,-17532.87,   0.00,  15.14,  25.14,   0.06,   1.00,   0.30,  10.87,  10.10, 470.61,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
 93,  0,   0.00,   0.00,   0.00, 646.88, 290.44,   0.00,   3.77,   1.16,   0.00,   5.39,   0.00,   0.00,   0.00,   0.00,-571.82,-348.29,   0.00,  22.80,  68.50,   0.00,   3.55,   0.52, 0.0003, 0.0080,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -28.39, -58.76,   0.00,   0.00,   2.98,   0.09,   0.00,  -3.07,   0.00,   0.00,3649.52,14598.08, 656.91,   0.00,   0.00, -72.99,-17517.70,   0.00,  10.00,  20.00,   0.06,   1.00,   0.30,  11.00,  10.24, 470.58,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
 94,  0,   0.00,   0.00,   0.00, 648.00, 295.53,   0.00,   4.17,   1.62,   0.00,   8.63,   0.00,   0.00,   0.00,   0.00,-573.34,-344.97,   0.00,  23.20,  69.70,   0.00,   4.37,   0.60, 0.0008, 0.0110,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -28.13, -59.69,   0.00,   0.00,   2.99,   0.09,   0.00,  -3.08,   0.00,   0.00,3655.70,14622.80, 658.03,   0.00,   0.00, -73.11,-17547.36,   0.00,  12.08,  22.08,   0.06,   1.00,   0.30,  10.95,  10.19, 470.63,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
 95,  0,   0.00,   0.00,   0.00, 653.40, 294.26,   0.00,   4.20,   1.69,   0.00,   9.18,   0.00,   0.00,   0.00,   0.00,-577.40,-343.76,   0.00,  23.10,  69.40,   0.00,   3.99,   0.61, 0.0009, 0.0113,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -28.36, -59.42,   0.00,   0.00,   3.01,   0.09,   0.00,  -3.10,   0.00,   0.00,3686.24,14744.96, 454.16,   0.00,   0.00,-283.09,-17693.95,   0.00,  12.36,  22.36,   0.23,   1.00,   0.30,  10.36,  10.18, 387.07,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
 96,  0,   0.00,   0.00,   0.00, 648.40, 296.38,   0.00,   4.38,   1.94,   0.00,  11.39,   0.00,   0.00,   0.00,   0.00,-573.62,-339.41,   0.00,  23.30,  69.90,   0.00,   4.83,   0.65, 0.0011, 0.0127,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -27.78, -59.80,   0.00,   0.00,   2.99,   0.09,   0.00,  -3.08,   0.00,   0.00,3657.96,14631.84, 658.43,   0.00,   0.00, -73.16,-17558.21,   0.00,  13.34,  23.33,   0.06,   1.00,   0.30,  10.92,  10.15, 470.63,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
 97,  0,   0.00,   0.00,   0.00, 647.88, 292.98,   0.00,   4.38,   2.05,   0.00,  12.47,   0.00,   0.00,   0.00,   0.00,-572.53,-334.17,   0.00,  23.00,  69.10,   0.00,   4.92,   0.65, 0.0011, 0.0131,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -27.29, -59.09,   0.00,   0.00,   2.99,   0.09,   0.00,  -3.08,   0.00,   0.00,3655.10,14620.40, 657.92,   0.00,   0.00, -73.10,-17544.48,   0.00,  13.75,  23.75,   0.06,   1.00,   0.30,  10.90,  10.14, 470.60,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
 98,  0,   0.00,   0.00,   0.00, 649.04, 298.07,   0.00,   4.66,   2.39,   0.00,  16.37,   0.00,   0.00,   0.00,   0.00,-574.19,-329.76,   0.00,  23.40,  70.30,   0.00,   5.47,   0.71, 0.0014, 0.0151,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -27.30, -60.06,   0.00,   0.00,   2.99,   0.09,   0.00,  -3.08,   0.00,   0.00,3661.58,14646.32, 659.08,   0.00,   0.00, -73.23,-17575.58,   0.00,  15.00,  25.00,   0.06,   1.00,   0.30,  10.88,  10.11, 470.65,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
 99,  0,   0.00,   0.00,   0.00, 648.56, 294.68,   0.00,   4.74,   2.66,   0.00,  20.13,   0.00,   0.00,   0.00,   0.00,-573.05,-318.67,   0.00,  23.20,  69.50,   0.00,   5.75,   0.73, 0.0015, 0.0162,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -26.70, -59.34,   0.00,   0.00,   2.99,   0.09,   0.00,  -3.08,   0.00,   0.00,3658.84,14635.36, 658.59,   0.00,   0.00, -73.18,-17562.43,   0.00,  15.97,  25.97,   0.06,   1.00,   0.30,  10.84,  10.08, 470.62,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
100,  0,   0.00,   0.00,   0.00, 647.88, 290.44,   0.00,   4.89,   3.12,   0.00,  28.60,   0.00,   0.00,   0.00,   0.00,-571.51,-296.82,   0.00,  22.80,  68.50,   0.00,   6.25,   0.78, 0.0017, 0.0182,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -25.67, -58.40,   0.00,   0.00,   2.99,   0.09,   0.00,  -3.08,   0.00,   0.00,3655.02,14620.08, 657.90,   0.00,   0.00, -73.10,-17544.10,   0.00,  17.64,  27.64,   0.06,   1.00,   0.30,  10.79,  10.02, 470.58,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
101,  0,   0.00,   0.00,   0.00, 648.96, 295.53,   0.00,   4.51,   2.20,   0.00,  14.08,   0.00,   0.00,   0.00,   0.00,-573.77,-332.80,   0.00,  23.20,  69.70,   0.00,   5.17,   0.68, 0.0013, 0.0140,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -27.32, -59.58,   0.00,   0.00,   2.99,   0.09,   0.00,  -3.08,   0.00,   0.00,3661.16,14644.64, 659.01,   0.00,   0.00, -73.22,-17573.57,   0.00,  14.31,  24.31,   0.06,   1.00,   0.30,  10.89,  10.12, 470.62,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
102,  0,   0.00,   0.00,   0.00, 648.32, 292.14,   0.00,   4.42,   2.13,   0.00,  13.25,   0.00,   0.00,   0.00,   0.00,-572.73,-331.82,   0.00,  23.00,  68.90,   0.00,   3.67,   0.66, 0.0013, 0.0135,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -28.50, -58.92,   0.00,   0.00,   2.99,   0.09,   0.00,  -3.08,   0.00,   0.00,3657.66,14630.64,   0.00,   0.00,   0.00,-731.53,-17556.77,   0.00,  14.03,  24.03,   0.59,   1.00,   0.30,   9.89,  10.13, 205.91,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
103,  0,   0.00,   0.00,   0.00, 648.96, 296.80,   0.00,   4.74,   2.59,   0.00,  18.99,   0.00,   0.00,   0.00,   0.00,-573.80,-322.94,   0.00,  23.30,  70.00,   0.00,   5.69,   0.73, 0.0015, 0.0159,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -26.93, -59.77,   0.00,   0.00,   2.99,   0.09,   0.00,  -3.08,   0.00,   0.00,3661.16,14644.64, 659.01,   0.00,   0.00, -73.22,-17573.57,   0.00,  15.69,  25.69,   0.06,   1.00,   0.30,  10.86,  10.09, 470.64,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
104,  0,   0.00,   0.00,   0.00, 648.44, 293.41,   0.00,   4.12,   1.59,   0.00,   8.37,   0.00,   0.00,   0.00,   0.00,-573.32,-343.97,   0.00,  23.10,  69.20,   0.00,   4.29,   0.59, 0.0008, 0.0107,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -28.03, -59.28,   0.00,   0.00,   2.99,   0.09,   0.00,  -3.08,   0.00,   0.00,3658.34,14633.36, 658.50,   0.00,   0.00, -73.17,-17560.03,   0.00,  11.94,  21.94,   0.06,   1.00,   0.30,  10.95,  10.19, 470.60,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
105,  0,   0.00,   0.00,   0.00, 649.60, 298.50,   0.00,   4.29,   1.73,   0.00,   9.48,   0.00,   0.00,   0.00,   0.00,-575.09,-345.71,   0.00,  23.50,  70.40,   0.00,   4.56,   0.63, 0.0009, 0.0117,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -28.31, -60.28,   0.00,   0.00,   3.00,   0.09,   0.00,  -3.09,   0.00,   0.00,3664.84,14659.36, 659.67,   0.00,   0.00, -73.30,-17591.23,   0.00,  12.50,  22.50,   0.06,   1.00,   0.30,  10.95,  10.18, 470.65,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
106,  0,   0.00,   0.00,   0.00, 649.00, 294.26,   0.00,   4.23,   1.76,   0.00,   9.77,   0.00,   0.00,   0.00,   0.00,-573.82,-341.53,   0.00,  23.10,  69.40,   0.00,   4.55,   0.62, 0.0009, 0.0117,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -27.80, -59.40,   0.00,   0.00,   2.99,   0.09,   0.00,  -3.08,   0.00,   0.00,3661.44,14645.76, 659.06,   0.00,   0.00, -73.23,-17574.91,   0.00,  12.64,  22.64,   0.06,   1.00,   0.30,  10.94,  10.17, 470.61,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
107,  0,   0.00,   0.00,   0.00, 648.44, 290.86,   0.00,   4.46,   2.28,   0.00,  14.92,   0.00,   0.00,   0.00,   0.00,-572.47,-327.08,   0.00,  22.90,  68.60,   0.00,   5.18,   0.68, 0.0013, 0.0142,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -26.85, -58.64,   0.00,   0.00,   2.99,   0.09,   0.00,  -3.08,   0.00,   0.00,3658.24,14632.96, 658.48,   0.00,   0.00, -73.16,-17559.55,   0.00,  14.58,  24.58,   0.06,   1.00,   0.30,  10.88,  10.11, 470.58,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
108,  0,   0.00,   0.00,   0.00, 643.40, 293.41,   0.00,   4.83,   2.89,   0.00,  24.02,   0.00,   0.00,   0.00,   0.00,-568.57,-308.17,   0.00,  23.10,  69.20,   0.00,   6.02,   0.76, 0.0017, 0.0172,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -26.28, -59.05,   0.00,   0.00,   2.97,   0.09,   0.00,  -3.06,   0.00,   0.00,3629.74,14518.96, 653.35,   0.00,   0.00, -72.59,-17422.75,   0.00,  16.81,  26.81,   0.06,   1.00,   0.30,  10.82,  10.05, 470.63,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
109,  0,   0.00,   0.00,   0.00, 649.88, 292.98,   0.00,   5.02,   3.27,   0.00,  32.12,   0.00,   0.00,   0.00,   0.00,-573.49,-291.72,   0.00,  23.00,  69.10,   0.00,   6.50,   0.81, 0.0018, 0.0191,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -25.70, -58.88,   0.00,   0.00,   3.00,   0.09,   0.00,  -3.09,   0.00,   0.00,3666.52,14666.08, 659.97,   0.00,   0.00, -73.33,-17599.30,   0.00,  18.19,  28.19,   0.06,   1.00,   0.30,  10.78,  10.01, 470.59,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
110,  0,   0.00,   0.00,   0.00, 650.52, 297.65,   0.00,   5.32,   3.63,   0.00,  42.79,   0.00,   0.00,   0.00,   0.00,-574.64,-272.94,   0.00,  23.40,  70.20,   0.00,   7.11,   0.87, 0.0020, 0.0213,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -25.63, -59.76,   0.00,   0.00,   3.00,   0.09,   0.00,  -3.09,   0.00,   0.00,3670.04,14680.16, 660.61,   0.00,   0.00, -73.40,-17616.19,   0.00,  19.58,  29.58,   0.06,   1.00,   0.30,  10.75,   9.98, 470.64,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
111,  0,   0.00,   0.00,   0.00, 649.92, 293.83,   0.00,   5.23,   3.63,   0.00,  42.75,   0.00,   0.00,   0.00,   0.00,-573.48,-269.85,   0.00,  23.10,  69.30,   0.00,   7.02,   0.85, 0.0020, 0.0210,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -25.30, -59.00,   0.00,   0.00,   3.00,   0.09,   0.00,  -3.09,   0.00,   0.00,3666.56,14666.24, 659.98,   0.00,   0.00, -73.33,-17599.49,   0.00,  19.58,  29.58,   0.06,   1.00,   0.30,  10.74,   9.97, 470.60,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
112,  0,   0.00,   0.00,   0.00, 651.04, 298.50,   0.00,   5.22,   3.42,   0.00,  36.07,   0.00,   0.00,   0.00,   0.00,-575.32,-287.95,   0.00,  23.50,  70.40,   0.00,   6.83,   0.84, 0.0019, 0.0202,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -26.03, -59.98,   0.00,   0.00,   3.00,   0.09,   0.00,  -3.09,   0.00,   0.00,3673.02,14692.08, 661.14,   0.00,   0.00, -73.46,-17630.50,   0.00,  18.75,  28.75,   0.06,   1.00,   0.30,  10.77,  10.00, 470.64,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
113,  0,   0.00,   0.00,   0.00, 650.56, 295.10,   0.00,   5.16,   3.45,   0.00,  37.05,   0.00,   0.00,   0.00,   0.00,-574.32,-283.05,   0.00,  23.20,  69.60,   0.00,   6.80,   0.84, 0.0019, 0.0201,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -25.66, -59.28,   0.00,   0.00,   3.00,   0.09,   0.00,  -3.09,   0.00,   0.00,3670.28,14681.12, 660.65,   0.00,   0.00, -73.41,-17617.34,   0.00,  18.89,  28.89,   0.06,   1.00,   0.30,  10.76,   9.99, 470.61,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
114,  0,   0.00,   0.00,   0.00, 643.36, 289.17,   0.00,   5.01,   3.42,   0.00,  35.99,   0.00,   0.00,   0.00,   0.00,-567.51,-279.13,   0.00,  22.70,  68.20,   0.00,   6.61,   0.81, 0.0019, 0.0196,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -25.17, -58.09,   0.00,   0.00,   2.97,   0.09,   0.00,  -3.06,   0.00,   0.00,3629.60,14518.40, 653.33,   0.00,   0.00, -72.59,-17422.08,   0.00,  18.75,  28.75,   0.06,   1.00,   0.30,  10.76,   9.99, 470.58,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
115,  0,   0.00,   0.00,   0.00, 644.44, 294.26,   0.00,   4.83,   2.86,   0.00,  23.35,   0.00,   0.00,   0.00,   0.00,-569.58,-310.50,   0.00,  23.10,  69.40,   0.00,   5.99,   0.76, 0.0016, 0.0171,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -26.35, -59.21,   0.00,   0.00,   2.97,   0.09,   0.00,  -3.06,   0.00,   0.00,3635.80,14543.20, 654.44,   0.00,   0.00, -72.72,-17451.84,   0.00,  16.67,  26.67,   0.06,   1.00,   0.30,  10.82,  10.06, 470.63,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
116,  0,   0.00,   0.00,   0.00, 649.80, 292.98,   0.00,   4.84,   2.93,   0.00,  24.73,   0.00,   0.00,   0.00,   0.00,-573.60,-307.56,   0.00,  23.00,  69.10,   0.00,   6.06,   0.76, 0.0017, 0.0174,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -26.14, -58.94,   0.00,   0.00,   3.00,   0.09,   0.00,  -3.09,   0.00,   0.00,3665.96,14663.84, 659.87,   0.00,   0.00, -73.32,-17596.61,   0.00,  16.94,  26.94,   0.06,   1.00,   0.30,  10.81,  10.05, 470.59,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
117,  0,   0.00,   0.00,   0.00, 650.96, 297.22,   0.00,   5.40,   3.76,   0.00,  47.90,   0.00,   0.00,   0.00,   0.00,-574.88,-261.93,   0.00,  23.40,  70.10,   0.00,   5.30,   0.89, 0.0025, 0.0220,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -27.41, -59.65,   0.00,   0.00,   3.00,   0.09,   0.00,  -3.09,   0.00,   0.00,3672.50,14690.00,   0.00,   0.00,   0.00,-734.50,-17628.00,   0.00,  20.14,  30.14,   0.59,   1.00,   0.30,   9.73,   9.96, 206.31,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
118,  0,   0.00,   0.00,   0.00, 650.44, 293.83,   0.00,   4.90,   3.01,   0.00,  26.21,   0.00,   0.00,   0.00,   0.00,-574.23,-305.18,   0.00,  23.10,  69.30,   0.00,   6.18,   0.77, 0.0017, 0.0178,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -26.15, -59.11,   0.00,   0.00,   3.00,   0.09,   0.00,  -3.09,   0.00,   0.00,3669.62,14678.48, 660.53,   0.00,   0.00, -73.39,-17614.18,   0.00,  17.22,  27.22,   0.06,   1.00,   0.30,  10.81,  10.04, 470.60,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
119,  0,   0.00,   0.00,   0.00, 651.60, 298.92,   0.00,   4.71,   2.43,   0.00,  16.87,   0.00,   0.00,   0.00,   0.00,-576.42,-329.83,   0.00,  23.50,  70.50,   0.00,   4.07,   0.72, 0.0016, 0.0153,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -28.82, -60.23,   0.00,   0.00,   3.01,   0.09,   0.00,  -3.10,   0.00,   0.00,3676.08,14704.32,   0.00,   0.00,   0.00,-735.22,-17645.18,   0.00,  15.14,  25.14,   0.59,   1.00,   0.30,   9.87,  10.10, 206.45,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
120,  0,   0.00,   0.00,   0.00, 645.00, 292.98,   0.00,   4.30,   1.90,   0.00,  11.03,   0.00,   0.00,   0.00,   0.00,-570.31,-336.85,   0.00,  23.00,  69.10,   0.00,   4.72,   0.64, 0.0010, 0.0124,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -27.49, -59.12,   0.00,   0.00,   2.97,   0.09,   0.00,  -3.06,   0.00,   0.00,3638.90,14555.60, 655.00,   0.00,   0.00, -72.78,-17466.72,   0.00,  13.19,  23.19,   0.06,   1.00,   0.30,  10.92,  10.15, 470.62,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
121,  0,   0.00,   0.00,   0.00, 644.32, 289.17,   0.00,   4.15,   1.76,   0.00,   9.76,   0.00,   0.00,   0.00,   0.00,-569.15,-336.55,   0.00,  22.70,  68.20,   0.00,   4.47,   0.61, 0.0009, 0.0115,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -27.33, -58.38,   0.00,   0.00,   2.97,   0.09,   0.00,  -3.06,   0.00,   0.00,3635.04,14540.16, 654.31,   0.00,   0.00, -72.70,-17448.19,   0.00,  12.64,  22.64,   0.06,   1.00,   0.30,  10.93,  10.16, 470.58,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
122,  0,   0.00,   0.00,   0.00, 645.40, 293.83,   0.00,   4.33,   1.94,   0.00,  11.39,   0.00,   0.00,   0.00,   0.00,-570.76,-336.79,   0.00,  23.10,  69.30,   0.00,   4.79,   0.64, 0.0011, 0.0126,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -27.54, -59.29,   0.00,   0.00,   2.98,   0.09,   0.00,  -3.07,   0.00,   0.00,3641.16,14564.64, 655.41,   0.00,   0.00, -72.82,-17477.57,   0.00,  13.34,  23.33,   0.06,   1.00,   0.30,  10.92,  10.15, 470.62,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
123,  0,   0.00,   0.00,   0.00, 650.88, 292.98,   0.00,   4.54,   2.35,   0.00,  15.86,   0.00,   0.00,   0.00,   0.00,-574.77,-327.18,   0.00,  23.00,  69.10,   0.00,   5.32,   0.69, 0.0013, 0.0146,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -26.89, -59.04,   0.00,   0.00,   3.00,   0.09,   0.00,  -3.09,   0.00,   0.00,3672.14,14688.56, 660.99,   0.00,   0.00, -73.44,-17626.27,   0.00,  14.86,  24.86,   0.06,   1.00,   0.30,  10.87,  10.10, 470.59,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
124,  0,   0.00,   0.00,   0.00, 652.56, 298.07,   0.00,   5.06,   3.16,   0.00,  29.50,   0.00,   0.00,   0.00,   0.00,-576.61,-301.93,   0.00,  23.40,  70.30,   0.00,   6.47,   0.81, 0.0018, 0.0188,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -26.29, -59.92,   0.00,   0.00,   3.01,   0.09,   0.00,  -3.10,   0.00,   0.00,3681.54,14726.16, 662.68,   0.00,   0.00, -73.63,-17671.39,   0.00,  17.78,  27.78,   0.06,   1.00,   0.30,  10.80,  10.03, 470.63,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
