ANNUAL REPORT: C, N, P and water fluxes in livestock operation system
---------------------------------------------------------------------------------------------
FARM: FarmTest1
YEAR: 1
---------------------------------------------------------------------------------------------

FEEDLOT: 1
HERD: type: ; heads: 0
FEED: rate: 0.00 kg DM/head/day; crude protein: 0.00 percent; P: 0.00 percent
---------------------------------------------------------------------------------------------
FEEDLOT_1                    C_kg            N_kg        Water_kg            P_kg
LAGOON                           C_kg            N_kg        Water_kg            P_kg

Influx_from_rainfall      0.000000e+000    0.000000e+000     4.233600e+006    0.000000e+000

Lagoon_CO2_emission       1.086346e+004    0.000000e+000     0.000000e+000    0.000000e+000
Lagoon_CH4_emission       5.272313e+003    0.000000e+000     0.000000e+000    0.000000e+000
Lagoon_NH3_emission       0.000000e+000    1.393417e+004     0.000000e+000    0.000000e+000
Lagoon_N2O_emission       0.000000e+000    4.182601e+001     0.000000e+000    0.000000e+000
Lagoon_NO_emission        0.000000e+000    0.000000e+000     0.000000e+000    0.000000e+000
Lagoon_N2_emission        0.000000e+000    4.434688e+002     0.000000e+000    0.000000e+000
Lagoon_evaporation        0.000000e+000    0.000000e+000     3.522232e+006    0.000000e+000

Applied_to_field          8.290708e+004    4.861355e+003     5.725040e+006    0.000000e+000
Transfered_to_digester    0.000000e+000    0.000000e+000     0.000000e+000    0.000000e+000
Remain_in_lagoon          1.465856e+004    1.202124e+003     1.388554e+006    0.000000e+000
---------------------------------------------------------------------------------------------
DIGESTER                         C_kg            N_kg        Water_kg            P_kg

Digester_CO2_emission     0.000000e+000    0.000000e+000     0.000000e+000    0.000000e+000
Digester_CH4_emission     0.000000e+000    0.000000e+000     0.000000e+000    0.000000e+000
Digester_NH3_emission     0.000000e+000    0.000000e+000     0.000000e+000    0.000000e+000
Digester_N2O_emission     0.000000e+000    0.000000e+000     0.000000e+000    0.000000e+000
Digester_NO_emission      0.000000e+000    0.000000e+000     0.000000e+000    0.000000e+000
Digester_N2_emission      0.000000e+000    0.000000e+000     0.000000e+000    0.000000e+000
Evaporation               0.000000e+000    0.000000e+000     0.000000e+000    0.000000e+000

Applied_to_field          0.000000e+000    0.000000e+000     0.000000e+000    0.000000e+000
Transfered_to_lagoon      0.000000e+000    0.000000e+000     0.000000e+000    0.000000e+000
Remain_in_digester        0.000000e+000    0.000000e+000     0.000000e+000    0.000000e+000
---------------------------------------------------------------------------------------------
FIELD_1_Corn_5.00ha              C_kg            N_kg        Water_kg            P_kg

Influx_from_lagoon        8.290708e+004    4.861355e+003     5.725040e+006    0.000000e+000
Influx_from_compost       1.574205e+005    7.211108e+003     5.758896e+004    9.345698e+002
Influx_from_digester      0.000000e+000    0.000000e+000     0.000000e+000    0.000000e+000

Influx_from_precipitation 0.000000e+000    3.075001e+001     5.292000e+007    0.000000e+000
Influx_from_crop_residue  1.098325e+004    1.344523e+002     0.000000e+000    0.000000e+000
Influx_from_fertilizer    0.000000e+000    0.000000e+000     0.000000e+000    0.000000e+000
Influx_from_irrigation    0.000000e+000    0.000000e+000     0.000000e+000    0.000000e+000
Influx_from_grazing_herd  0.000000e+000    0.000000e+000     0.000000e+000    0.000000e+000
Influx_from_N_fixation    0.000000e+000    0.000000e+000     0.000000e+000    0.000000e+000

Soil_CO2_emission         1.405980e+005    0.000000e+000     0.000000e+000    0.000000e+000
Soil_CH4_emission         -9.219726e+000    0.000000e+000     0.000000e+000    0.000000e+000
Soil_NH3_emission         0.000000e+000    1.881077e+003     0.000000e+000    0.000000e+000
Soil_N2O_emission         0.000000e+000    1.939875e+002     0.000000e+000    0.000000e+000
Soil_NO_emission          0.000000e+000    3.553944e+001     0.000000e+000    0.000000e+000
Soil_N2_emission          0.000000e+000    1.520945e-004     0.000000e+000    0.000000e+000
Uptake_by_crop            0.000000e+000    6.864417e+002     1.346987e+007    6.264144e+000
Soil_N_loss_by_leaching   0.000000e+000    2.375031e+002     2.652872e+007    0.000000e+000
Soil_runoff_loss          0.000000e+000    0.000000e+000     1.273036e+007    0.000000e+000
Soil_water_evaporation    0.000000e+000    0.000000e+000     7.764103e+005    0.000000e+000

Soil_sequestration        1.107221e+005    8.800463e+003     -5.853595e+005    9.283057e+002

Crop_N_fixation           0.000000e+000    1.128883e-002     0.000000e+000    0.000000e+000
Crop_grain                1.771492e+004    3.542984e+002     0.000000e+000    0.000000e+000
Crop_shoot                1.948641e+004    2.435802e+002     0.000000e+000    0.000000e+000
Crop_root                 7.085968e+003    8.857439e+001     0.000000e+000    0.000000e+000
---------------------------------------------------------------------------------------------
