Daily climate at site boone2 in year 1
Day,Temp.(C),Prec.(mm),WindSpeed(m/s),Radiation(MJ/m2/d),Humidity(),PET(mm),Actual_ET(mm),Evaporation(mm),Transpiration(mm)
  26,   -5.00,    0.00,    2.00,   10.31,   60.00,    0.46,    0.46,    0.46,    0.00
  27,   -8.00,    1.00,    2.00,   10.84,   60.00,    0.42,    0.42,    0.42,    0.00
  28,  -13.00,    0.00,    2.00,   11.38,   60.00,    0.34,    0.34,    0.34,    0.00
  29,   -7.25,    0.00,    2.00,    9.77,   60.00,    0.37,    0.37,    0.37,    0.00
  30,   -6.25,    0.00,    2.00,   11.38,   60.00,    0.48,    0.48,    0.48,    0.00
  31,   -2.00,    0.00,    2.00,    9.51,   60.00,    0.48,    0.48,    0.48,    0.00
  32,    0.25,    4.00,    2.00,    3.21,   60.00,    0.29,    0.29,    0.29,    0.00
  33,    1.00,   19.00,    2.00,    2.81,   60.00,    0.29,    0.29,    0.29,    0.00
  34,    3.50,    0.00,    2.00,    7.10,   60.00,    0.51,    0.51,    0.51,    0.00
  35,    3.75,    4.00,    2.00,    5.76,   60.00,    0.48,    0.48,    0.48,    0.00
  36,   -0.50,    0.00,    2.00,   10.04,   60.00,    0.55,    0.55,    0.55,    0.00
  37,   -5.00,    0.00,    2.00,   10.84,   60.00,    0.48,    0.48,    0.48,    0.00
  38,   -4.50,   10.00,    2.00,    5.62,   60.00,    0.28,    0.28,    0.28,    0.00
  39,   -8.00,    0.00,    2.00,   12.59,   60.00,    0.44,    0.44,    0.44,    0.00
  40,   -5.50,    0.00,    2.00,   12.99,   60.00,    0.54,    0.54,    0.54,    0.00
  41,   -3.25,    3.00,    2.00,    9.24,   60.00,    0.48,    0.48,    0.48,    0.00
  42,   -4.75,    0.00,    2.00,   11.51,   60.00,    0.45,    0.45,    0.45,    0.00
  43,   -7.25,    1.00,    2.00,   12.72,   60.00,    0.44,    0.44,    0.44,    0.00
  44,  -10.75,    0.00,    2.00,   12.32,   60.00,    0.35,    0.35,    0.35,    0.00
  45,  -13.75,    0.00,    2.00,   14.06,   60.00,    0.37,    0.37,    0.37,    0.00
  46,  -13.25,    0.00,    2.00,   12.45,   60.00,    0.30,    0.30,    0.30,    0.00
  47,  -13.75,    0.00,    2.00,   12.05,   60.00,    0.28,    0.28,    0.28,    0.00
  48,   -9.75,   29.00,    2.00,    7.23,   60.00,    0.19,    0.19,    0.19,    0.00
  49,   -6.75,   14.00,    2.00,    7.36,   60.00,    0.21,    0.21,    0.21,    0.00
  50,   -1.00,    0.00,    2.00,   12.72,   60.00,    0.38,    0.38,    0.38,    0.00
  51,    2.25,    0.00,    2.00,   13.52,   60.00,    0.49,    0.49,    0.49,    0.00
  52,    3.00,    0.00,    2.00,   15.00,   60.00,    0.67,    0.67,    0.67,    0.00
  53,    4.00,   24.00,    2.00,    6.83,   60.00,    0.36,    0.36,    0.36,    0.00
  54,    1.50,   21.00,    2.00,    5.22,   60.00,    0.28,    0.28,    0.28,    0.00
  55,   -1.75,    0.00,    2.00,   12.18,   60.00,    0.34,    0.34,    0.34,    0.00
  56,   -5.25,    0.00,    2.00,   12.45,   60.00,    0.29,    0.29,    0.29,    0.00
  57,  -10.50,    0.00,    2.00,   14.46,   60.00,    0.27,    0.27,    0.27,    0.00
  58,   -8.50,    0.00,    2.00,   16.07,   60.00,    0.39,    0.39,    0.39,    0.00
  59,   -5.00,    0.00,    2.00,   14.46,   60.00,    0.36,    0.36,    0.36,    0.00
  60,   -3.25,    0.00,    2.00,   15.40,   60.00,    0.43,    0.43,    0.43,    0.00
  61,    1.50,   23.00,    2.00,    7.50,   60.00,    0.33,    0.33,    0.33,    0.00
  62,   -5.00,    0.00,    2.00,   16.07,   60.00,    0.44,    0.44,    0.44,    0.00
  63,   -8.75,    0.00,    2.00,   16.33,   60.00,    0.38,    0.38,    0.38,    0.00
  64,    0.75,    3.00,    2.00,    9.24,   60.00,    0.37,    0.37,    0.37,    0.00
  65,   -1.00,    7.00,    2.00,   11.25,   60.00,    0.42,    0.42,    0.42,    0.00
  66,   -9.00,    0.00,    2.00,   17.00,   60.00,    0.40,    0.40,    0.40,    0.00
  67,   -0.50,    0.00,    2.00,   15.13,   60.00,    0.46,    0.46,    0.46,    0.00
  68,    2.50,    0.00,    2.00,   15.00,   60.00,    0.53,    0.53,    0.53,    0.00
  69,   -5.25,    0.00,    2.00,   14.33,   60.00,    0.33,    0.33,    0.33,    0.00
  70,   -5.50,    0.00,    2.00,   14.86,   60.00,    0.34,    0.34,    0.34,    0.00
  71,    2.25,    0.00,    2.00,   15.13,   60.00,    0.51,    0.51,    0.51,    0.00
  72,    1.50,    6.00,    2.00,   10.58,   60.00,    0.42,    0.42,    0.42,    0.00
  73,   -5.00,    0.00,    2.00,   14.46,   60.00,    0.33,    0.33,    0.33,    0.00
  74,   -2.00,    0.00,    2.00,   13.66,   60.00,    0.36,    0.36,    0.36,    0.00
  75,    2.50,    0.00,    2.00,   17.14,   60.00,    0.62,    0.62,    0.62,    0.00
  76,    8.50,    0.00,    2.00,   18.48,   60.00,    1.04,    1.04,    1.04,    0.00
  77,    8.00,    0.00,    2.00,   16.87,   60.00,    0.78,    0.78,    0.78,    0.00
  78,    1.75,    0.00,    2.00,   12.99,   60.00,    0.43,    0.43,    0.43,    0.00
  79,   -0.50,    3.00,    2.00,   11.51,   60.00,    0.42,    0.42,    0.42,    0.00
  80,    8.25,   12.00,    2.00,   12.05,   60.00,    0.68,    0.68,    0.68,    0.00
  81,   10.00,    0.00,    2.00,   13.25,   60.00,    0.67,    0.67,    0.67,    0.00
  82,    7.00,    0.00,    2.00,   14.73,   60.00,    0.64,    0.64,    0.64,    0.00
  83,    5.25,    0.00,    2.00,   16.07,   60.00,    0.66,    0.66,    0.66,    0.00
  84,    7.25,    0.00,    2.00,   16.47,   60.00,    0.76,    0.76,    0.76,    0.00
  85,   10.25,    4.00,    2.00,   13.12,   60.00,    0.90,    0.90,    0.90,    0.00
  86,    9.75,    6.00,    2.00,   12.72,   60.00,    0.86,    0.86,    0.86,    0.00
  87,    8.00,    0.00,    2.00,   18.88,   60.00,    1.07,    1.07,    1.07,    0.00
  88,   12.50,   17.00,    2.00,   12.32,   60.00,    0.99,    0.99,    0.99,    0.00
  89,    9.00,   36.00,    2.00,   12.05,   60.00,    0.85,    0.85,    0.85,    0.00
  90,    1.50,    8.00,    2.00,    7.77,   60.00,    0.41,    0.41,    0.41,    0.00
  91,    0.25,    1.00,    2.00,   14.73,   60.00,    0.58,    0.58,    0.58,    0.00
  92,    3.50,    4.00,    2.00,    9.77,   60.00,    0.54,    0.54,    0.54,    0.00
  93,    3.75,    3.00,    2.00,    5.36,   60.00,    0.39,    0.39,    0.39,    0.00
  94,    0.50,    8.00,    2.00,    6.16,   60.00,    0.35,    0.35,    0.35,    0.00
  95,   -1.00,    9.00,    2.00,    5.22,   60.00,    0.28,    0.28,    0.28,    0.00
  96,    1.00,    0.00,    2.00,   11.78,   60.00,    0.45,    0.45,    0.45,    0.00
  97,   -0.25,    0.00,    2.00,   12.72,   60.00,    0.45,    0.45,    0.45,    0.00
  98,    0.00,    5.00,    2.00,    6.83,   60.00,    0.31,    0.31,    0.31,    0.00
  99,    0.75,    2.00,    2.00,    6.69,   60.00,    0.31,    0.31,    0.31,    0.00
 100,    2.50,    0.00,    2.00,   17.54,   60.00,    0.64,    0.64,    0.64,    0.00
 101,    3.00,   28.00,    2.00,   11.65,   60.00,    0.51,    0.51,    0.51,    0.00
 102,    8.00,   19.00,    2.00,   12.99,   60.00,    0.75,    0.75,    0.75,    0.00
 103,    9.25,    0.00,    2.00,   17.81,   60.00,    0.97,    0.97,    0.97,    0.00
 104,    6.25,    0.00,    2.00,   21.15,   60.00,    1.12,    1.12,    1.12,    0.00
 105,   16.50,    0.00,    2.00,   21.02,   60.00,    1.92,    1.92,    1.92,    0.00
 106,   17.75,    0.00,    2.00,   21.42,   60.00,    2.41,    2.41,    2.41,    0.00
 107,    3.75,    0.00,    2.00,   17.41,   60.00,    0.99,    0.99,    0.99,    0.00
 108,    1.75,    0.00,    2.00,   17.54,   60.00,    0.92,    0.92,    0.92,    0.00
 109,    5.50,    0.00,    2.00,   18.74,   60.00,    1.19,    1.19,    1.19,    0.00
 110,    7.50,    0.00,    2.00,   20.22,   60.00,    1.46,    1.46,    1.46,    0.00
 111,    9.50,    0.00,    2.00,   21.02,   60.00,    1.76,    1.76,    1.76,    0.00
 112,    8.75,    9.00,    2.00,    9.91,   60.00,    0.97,    0.97,    0.97,    0.00
 113,    7.75,    9.00,    2.00,    7.77,   60.00,    0.82,    0.82,    0.82,    0.00
 114,    5.75,    1.00,    2.00,   15.40,   60.00,    1.29,    1.29,    1.29,    0.00
 115,    7.25,    0.00,    2.00,   21.96,   60.00,    2.07,    2.07,    2.07,    0.00
 116,    9.75,   16.00,    2.00,    9.24,   60.00,    1.14,    1.14,    1.14,    0.00
 117,   10.75,   13.00,    2.00,   14.19,   60.00,    1.83,    1.83,    1.83,    0.00
 118,   14.50,    0.00,    2.00,   22.49,   60.00,    3.43,    3.41,    3.21,    0.21
 119,   18.75,    0.00,    2.00,   21.02,   60.00,    3.50,    3.49,    2.99,    0.50
 120,   13.50,    0.00,    2.00,   20.35,   60.00,    2.80,    2.79,    2.62,    0.17
 121,   12.75,    2.00,    2.00,   16.47,   60.00,    2.19,    2.18,    2.04,    0.14
 122,   16.25,    2.00,    2.00,   19.68,   60.00,    2.97,    2.96,    2.63,    0.33
 123,   13.00,    0.00,    2.00,   19.55,   60.00,    2.64,    2.48,    2.33,    0.16
 124,   10.00,    0.00,    2.00,   21.56,   60.00,    2.68,    1.98,    1.92,    0.06
 125,   11.25,    0.00,    2.00,   21.42,   60.00,    2.81,    1.68,    1.59,    0.09
 126,   11.75,    1.00,    2.00,   14.19,   60.00,    1.87,    1.27,    1.16,    0.11
 127,   15.50,    0.00,    2.00,   17.81,   60.00,    2.64,    1.57,    1.27,    0.30
 128,   13.50,    4.00,    2.00,   11.78,   60.00,    1.78,    1.76,    1.57,    0.19
 129,   11.50,    2.00,    2.00,   14.59,   60.00,    1.90,    1.89,    1.78,    0.11
 130,   13.25,    0.00,    2.00,   21.02,   60.00,    2.96,    2.36,    2.18,    0.18
 131,   12.50,    3.00,    2.00,   13.92,   60.00,    2.03,    1.99,    1.85,    0.15
 132,   10.25,    6.00,    2.00,    9.37,   60.00,    1.29,    1.28,    1.21,    0.07
 133,   11.25,    2.00,    2.00,   12.45,   60.00,    1.64,    1.63,    1.53,    0.10
 134,   12.75,    2.00,    2.00,   14.06,   60.00,    1.92,    1.91,    0.96,    0.95
 135,   11.75,    0.00,    2.00,   18.07,   60.00,    2.33,    2.31,    1.60,    0.71
 136,    9.75,    0.00,    2.00,   11.92,   60.00,    1.48,    1.36,    1.00,    0.36
 137,    8.25,    0.00,    2.00,   15.26,   60.00,    1.73,    1.36,    1.16,    0.20
 138,    9.75,    0.00,    2.00,   23.30,   60.00,    2.98,    1.87,    1.51,    0.36
 139,   15.50,    0.00,    2.00,   23.30,   60.00,    3.75,    2.73,    0.84,    1.89
 140,   18.25,    0.00,    2.00,   22.76,   60.00,    3.96,    3.53,    0.29,    3.24
 141,   17.25,    3.00,    2.00,   13.66,   60.00,    2.33,    2.33,    0.00,    2.33
 142,   12.75,    2.00,    2.00,    9.64,   60.00,    1.42,    1.40,    0.43,    0.97
 143,   10.00,    5.00,    2.00,    5.49,   60.00,    0.87,    0.85,    0.45,    0.40
 144,    8.50,    5.00,    2.00,    4.42,   60.00,    0.71,    0.69,    0.47,    0.22
 145,   10.25,    5.00,    2.00,    7.77,   60.00,    1.11,    1.10,    0.66,    0.44
 146,   10.50,   31.00,    2.00,    7.10,   60.00,    1.05,    1.03,    0.55,    0.48
 147,   11.50,   30.00,    2.00,    9.64,   60.00,    1.37,    1.36,    0.69,    0.67
 148,   14.25,   20.00,    2.00,   11.51,   60.00,    1.76,    1.75,    0.32,    1.43
 149,   16.25,    9.00,    2.00,   14.06,   60.00,    2.26,    2.25,    0.03,    2.22
 150,   17.75,    0.00,    2.00,   19.55,   60.00,    3.05,    3.04,    0.09,    2.96
 151,   17.00,    5.00,    2.00,   14.33,   60.00,    2.37,    2.37,    0.00,    2.37
 152,   14.75,   28.00,    2.00,    9.37,   60.00,    1.51,    1.51,    0.00,    1.51
 153,   14.75,    0.00,    2.00,   18.21,   60.00,    2.57,    2.55,    0.97,    1.58
 154,   14.75,    0.00,    2.00,   22.09,   60.00,    3.17,    3.16,    1.59,    1.57
 155,   15.75,    5.00,    2.00,   12.85,   60.00,    2.03,    2.01,    0.05,    1.96
 156,   14.00,    7.00,    2.00,    7.63,   60.00,    1.27,    1.27,    0.00,    1.27
 157,   17.75,    0.00,    2.00,   19.28,   60.00,    2.98,    2.97,    0.10,    2.87
 158,   17.75,   18.00,    2.00,   12.85,   60.00,    2.17,    2.17,    0.00,    2.17
 159,   16.00,    0.00,    2.00,   12.05,   60.00,    1.88,    1.88,    0.00,    1.88
 160,   16.25,    0.00,    2.00,   13.25,   60.00,    2.04,    2.04,    0.00,    2.04
 161,   18.75,    0.00,    2.00,   19.55,   60.00,    3.11,    3.11,    0.00,    3.11
 162,   19.25,    3.00,    2.00,   14.46,   60.00,    2.54,    2.54,    0.00,    2.54
 163,   19.50,    0.00,    2.00,   13.66,   60.00,    2.33,    2.33,    0.00,    2.33
 164,   16.25,    5.00,    2.00,    8.57,   60.00,    1.49,    1.49,    0.00,    1.49
 165,   16.50,    5.00,    2.00,   12.85,   60.00,    2.07,    2.07,    0.00,    2.07
 166,   18.25,    0.00,    2.00,   21.02,   60.00,    3.31,    3.30,    0.36,    2.94
 167,   15.50,    0.00,    2.00,   19.28,   60.00,    2.76,    2.75,    1.03,    1.71
 168,   15.00,    0.00,    2.00,   21.82,   60.00,    3.10,    3.09,    1.57,    1.52
 169,   15.75,    6.00,    2.00,   13.66,   60.00,    2.12,    2.11,    0.33,    1.77
 170,   18.50,    0.00,    2.00,   14.73,   60.00,    2.38,    2.38,    0.00,    2.38
 171,   19.00,    0.00,    2.00,   17.67,   60.00,    2.82,    2.82,    0.00,    2.82
 172,   17.00,   10.00,    2.00,   14.33,   60.00,    2.30,    2.29,    0.07,    2.21
 173,   15.50,   34.00,    2.00,    8.43,   60.00,    1.43,    1.43,    0.00,    1.43
 174,   17.25,   21.00,    2.00,   11.65,   60.00,    1.94,    1.94,    0.00,    1.94
 175,   21.25,    0.00,    2.00,   20.75,   60.00,    3.58,    3.58,    0.00,    3.58
 176,   24.75,    0.00,    2.00,   21.29,   60.00,    4.16,    4.16,    0.00,    4.16
 177,   26.75,    0.00,    2.00,   18.48,   60.00,    3.78,    3.78,    0.00,    3.78
 178,   27.50,    0.00,    2.00,   17.81,   60.00,    3.73,    3.73,    0.00,    3.73
 179,   24.00,    0.00,    2.00,   17.81,   60.00,    3.36,    3.36,    0.00,    3.36
 180,   22.50,    0.00,    2.00,   19.01,   60.00,    3.41,    3.41,    0.00,    3.41
 181,   23.50,    0.00,    2.00,   18.74,   60.00,    3.47,    3.47,    0.00,    3.47
 182,   21.50,    0.00,    2.00,   21.02,   60.00,    3.70,    3.70,    0.00,    3.70
 183,   22.00,    0.00,    2.00,   20.22,   60.00,    3.60,    3.60,    0.00,    3.60
 184,   23.00,    0.00,    2.00,   17.81,   60.00,    3.26,    3.26,    0.00,    3.26
 185,   24.75,    0.00,    2.00,   18.61,   60.00,    3.59,    3.59,    0.00,    3.59
 186,   27.00,    0.00,    2.00,   17.54,   60.00,    3.64,    3.64,    0.00,    3.64
 187,   27.50,    0.00,    2.00,   16.47,   60.00,    3.50,    3.50,    0.00,    3.50
 188,   25.25,    0.00,    2.00,   18.34,   60.00,    3.61,    3.61,    0.00,    3.61
 189,   25.75,    0.00,    2.00,   17.94,   60.00,    3.60,    3.60,    0.00,    3.60
 190,   23.25,    4.00,    2.00,   12.32,   60.00,    2.54,    2.54,    0.00,    2.54
 191,   19.00,    0.00,    2.00,   17.81,   60.00,    2.90,    2.90,    0.00,    2.90
 192,   18.25,   11.00,    2.00,    8.97,   60.00,    1.67,    1.67,    0.00,    1.67
 193,   20.25,    8.00,    2.00,   12.85,   60.00,    2.38,    2.38,    0.00,    2.38
 194,   22.50,    0.00,    2.00,   17.94,   60.00,    3.27,    3.27,    0.00,    3.27
 195,   21.50,    0.00,    2.00,   17.14,   60.00,    3.04,    3.04,    0.00,    3.04
 196,   21.25,    0.00,    2.00,   16.74,   60.00,    2.95,    2.95,    0.00,    2.95
 197,   20.75,    1.00,    2.00,   16.87,   60.00,    2.92,    2.92,    0.00,    2.92
 198,   22.00,    0.00,    2.00,   18.07,   60.00,    3.24,    3.24,    0.00,    3.24
 199,   22.00,    7.00,    2.00,   12.05,   60.00,    2.39,    2.39,    0.00,    2.39
 200,   21.50,   11.00,    2.00,   11.11,   60.00,    2.20,    2.20,    0.00,    2.20
 201,   21.00,    0.00,    2.00,   19.68,   60.00,    3.43,    3.42,    0.48,    2.93
 202,   22.75,    0.00,    2.00,   17.27,   60.00,    3.18,    3.18,    0.00,    3.18
 203,   24.75,   16.00,    2.00,    8.97,   60.00,    2.11,    2.11,    0.00,    2.11
 204,   24.25,   20.00,    2.00,    7.90,   60.00,    1.91,    1.91,    0.00,    1.91
 205,   24.25,    6.00,    2.00,    8.03,   60.00,    1.93,    1.91,    0.99,    0.92
 206,   24.00,    0.00,    2.00,   14.46,   60.00,    2.84,    2.83,    2.54,    0.29
 207,   23.50,    0.00,    2.00,   18.61,   60.00,    3.49,    3.48,    3.19,    0.29
 208,   25.50,    0.00,    2.00,   15.40,   60.00,    3.13,    3.12,    2.83,    0.29
 209,   24.00,    0.00,    2.00,   15.66,   60.00,    3.03,    3.00,    2.72,    0.28
 210,   22.25,    0.00,    2.00,   16.60,   60.00,    3.02,    2.64,    2.38,    0.27
 211,   22.25,    0.00,    2.00,   18.48,   60.00,    3.33,    2.33,    2.08,    0.25
 212,   21.00,    0.00,    2.00,   19.01,   60.00,    3.30,    1.98,    1.74,    0.24
 213,   18.75,   19.00,    2.00,   10.04,   60.00,    1.85,    1.83,    1.61,    0.22
 214,   19.75,   11.00,    2.00,   10.04,   60.00,    1.91,    1.90,    1.66,    0.24
 215,   23.00,    6.00,    2.00,   12.05,   60.00,    2.47,    2.45,    2.19,    0.26
 216,   24.50,   11.00,    2.00,    9.10,   60.00,    2.10,    2.08,    1.82,    0.27
 217,   24.50,   11.00,    2.00,    8.03,   60.00,    1.93,    1.92,    1.65,    0.27
 218,   24.75,    0.00,    2.00,   12.99,   60.00,    2.66,    2.65,    2.37,    0.28
 219,   24.00,    5.00,    2.00,   10.44,   60.00,    2.27,    2.25,    1.98,    0.27
 220,   23.00,   31.00,    2.00,    9.64,   60.00,    2.07,    2.05,    1.78,    0.27
 221,   24.00,    0.00,    2.00,   12.72,   60.00,    2.55,    2.53,    2.26,    0.27
 222,   25.50,    9.00,    2.00,    9.24,   60.00,    2.19,    2.17,    1.90,    0.27
 223,   25.75,    0.00,    2.00,   13.12,   60.00,    2.76,    2.75,    2.48,    0.27
 224,   24.75,   16.00,    2.00,   10.04,   60.00,    2.26,    2.24,    1.97,    0.27
 225,   25.25,   10.00,    2.00,   11.78,   60.00,    2.59,    2.57,    2.31,    0.27
 226,   25.00,    0.00,    2.00,   17.27,   60.00,    3.37,    3.36,    3.10,    0.26
 227,   24.50,    0.00,    2.00,   18.74,   60.00,    3.60,    3.59,    3.33,    0.26
 228,   25.00,    0.00,    2.00,   17.94,   60.00,    3.50,    3.48,    3.23,    0.25
 229,   22.50,    0.00,    2.00,   14.33,   60.00,    2.67,    2.53,    2.30,    0.23
 230,   20.25,    0.00,    2.00,   14.06,   60.00,    2.44,    2.04,    1.84,    0.20
 231,   22.25,    0.00,    2.00,   18.74,   60.00,    3.37,    2.30,    2.10,    0.19
 232,   24.00,    0.00,    2.00,   19.15,   60.00,    3.65,    2.09,    1.90,    0.19
 233,   25.00,    0.00,    2.00,   18.21,   60.00,    3.58,    1.79,    1.62,    0.17
 234,   26.25,    0.00,    2.00,   16.74,   60.00,    3.44,    1.56,    1.42,    0.14
 235,   22.75,    0.00,    2.00,   17.94,   60.00,    3.31,    1.38,    1.29,    0.09
 236,   17.50,    0.00,    2.00,   20.08,   60.00,    3.19,    1.23,    1.23,    0.00
 237,   19.50,    0.00,    2.00,   17.94,   60.00,    2.99,    1.02,    1.02,    0.00
 238,   21.25,    0.00,    2.00,   17.14,   60.00,    3.03,    0.93,    0.93,    0.00
 239,   23.50,    0.00,    2.00,   16.20,   60.00,    3.09,    0.85,    0.85,    0.00
 240,   19.50,    0.00,    2.00,   18.34,   60.00,    3.08,    0.75,    0.75,    0.00
 241,   18.50,    0.00,    2.00,   19.82,   60.00,    3.30,    0.71,    0.71,    0.00
 242,   22.50,    0.00,    2.00,   15.26,   60.00,    2.85,    0.54,    0.54,    0.00
 243,   17.00,    0.00,    2.00,   18.34,   60.00,    2.85,    0.49,    0.49,    0.00
 244,   16.50,    0.00,    2.00,   14.73,   60.00,    2.27,    0.35,    0.35,    0.00
 245,   16.25,   12.00,    2.00,    8.43,   60.00,    1.49,    1.37,    1.37,    0.00
 246,   17.00,    0.00,    2.00,   11.92,   60.00,    1.94,    1.93,    1.93,    0.00
 247,   18.25,   10.00,    2.00,    8.17,   60.00,    1.57,    1.56,    1.56,    0.00
 248,   19.50,    5.00,    2.00,    9.64,   60.00,    1.86,    1.84,    1.84,    0.00
 249,   18.00,    0.00,    2.00,   17.67,   60.00,    2.87,    2.85,    2.85,    0.00
 250,   18.50,    0.00,    2.00,   18.34,   60.00,    3.08,    3.00,    3.00,    0.00
 251,   18.50,    0.00,    2.00,   15.53,   60.00,    2.58,    1.96,    1.96,    0.00
 252,   15.00,    0.00,    2.00,   16.60,   60.00,    2.45,    1.44,    1.44,    0.00
 253,   13.50,    0.00,    2.00,   19.28,   60.00,    2.82,    1.28,    1.28,    0.00
 254,   17.25,    0.00,    2.00,   16.20,   60.00,    2.61,    0.95,    0.95,    0.00
 255,   17.25,    0.00,    2.00,   14.33,   60.00,    2.33,    0.70,    0.70,    0.00
 256,   16.75,    0.00,    2.00,   15.26,   60.00,    2.43,    0.64,    0.64,    0.00
 257,   20.75,    0.00,    2.00,   12.85,   60.00,    2.38,    0.55,    0.55,    0.00
 258,   22.00,    0.00,    2.00,   12.18,   60.00,    2.38,    0.48,    0.48,    0.00
 259,   21.25,   18.00,    2.00,    9.51,   60.00,    2.00,    1.92,    1.92,    0.00
 260,   17.75,    0.00,    2.00,   16.20,   60.00,    2.69,    2.68,    2.68,    0.00
 261,   16.75,    0.00,    2.00,   14.73,   60.00,    2.37,    2.36,    2.36,    0.00
 262,   18.50,   10.00,    2.00,    8.30,   60.00,    1.64,    1.62,    1.62,    0.00
 263,   22.50,    0.00,    2.00,   10.71,   60.00,    2.20,    2.18,    2.18,    0.00
 264,   18.75,    0.00,    2.00,   15.13,   60.00,    2.61,    2.59,    2.59,    0.00
 265,   17.50,    0.00,    2.00,   14.06,   60.00,    2.33,    1.92,    1.92,    0.00
 266,   18.00,   24.00,    2.00,    9.91,   60.00,    1.85,    1.84,    1.84,    0.00
 267,   16.50,    0.00,    2.00,   14.86,   60.00,    2.38,    2.37,    2.37,    0.00
 268,   17.50,    0.00,    2.00,   15.26,   60.00,    2.54,    2.53,    2.53,    0.00
 269,   17.50,    0.00,    2.00,    9.77,   60.00,    1.73,    1.71,    1.71,    0.00
 270,   18.50,    0.00,    2.00,   10.84,   60.00,    1.94,    1.92,    1.92,    0.00
 271,   19.25,    1.00,    2.00,    9.10,   60.00,    1.74,    1.72,    1.72,    0.00
 272,   16.75,    0.00,    2.00,   13.52,   60.00,    2.20,    1.78,    1.78,    0.00
 273,   13.25,    0.00,    2.00,   15.26,   60.00,    2.19,    1.35,    1.35,    0.00
 274,   11.00,    0.00,    2.00,   15.53,   60.00,    2.07,    1.01,    1.01,    0.00
 275,   11.25,    0.00,    2.00,   14.33,   60.00,    1.92,    0.78,    0.78,    0.00
 276,    8.75,    0.00,    2.00,   15.53,   60.00,    1.92,    0.68,    0.68,    0.00
 277,    9.00,    7.00,    2.00,   11.11,   60.00,    1.53,    1.47,    1.47,    0.00
 278,    9.75,    0.00,    2.00,   12.05,   60.00,    1.55,    1.53,    1.53,    0.00
 279,    8.25,    0.00,    2.00,   15.00,   60.00,    1.84,    1.43,    1.43,    0.00
 280,    7.75,    0.00,    2.00,   15.80,   60.00,    1.95,    1.10,    1.10,    0.00
 281,   12.75,    0.00,    2.00,   15.53,   60.00,    2.35,    1.01,    1.01,    0.00
 282,   15.50,    0.00,    2.00,   14.59,   60.00,    2.39,    0.82,    0.82,    0.00
 283,   15.25,    0.00,    2.00,   12.59,   60.00,    2.02,    0.56,    0.56,    0.00
 284,   13.75,    0.00,    2.00,   11.92,   60.00,    1.82,    0.44,    0.44,    0.00
 285,   12.25,   26.00,    2.00,    6.96,   60.00,    1.15,    1.11,    1.11,    0.00
 286,   14.00,    0.00,    2.00,   10.58,   60.00,    1.65,    1.64,    1.64,    0.00
