Daily climate at site boone2 in year 1
Day,Temp.(C),Prec.(mm),WindSpeed(m/s),Radiation(MJ/m2/d),Humidity(),PET(mm),Actual_ET(mm),Evaporation(mm),Transpiration(mm)
   1,    3.00,   12.00,    2.00,    3.35,   60.00,    0.49,    0.45,    0.45,    0.00
   2,   -1.50,   10.00,    2.00,    5.22,   60.00,    0.50,    0.50,    0.50,    0.00
   3,   -2.00,   12.00,    2.00,    4.15,   60.00,    0.38,    0.38,    0.38,    0.00
   4,   -1.25,   25.00,    2.00,    3.21,   60.00,    0.28,    0.28,    0.28,    0.00
   5,   -3.25,    1.00,    2.00,    6.83,   60.00,    0.37,    0.37,    0.37,    0.00
   6,   -3.75,    2.00,    2.00,    6.02,   60.00,    0.32,    0.32,    0.32,    0.00
   7,   -4.50,    2.00,    2.00,    5.76,   60.00,    0.29,    0.29,    0.29,    0.00
   8,   -3.75,    1.00,    2.00,    8.57,   60.00,    0.42,    0.42,    0.42,    0.00
   9,    0.50,    3.00,    2.00,    4.82,   60.00,    0.37,    0.37,    0.37,    0.00
  10,   -1.50,    2.00,    2.00,    7.90,   60.00,    0.43,    0.43,    0.43,    0.00
  11,   -4.50,    0.00,    2.00,    7.36,   60.00,    0.34,    0.34,    0.34,    0.00
  12,   -3.00,    0.00,    2.00,    6.69,   60.00,    0.34,    0.34,    0.34,    0.00
  13,   -3.25,    0.00,    2.00,    8.84,   60.00,    0.44,    0.44,    0.44,    0.00
  14,   -6.50,    0.00,    2.00,    8.30,   60.00,    0.34,    0.34,    0.34,    0.00
  15,   -8.75,    0.00,    2.00,    9.10,   60.00,    0.34,    0.34,    0.34,    0.00
  16,   -7.00,    0.00,    2.00,    7.77,   60.00,    0.31,    0.31,    0.31,    0.00
  17,   -6.25,    1.00,    2.00,    8.70,   60.00,    0.36,    0.36,    0.36,    0.00
  18,  -12.25,    0.00,    2.00,   10.71,   60.00,    0.36,    0.36,    0.36,    0.00
  19,  -11.75,    0.00,    2.00,   10.58,   60.00,    0.35,    0.35,    0.35,    0.00
  20,   -7.75,    0.00,    2.00,    9.51,   60.00,    0.37,    0.37,    0.37,    0.00
  21,   -9.75,    0.00,    2.00,    8.43,   60.00,    0.29,    0.29,    0.29,    0.00
  22,  -12.00,    0.00,    2.00,    8.17,   60.00,    0.24,    0.24,    0.24,    0.00
  23,  -13.50,    0.00,    2.00,    8.30,   60.00,    0.23,    0.23,    0.23,    0.00
  24,  -10.50,    0.00,    2.00,   10.18,   60.00,    0.34,    0.34,    0.34,    0.00
  25,   -8.50,    0.00,    2.00,   10.98,   60.00,    0.43,    0.43,    0.43,    0.00
