Daily lagoon/slurry C and N dynamics at FarmTest1 in year 1
Unit: per lagoon

Day,T_air,T_1cm,T_20cm,T_40cm,T_60cm,T_80cm,CO2-flux,CH4-flux,MOC-pool,DOC-pool,Removed_C,NH3-flux,N2O-flux,NO-flux,N2-flux,MON-pool,Urea-pool,NH4-pool,NO3-pool,NH3-pool,NO2-pool,NO-pool,N2O-pool,N2-pool,Removed_N,Evaporation,Water-pool,Removed_water,Lagoon_P,Removed_P,Crust-C
,,,,,,,kgC,kgC,kgC,kgC,kgC,kgN,kgN,kgN,kgN,kgN,kgN,kgN,kgN,kgN,kgN,kgN,kgN,kgN,kgN,kgWater,kgWater,kgWater,kgP,kgP, kgC

  1,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.0000, 351.68, 222.24,   0.00, 2.4459,0.00072,0.00000,0.00000,   4.64,   0.00,  30.57,   0.00,  22.01,   0.00,   0.00,   0.00,   0.00,   0.00, 131.63,26596.25,   0.00,   0.00,   0.00,   0.00
  2,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.0000, 709.59, 450.88,   0.00, 4.6535,0.01760,0.00000,0.14424,   9.21,   0.00,  58.17,   2.13,  41.88,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,44109.43,   0.00,   0.00,   0.00,   0.00
  3,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.0000,1074.28, 686.17,   0.00, 6.7993,0.00176,0.00000,0.00156,  13.85,   0.00,  84.99,   4.49,  61.19,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,61652.85,   0.00,   0.00,   0.00,   0.00
  4,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.0000,1434.62, 916.05,   0.00, 8.8292,0.03057,0.00000,0.26399,  18.46,   0.00, 110.37,   6.49,  79.46,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,79357.27,   0.00,   0.00,   0.00,   0.00
  5,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.0000,1796.18,1147.08,   0.00,10.8028,0.04849,0.00000,0.42672,  23.14,   0.00, 135.04,   8.33,  97.23,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,97092.88,   0.00,   0.00,   0.00,   0.00
  6,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.0000,2136.90,1358.80,   0.00,12.6325,0.09216,0.00000,0.81524,  27.69,   0.00, 157.91,   9.63, 113.69,   0.00,   0.00,   0.00,   0.00,   0.00,4445.64,110203.44,   0.00,   0.00,   0.00,   0.00
  7,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.0000,2448.31,1541.55,   0.00,14.3471,0.12779,0.00000,1.13327,  32.18,   0.00, 179.34,  10.49, 129.12,   0.00,   0.00,   0.00,   0.00,   0.00,11740.16,117204.30,   0.00,   0.00,   0.00,   0.00
  8,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.0000,2728.87,1693.60,   0.00,16.0109,0.15663,0.00000,1.39322,  36.71,   0.00, 200.14,  11.06, 144.10,   0.00,   0.00,   0.00,   0.00,   0.00,17560.27,117200.99,   0.00,   0.00,   0.00,   0.00
  9,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.0000,3053.32,1889.98,   0.00,17.5830,0.11419,0.00000,1.01235,  41.14,   0.00, 219.79,  12.09, 158.25,   0.00,   0.00,   0.00,   0.00,   0.00,8823.57,135116.62,   0.00,   0.00,   0.00,   0.00
 10,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.0000,3402.53,2111.22,   0.00,19.1147,0.07691,0.00000,0.68354,  45.62,   0.00, 238.93,  13.57, 172.03,   0.00,   0.00,   0.00,   0.00,   0.00,1756.66,150929.11,   0.00,   0.00,   0.00,   0.00
 11,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.0000,3745.15,2325.02,   0.00,20.5778,0.09421,0.00000,0.83778,  50.07,   0.00, 257.22,  14.85, 185.20,   0.00,   0.00,   0.00,   0.00,   0.00,4717.24,225945.09,   0.00,   0.00,   0.00,   0.00
 12,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.0000,4096.26,2548.69,   0.00,21.9892,0.07746,0.00000,0.69065,  54.51,   0.00, 274.86,  16.34, 197.90,   0.00,   0.00,   0.00,   0.00,   0.00,1756.66,243786.57,   0.00,   0.00,   0.00,   0.00
