Daily lagoon/slurry C and N dynamics at FarmTest1 in year 1
Unit: per lagoon

Day,T_air,T_1cm,T_20cm,T_40cm,T_60cm,T_80cm,CO2-flux,CH4-flux,MOC-pool,DOC-pool,Removed_C,NH3-flux,N2O-flux,NO-flux,N2-flux,MON-pool,Urea-pool,NH4-pool,NO3-pool,NH3-pool,NO2-pool,NO-pool,N2O-pool,N2-pool,Removed_N,Evaporation,Water-pool,Removed_water,Lagoon_P,Removed_P,Crust-C
 13,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.0000,4448.76,2774.27,   0.00,23.3054,0.06359,0.00000,0.56894,  58.86,   0.00, 291.32,  17.96, 209.75,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,261371.75,   0.00,   0.00,   0.00,   0.00
 14,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.0000,4796.48,2995.62,   0.00,24.5356,0.06693,0.00000,0.59999,  63.10,   0.00, 306.69,  19.51, 220.82,   0.00,   0.00,   0.00,   0.00,   0.00, 486.59,295652.01,   0.00,   0.00,   0.00,   0.00
 15,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.0000,5152.56,3225.68,   0.00,25.7401,0.05066,0.00000,0.45682,  67.36,   0.00, 321.75,  21.27, 231.66,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,315234.50,   0.00,   0.00,   0.00,   0.00
 16,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.0000,5508.36,3456.04,   0.00,26.8585,0.03731,0.00000,0.33865,  71.53,   0.00, 335.73,  23.16, 241.73,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,332802.31,   0.00,   0.00,   0.00,   0.00
 17,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.0000,5865.57,3688.09,   0.00,27.9594,0.05089,0.00000,0.46181,  75.71,   0.00, 349.49,  24.93, 251.63,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,350400.26,   0.00,   0.00,   0.00,   0.00
 18,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.0000,6217.86,3915.74,   0.00,28.9869,0.06201,0.00000,0.56219,  79.80,   0.00, 362.34,  26.56, 260.88,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,367995.05,   0.00,   0.00,   0.00,   0.00
 19,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.0000,6579.00,4152.54,   0.00,30.0045,0.04102,0.00000,0.37658,  83.91,   0.00, 375.06,  28.45, 270.04,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,385621.22,   0.00,   0.00,   0.00,   0.00
 20,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.0000,6940.34,4390.19,   0.00,30.9457,0.01782,0.00000,0.16746,  87.92,   0.00, 386.82,  30.59, 278.51,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,403231.27,   0.00,   0.00,   0.00,   0.00
 21,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.0000,7298.51,4625.32,   0.00,31.8150,0.02040,0.00000,0.19289,  91.81,   0.00, 397.69,  32.66, 286.33,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,420826.25,   0.00,   0.00,   0.00,   0.00
 22,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.0000,7656.69,4860.88,   0.00,32.6767,0.04503,0.00000,0.41791,  95.72,   0.00, 408.46,  34.49, 294.09,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,438437.06,   0.00,   0.00,   0.00,   0.00
 23,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.0000,8013.63,5095.86,   0.00,33.4713,0.03601,0.00000,0.33821,  99.52,   0.00, 418.39,  36.39, 301.24,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,456033.38,   0.00,   0.00,   0.00,   0.00
 24,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.0000,8372.91,5334.74,   0.00,34.2518,0.02783,0.00000,0.26545, 103.31,   0.00, 428.15,  38.40, 308.27,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,474693.67,   0.00,   0.00,   0.00,   0.00
 25,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.0000,8731.51,5572.31,   0.00,34.9982,0.03331,0.00000,0.31716, 107.02,   0.00, 437.48,  40.34, 314.98,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,499514.09,   0.00,   0.00,   0.00,   0.00
 26,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.0000,9092.30,5812.39,   0.00,35.7327,0.04395,0.00000,0.41507, 110.75,   0.00, 446.66,  42.19, 321.59,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,519165.71,   0.00,   0.00,   0.00,   0.00
 27,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.0000,9450.83,6050.86,   0.00,36.4026,0.04058,0.00000,0.38644, 114.37,   0.00, 455.03,  44.05, 327.62,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,538004.36,   0.00,   0.00,   0.00,   0.00
 28,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.0000,9803.87,6284.46,   0.00,37.0053,0.05299,0.00000,0.49901, 117.90,   0.00, 462.57,  45.75, 333.05,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,555629.10,   0.00,   0.00,   0.00,   0.00
 29,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.0000,10158.57,6520.06,   0.00,37.6510,0.06407,0.00000,0.59886, 121.45,   0.00, 470.64,  47.35, 338.86,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,593683.69,   0.00,   0.00,   0.00,   0.00
 30,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.0000,10504.13,6748.58,   0.00,38.1931,0.06967,0.00000,0.65015, 124.83,   0.00, 477.41,  48.84, 343.74,   0.00,   0.00,   0.00,   0.00,   0.00, 879.50,614247.09,   0.00,   0.00,   0.00,   0.00
 31,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.0000,10861.85,6989.55,   0.00,38.7328,0.03628,0.00000,0.35369, 128.24,   0.00, 484.16,  50.74, 348.59,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,631720.24,   0.00,   0.00,   0.00,   0.00
 32,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.0000,11216.30,7226.54,   0.00,39.2781,0.05636,0.00000,0.53517, 131.60,   0.00, 490.98,  52.41, 353.50,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,807757.56,   0.00,   0.00,   0.00,   0.00
 33,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.0000,11572.72,7465.77,   0.00,39.8186,0.06610,0.00000,0.62307, 134.99,   0.00, 497.73,  54.00, 358.37,   0.00,   0.00,   0.00,   0.00,   0.00, 137.32,830489.04,   0.00,   0.00,   0.00,   0.00
 34,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.0000,11926.35,7702.76,   0.00,40.2806,0.06536,0.00000,0.61803, 138.27,   0.00, 503.51,  55.58, 362.52,   0.00,   0.00,   0.00,   0.00,   0.00, 137.32,848008.71,   0.00,   0.00,   0.00,   0.00
 35,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.3250,12274.71,7935.18,   0.00,40.6866,0.06870,0.00000,0.64921, 141.45,   0.00, 508.58,  57.08, 366.18,   0.00,   0.00,   0.00,   0.00,   0.00, 682.57,864949.43,   0.00,   0.00,   0.00,   0.00
 36,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.3439,12617.67,8163.53,   0.00,41.1435,0.08663,0.00000,0.80940, 144.62,   0.00, 514.29,  58.40, 370.29,   0.00,   0.00,   0.00,   0.00,   0.00,3437.50,941013.21,   0.00,   0.00,   0.00,   0.00
 37,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.3635,12963.88,8395.74,   0.00,41.5482,0.06840,0.00000,0.64934, 147.70,   0.00, 519.35,  59.89, 373.93,   0.00,   0.00,   0.00,   0.00,   0.00, 682.57,1050203.41,   0.00,   0.00,   0.00,   0.00
 38,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.3840,13318.33,8636.38,   0.00,41.9231,0.05362,0.00000,0.51951, 150.79,   0.00, 524.04,  61.59, 377.31,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,1069706.42,   0.00,   0.00,   0.00,   0.00
 39,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.4051,13673.36,8876.69,   0.00,42.2736,0.05347,0.00000,0.51978, 153.85,   0.00, 528.42,  63.28, 380.46,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,1087382.23,   0.00,   0.00,   0.00,   0.00
 40,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.4268,14029.63,9118.39,   0.00,42.6648,0.06611,0.00000,0.63354, 156.95,   0.00, 533.31,  64.86, 383.98,   0.00,   0.00,   0.00,   0.00,   0.00, 137.32,1110951.92,   0.00,   0.00,   0.00,   0.00
 41,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.4493,14389.95,9364.60,   0.00,42.9993,0.02929,0.00000,0.30535, 159.94,   0.00, 537.49,  66.84, 386.99,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,1132641.45,   0.00,   0.00,   0.00,   0.00
 42,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.4722,14746.22,9608.61,   0.00,43.2645,0.01053,0.00000,0.13699, 162.81,   0.00, 540.81,  68.97, 389.38,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,1150120.84,   0.00,   0.00,   0.00,   0.00
 43,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.4959,15106.22,9856.32,   0.00,43.5935,0.01351,0.00000,0.16581, 165.72,   0.00, 544.92,  71.11, 392.34,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,1200044.30,   0.00,   0.00,   0.00,   0.00
 44,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.5198,15458.29,10096.55,   0.00,43.8797,0.04416,0.00000,0.44608, 168.54,   0.00, 548.50,  72.87, 394.92,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,1238739.91,   0.00,   0.00,   0.00,   0.00
 45,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.5445,15815.16,10341.63,   0.00,44.1457,0.04210,0.00000,0.42901, 171.42,   0.00, 551.82,  74.68, 397.31,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,1260265.39,   0.00,   0.00,   0.00,   0.00
 46,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.5697,16171.74,10585.42,   0.00,44.3949,0.04778,0.00000,0.48158, 174.27,   0.00, 554.94,  76.43, 399.55,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,1279154.73,   0.00,   0.00,   0.00,   0.00
 47,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.5960,16536.13,10837.04,   0.00,44.6943,0.02535,0.00000,0.28026, 177.18,   0.00, 558.68,  78.46, 402.25,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,1306075.18,   0.00,   0.00,   0.00,   0.00
 48,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.6222,16888.93,11078.56,   0.00,44.9095,0.05626,0.00000,0.56044, 179.98,   0.00, 561.37,  80.10, 404.19,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,1327616.20,   0.00,   0.00,   0.00,   0.00
 49,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.6479,17222.26,11301.02,   0.00,45.0774,0.09662,0.00000,0.91947, 182.69,   0.00, 563.47,  81.25, 405.70,   0.00,   0.00,   0.00,   0.00,   0.00,5506.56,1339616.58,   0.00,   0.00,   0.00,   0.00
 50,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.6754,17577.39,11545.11,   0.00,45.2791,0.04767,0.00000,0.48688, 185.47,   0.00, 565.99,  82.99, 407.51,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,1357168.55,   0.00,   0.00,   0.00,   0.00
 51,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.7035,17931.58,11788.51,   0.00,45.4396,0.03298,0.00000,0.35625, 188.16,   0.00, 567.99,  84.86, 408.96,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,1376701.13,   0.00,   0.00,   0.00,   0.00
 52,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.7324,18291.03,12037.17,   0.00,45.6310,0.02355,0.00000,0.27205, 190.92,   0.00, 570.39,  86.87, 410.68,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,1395449.35,   0.00,   0.00,   0.00,   0.00
 53,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.7617,18649.00,12283.15,   0.00,45.8376,0.03912,0.00000,0.41554, 193.67,   0.00, 572.97,  88.70, 412.54,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,1426372.97,   0.00,   0.00,   0.00,   0.00
 54,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.7919,19009.27,12532.63,   0.00,46.0259,0.03086,0.00000,0.34220, 196.45,   0.00, 575.32,  90.65, 414.23,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,1443947.21,   0.00,   0.00,   0.00,   0.00
 55,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.8221,19362.32,12775.07,   0.00,46.1687,0.05029,0.00000,0.51919, 199.15,   0.00, 577.11,  92.33, 415.52,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,1463504.65,   0.00,   0.00,   0.00,   0.00
 56,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.8533,19719.93,13021.90,   0.00,46.3453,0.04990,0.00000,0.51600, 201.91,   0.00, 579.16,  94.21, 417.11,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,1481093.19,   0.00,   0.00,   0.00,   0.00
 57,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.8847,20073.05,13264.38,   0.00,46.5312,0.05666,0.00000,0.57664, 204.64,   0.00, 581.33,  96.15, 418.78,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,1545468.49,   0.00,   0.00,   0.00,   0.00
 58,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.9168,20428.14,13508.95,   0.00,46.6256,0.03210,0.00000,0.35685, 207.30,   0.00, 582.35,  98.50, 419.63,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,1564228.52,   0.00,   0.00,   0.00,   0.00
 59,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.9500,20790.29,13760.46,   0.00,46.7464,0.00254,0.00000,0.08936, 210.02,   0.00, 583.69, 101.40, 420.72,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,1583004.39,   0.00,   0.00,   0.00,   0.00
 60,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 0.9835,21149.14,14008.72,   0.00,46.8272,0.00725,0.00000,0.13323, 212.71,   0.00, 584.52, 104.38, 421.44,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,1609774.31,   0.00,   0.00,   0.00,   0.00
 61,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 1.0174,21504.69,14253.45,   0.00,46.9289,0.05643,0.00000,0.57854, 215.47,   0.00, 585.61, 107.03, 422.36,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,1632574.76,   0.00,   0.00,   0.00,   0.00
 62,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 1.0518,21859.89,14497.90,   0.00,46.9924,0.04446,0.00000,0.47305, 218.18,   0.00, 586.22, 109.97, 422.93,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,1650161.48,   0.00,   0.00,   0.00,   0.00
 63,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 1.0858,22202.60,14729.62,   0.00,47.0761,0.09648,0.00000,0.93545, 220.96,   0.00, 587.08, 112.54, 423.68,   0.00,   0.00,   0.00,   0.00,   0.00,4717.24,1665062.07,   0.00,   0.00,   0.00,   0.00
 64,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 1.1203,22543.93,14960.03,   0.00,47.1805,0.09264,0.00000,0.90240, 223.69,   0.00, 588.18, 115.33, 424.62,   0.00,   0.00,   0.00,   0.00,   0.00,4185.61,1725281.13,   0.00,   0.00,   0.00,   0.00
 65,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 1.1559,22892.64,15197.89,   0.00,47.2387,0.06320,0.00000,0.64274, 226.37,   0.00, 588.71, 118.63, 425.15,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,1792467.47,   0.00,   0.00,   0.00,   0.00
 66,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 1.1921,23241.06,15436.59,   0.00,47.2436,0.06521,0.00000,0.66196, 229.07,   0.00, 588.56, 122.12, 425.19,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,1809889.16,   0.00,   0.00,   0.00,   0.00
 67,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 1.2287,23588.57,15673.13,   0.00,47.2914,0.07106,0.00000,0.71534, 231.79,   0.00, 588.95, 125.75, 425.62,   0.00,   0.00,   0.00,   0.00,   0.00, 682.57,1875591.68,   0.00,   0.00,   0.00,   0.00
 68,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 1.2665,23943.98,15917.27,   0.00,47.3659,0.05937,0.00000,0.61316, 234.58,   0.00, 589.66, 129.77, 426.29,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,1979607.49,   0.00,   0.00,   0.00,   0.00
 69,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 1.3049,24300.43,16162.48,   0.00,47.3502,0.04032,0.00000,0.44495, 237.32,   0.00, 589.24, 134.21, 426.15,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,1999210.62,   0.00,   0.00,   0.00,   0.00
 70,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 1.3442,24660.54,16411.08,   0.00,47.3622,0.04259,0.00000,0.46761, 240.15,   0.00, 589.16, 138.88, 426.26,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,2016845.06,   0.00,   0.00,   0.00,   0.00
 71,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 1.3834,25013.10,16652.15,   0.00,47.3304,0.06243,0.00000,0.64711, 242.93,   0.00, 588.54, 143.52, 425.97,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,2034463.07,   0.00,   0.00,   0.00,   0.00
 72,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 1.4230,25361.60,16890.41,   0.00,47.2441,0.05302,0.00000,0.56608, 245.62,   0.00, 587.23, 148.45, 425.20,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,2061099.55,   0.00,   0.00,   0.00,   0.00
 73,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 1.4634,25714.35,17132.61,   0.00,47.1921,0.05413,0.00000,0.57853, 248.39,   0.00, 586.34, 153.64, 424.73,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,2080565.60,   0.00,   0.00,   0.00,   0.00
 74,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 1.5034,26055.79,17362.20,   0.00,47.1247,0.09168,0.00000,0.91415, 251.18,   0.00, 585.26, 158.64, 424.12,   0.00,   0.00,   0.00,   0.00,   0.00,3681.52,2106512.75,   0.00,   0.00,   0.00,   0.00
 75,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 1.5445,26405.27,17599.56,   0.00,47.0873,0.08312,0.00000,0.84108, 254.05,   0.00, 584.54, 164.02, 423.79,   0.00,   0.00,   0.00,   0.00,   0.00,1987.77,2122184.56,   0.00,   0.00,   0.00,   0.00
 76,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 1.5864,26756.66,17838.87,   0.00,47.0122,0.06654,0.00000,0.69715, 256.86,   0.00, 583.35, 169.81, 423.11,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,2139826.39,   0.00,   0.00,   0.00,   0.00
 77,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 1.6294,27114.51,18084.33,   0.00,46.9679,0.05750,0.00000,0.62012, 259.75,   0.00, 582.54, 175.99, 422.71,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,2157499.41,   0.00,   0.00,   0.00,   0.00
 78,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 1.6720,27460.53,18319.32,   0.00,46.8649,0.07682,0.00000,0.79531, 262.56,   0.00, 581.00, 182.16, 421.78,   0.00,   0.00,   0.00,   0.00,   0.00,1098.20,2179080.99,   0.00,   0.00,   0.00,   0.00
 79,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 1.7145,27799.38,18547.13,   0.00,46.7863,0.08760,0.00000,0.89439, 265.33,   0.00, 579.75, 188.43, 421.08,   0.00,   0.00,   0.00,   0.00,   0.00,2939.26,2276807.49,   0.00,   0.00,   0.00,   0.00
 80,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 1.7569,28149.47,18768.00,   0.00,46.6833,0.06909,0.00000,0.73409, 269.97,   0.00, 578.20, 195.22, 420.15,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,2298303.10,   0.00,   0.00,   0.00,   0.00
 81,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 1.8000,28502.83,18991.07,   0.00,46.5652,0.05616,0.00000,0.62341, 274.59,   0.00, 576.45, 202.41, 419.09,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,2315944.45,   0.00,   0.00,   0.00,   0.00
 82,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 1.8440,28860.42,19218.14,   0.00,46.4777,0.05577,0.00000,0.62434, 279.29,   0.00, 575.07, 209.93, 418.30,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,2333616.61,   0.00,   0.00,   0.00,   0.00
 83,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 1.8883,29215.75,19443.06,   0.00,46.3553,0.05264,0.00000,0.60128, 283.93,   0.00, 573.26, 217.73, 417.20,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,2351275.23,   0.00,   0.00,   0.00,   0.00
