Indoor	climate	for	Barn	1
154	26.7	60	4.6	
155	26.7	60	6.6	
156	26.7	60	7.8	
157	26.7	60	6.9	
158	26.7	60	6.7	
159	26.8	60	7.1	
160	27.7	60	8	
161	28.4	60	8.7	
162	29	60	9.6	
163	29.9	60	10.4	
164	28.8	60	9.8	
165	29.1	60	9	
166	29.2	60	12	
167	26.7	60	11.2	
168	26.7	60	7.8	
169	26.7	60	7.4	
170	26.7	60	12.1	
171	26.8	60	10.5	
172	27.1	60	14.1	
173	26.7	60	8.5	
174	27.2	60	11.4	
175	26.7	60	9.6	
176	28.3	60	11.8	
177	29.9	60	13.8	
178	30	60	16.6	
179	31.4	60	17.9	
180	31	60	15.3	
181	28.3	60	10.6	
182	31.5	60	16.8	
183	29.5	60	19.4	
184	28.6	60	16.3	
185	28.1	60	10.1	
186	27.3	60	14.5	
187	28.7	60	19.1	
188	29.8	60	17.2	
189	29.5	60	21.5	
190	29.2	60	16.7	
191	26.7	60	10.8	
192	26.9	60	9.7	
193	27.3	60	9.2	
194	27.6	60	10.2	
195	28.2	60	11.5	
196	28.4	60	12.7	
197	29.5	60	15.5	
198	29.9	60	16	
199	27.8	60	20.6	
200	27.7	60	17.8	
201	29.2	60	20.5	
202	31.3	60	19.6	
203	27.3	60	13.1	
204	26.7	60	8.5	
205	26.7	60	10.5	
206	26.8	60	14	
207	29.4	60	14.8	
208	27.8	60	16.5	
209	29	60	13.9	
210	28	60	13.6	
211	29.3	60	14.1	
212	29.4	60	18.9	
213	29.5	60	15.7	
214	31.2	60	15.7	
215	30.6	60	17.3	
216	27.7	60	10.9	
217	27.9	60	7.8	
218	28.2	60	8.6	
219	29.8	60	12.2	
220	29.7	60	15.8	
221	28.8	60	15.5	
222	27.6	60	11.9	
223	26.7	60	11.5	
224	27	60	11.4	
225	26.7	60	7.6	
226	26.7	60	7.6	
227	27.1	60	8.5	
228	28	60	11	
229	27.6	60	13.5	
230	26.7	60	13.9	
231	27.2	60	14.8	
232	27.5	60	11.2	
233	26.7	60	8.1	
234	26.7	60	7	
235	26.7	60	7.4	
236	26.7	60	9.6	
237	26.9	60	15	
238	26.7	60	13.2	
239	27.5	60	8.8	
240	27.2	60	9	
241	27.2	60	9.4	
242	26.7	60	8.9	
243	26.9	60	9.1	
244	28.3	60	15	
245	28	60	12.7	
246	27.1	60	7.7	
247	27.7	60	10.2	
248	27.4	60	12.2	
249	27.6	60	15.4	
250	29.4	60	15.2	
251	29.3	60	14.5	
252	29.1	60	14.7	
253	26.7	60	9.1	
254	26.7	60	7.2	
255	26.9	60	8.2	
256	26.7	60	8.8	
257	26.7	60	7.1	
258	26.7	60	5.6	
259	27.2	60	8.2	
260	26.8	60	9.6	
261	26.7	60	11.7	
262	26.7	60	10	
263	26.7	60	7.6	
264	26.7	60	5.3	
265	26.7	60	4	
266	26.7	60	4	
267	26.7	60	4.6	
268	26.7	60	4.9	
269	26.7	60	3.2	
270	26.7	60	4.4	
271	26.7	60	4.5	
272	26.7	60	6.5	
273	27.5	60	11.2	
274	26.7	60	4.3	
275	26.7	60	4.6	
276	26.7	60	6.2	
277	26.7	60	5.7	
278	26.7	60	7.5	
279	26.7	60	6.9	
280	26.7	60	3.9	
281	26.7	60	3.8	
282	26.7	60	6.3	
283	26.7	60	6	
284	26.7	60	7.2	
285	26.7	60	4.5	
286	26.7	60	3.6	
287	26.7	60	4.1	
288	26.7	60	7.2	
289	26.7	60	8.6	
290	26.7	60	9.6	
291	26.8	60	6.4	
292	26.7	60	4.5	
293	26.7	60	3.8	
294	26.7	60	3.8	
295	26.7	60	4.8	
296	26.7	60	4.7	
297	26.7	60	7.6	
298	26.7	60	6.2	
299	26.7	60	4.8	
300	26.7	60	5.8	
301	26.7	60	5.1	
302	26.7	60	6.2	
303	26.8	60	6.9	
304	26.7	60	3.9	
305	26.7	60	4.3	
306	26.6	60	2.8	
307	25.8	60	2.8	
308	26.7	60	4	
309	26.7	60	3.5	
310	26.6	60	3.2	
311	26.7	60	4.4	
312	26.7	60	3.3	
313	26.7	60	3.1	
314	26.7	60	2.5	
315	26.5	60	2.6	
316	25.9	60	2.3	
317	26.6	60	2.6	
318	26.7	60	2.6	
319	26.2	60	2.4	
320	25.5	60	2.4	
321	25.4	60	2.3	
322	25.3	60	2.3	
323	26.5	60	2.9	
324	26.7	60	2.9	
325	25.1	60	2.5	
326	26.6	60	2.5	
327	23.8	60	2.3	
328	24	60	2.4	
329	22.9	60	2.3	
330	26.7	60	2.8	
331	26.7	60	3	
332	26.4	60	2.5	
333	26	60	2.5	
334	25	60	2.6	
335	21.7	60	2.3	
336	18.5	60	2.3	
337	19.2	60	2.3	
338	16.5	60	2.3	
339	15.6	60	2.3	
340	15.6	60	2.3	
341	17	60	2.3	
342	18.4	60	2.3	
343	18.5	60	2.3	
344	24.9	60	2.4	
345	20.8	60	2.3	
346	23.6	60	2.3	
347	26.6	60	2.4	
348	26.7	60	2.4	
349	24.1	60	2.3	
350	20.3	60	2.3	
351	16.1	60	2.3	
352	15.6	60	2.3	
353	16.5	60	2.3	
354	18.6	60	2.3	
355	18.6	60	2.3	
356	25.7	60	2.6	
357	26.7	60	2.8	
358	26.7	60	2.7	
359	26.7	60	2.7	
360	26.7	60	2.5	
361	26.7	60	2.5	
362	26.7	60	2.6	
363	26.7	60	2.5	
364	26.7	60	2.6	
365	26.7	60	2.4	
