Indoor	climate	for	Barn	1
Day	Indoor_temperature_DegreeC	RelativeHumidity_%	Air_flow_m/second	
1	20.6	60	2.3	
2	17	60	2.3	
3	15.6	60	2.3	
4	22.2	60	2.4	
5	22.9	60	2.4	
6	16	60	2.3	
7	19.9	60	2.3	
8	26.7	60	2.8	
9	21.5	60	2.3	
10	15.6	60	2.3	
11	15.9	60	2.3	
12	15.6	60	2.3	
13	15.6	60	2.3	
14	18.9	60	2.3	
15	17.6	60	2.3	
16	22.4	60	2.3	
17	21.1	60	2.3	
18	20.2	60	2.3	
19	20	60	2.3	
20	20.7	60	2.3	
21	26	60	2.4	
22	21.1	60	2.3	
23	19	60	2.3	
24	23.6	60	2.3	
25	26	60	2.4	
26	26.7	60	2.8	
27	26.7	60	2.7	
28	26.4	60	2.4	
29	26.7	60	2.5	
30	26.7	60	2.7	
31	26.6	60	2.6	
32	23.6	60	2.3	
33	26.3	60	2.4	
34	17.4	60	2.3	
35	18.1	60	2.3	
36	26.1	60	2.3	
37	26.5	60	2.4	
38	22.7	60	2.3	
39	21.8	60	2.3	
40	26.1	60	2.4	
41	21.6	60	2.3	
42	24.8	60	2.3	
43	20.2	60	2.3	
44	22.3	60	2.3	
45	18.5	60	2.3	
46	16.5	60	2.3	
47	21.8	60	2.3	
48	23.4	60	2.3	
49	26.6	60	2.7	
50	26.7	60	2.8	
51	26.7	60	2.7	
52	26.6	60	2.6	
53	26.6	60	2.6	
54	26.7	60	2.8	
55	26.7	60	2.7	
56	26.2	60	2.5	
57	26.1	60	2.6	
58	26.7	60	2.8	
59	26.6	60	3.2	
60	16.9	60	2.3	
61	20.6	60	2.3	
62	24.4	60	2.5	
63	25.4	60	2.4	
64	25.2	60	2.3	
65	22.7	60	2.3	
66	16.5	60	2.3	
67	15.9	60	2.3	
68	21.3	60	2.3	
69	26.7	60	3.1	
70	26.7	60	4.1	
71	26.7	60	4.7	
72	26.7	60	4.2	
73	26.7	60	3.8	
74	26.7	60	4.4	
75	26.7	60	6	
76	26.7	60	3.9	
77	26.7	60	3.3	
78	26.7	60	3.2	
79	26.7	60	2.9	
80	26.7	60	3.1	
81	26.7	60	3.1	
82	26.7	60	3.2	
83	26.7	60	3.6	
84	26.7	60	3.1	
85	26.7	60	3.4	
86	26.7	60	3	
87	26.7	60	2.7	
88	26.7	60	2.7	
89	26.7	60	2.5	
90	26.7	60	2.5	
91	26.7	60	2.9	
92	26.7	60	4.9	
93	25.5	60	3.5	
94	23.4	60	2.3	
95	26.7	60	3.9	
96	26.7	60	3.2	
97	26.7	60	3	
98	26.7	60	2.8	
99	26.7	60	2.5	
100	26.7	60	2.4	
101	26.7	60	2.6	
102	26.7	60	2.7	
103	26.7	60	3.7	
104	26.7	60	4.1	
105	26.7	60	3.7	
106	26.7	60	3.1	
107	26.7	60	3.3	
108	26.7	60	3.1	
109	26.7	60	3.5	
110	26.7	60	3	
111	26.7	60	3.4	
112	26.7	60	3.8	
113	26.7	60	4.5	
114	26.7	60	3.7	
115	26.7	60	4.5	
116	26.7	60	3.3	
117	26.7	60	3.6	
118	26.7	60	4.6	
119	26.7	60	4	
120	26.7	60	4.1	
121	26.7	60	4	
122	26.7	60	3.7	
123	26.7	60	4.8	
124	26.7	60	5.8	
125	26.8	60	6.3	
126	26.7	60	7.6	
127	26.7	60	5.4	
128	26.7	60	5.5	
129	27.5	60	7.7	
130	26.7	60	7	
131	26.7	60	10.8	
132	26.9	60	10.8	
133	26.7	60	3.9	
134	26.7	60	4.1	
135	26.7	60	5.1	
136	26.7	60	8.9	
137	26.7	60	8.4	
138	26.7	60	6.5	
139	26.8	60	8.7	
140	26.7	60	10.2	
141	26.7	60	6	
142	26.7	60	7	
143	26.7	60	5	
144	26.7	60	4.8	
145	26.7	60	5.9	
146	26.7	60	8	
147	26.7	60	7.5	
148	26.7	60	7.8	
149	26.7	60	5.9	
150	26.7	60	8.8	
151	26.7	60	8.2	
152	26.7	60	8.4	
153	26.7	60	6.3	
