Daily C pools (kg C/ha) and fluxes (kg C/ha/day) at site boone3 in year 1
Day,Very labile litter,Labile litter,Resistant litter,Microbe,Humads,Humus,CharC,SOC,SOC0-10cm, SOC10-20cm,SOC20-30cm,SOC30-40cm,SOC40-50cm,SOC0-10cm, SOC10-20cm,SOC20-30cm,SOC30-40cm,SOC40-50cm,dSOC,DOC,Photosynthesis,Leaf-respiration, Stem-respiration, Root-respiration,Soil-heterotrophic-respiration, NPP,Eco-respiration, NEE,Stub,CH4-prod.,CH4-oxid.,CH4-flux,CH4-pool,DOC-leach,Litter-C,Manure-C
 13,   0.00,   0.00, 424.73,   7.97, 774.97,41348.98,   0.00,42557.76,12470.42,12470.41,9502.27,5022.04,3092.63,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.01,   1.12,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00,   0.01,   0.01,   0.00,0.00000,-0.00034,-0.00034,   0.00,   0.00,   0.00,   0.00
 14,   0.00,   0.00, 424.69,   7.99, 774.92,41348.99,   0.00,42557.76,12470.42,12470.41,9502.27,5022.04,3092.63,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.01,   1.16,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00,   0.01,   0.01,   0.00,0.00000,-0.00031,-0.00031,   0.00,   0.00,   0.00,   0.00
 15,   0.00,   0.00, 424.65,   8.01, 774.87,41349.00,   0.00,42557.75,12470.41,12470.41,9502.27,5022.04,3092.63,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.00,   1.21,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00,   0.01,   0.01,   0.00,0.00000,-0.00029,-0.00029,   0.00,   0.00,   0.00,   0.00
 16,   0.00,   0.00, 424.61,   8.04, 774.82,41349.02,   0.00,42557.75,12470.41,12470.40,9502.27,5022.04,3092.63,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.01,   1.26,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00,   0.01,   0.01,   0.00,0.00000,-0.00028,-0.00028,   0.00,   0.00,   0.00,   0.00
 17,   0.00,   0.00, 424.57,   8.06, 774.77,41349.04,   0.00,42557.74,12470.41,12470.40,9502.27,5022.04,3092.63,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.01,   1.30,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00,   0.01,   0.01,   0.00,0.00000,-0.00027,-0.00027,   0.00,   0.00,   0.00,   0.00
 18,   0.00,   0.00, 424.53,   8.08, 774.73,41349.05,   0.00,42557.73,12470.41,12470.40,9502.26,5022.03,3092.63,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.01,   1.34,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00,   0.01,   0.01,   0.00,0.00000,-0.00025,-0.00025,   0.00,   0.00,   0.00,   0.00
 19,   0.00,   0.00, 424.50,   8.10, 774.68,41349.06,   0.00,42557.73,12470.41,12470.40,9502.26,5022.03,3092.63,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.01,   1.38,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00,   0.01,   0.01,   0.00,0.00000,-0.00024,-0.00024,   0.00,   0.00,   0.00,   0.00
 20,   0.00,   0.00, 424.46,   8.12, 774.64,41349.07,   0.00,42557.72,12470.41,12470.39,9502.26,5022.03,3092.63,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.01,   1.42,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00,   0.01,   0.01,   0.00,0.00000,-0.00024,-0.00024,   0.00,   0.00,   0.00,   0.00
 21,   0.00,   0.00, 424.43,   8.14, 774.60,41349.09,   0.00,42557.71,12470.41,12470.39,9502.25,5022.03,3092.63,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.01,   1.46,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00,   0.01,   0.01,   0.00,0.00000,-0.00023,-0.00023,   0.00,   0.00,   0.00,   0.00
 22,   0.00,   0.00, 424.39,   8.16, 774.55,41349.10,   0.00,42557.71,12470.41,12470.39,9502.25,5022.03,3092.63,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.01,   1.50,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00,   0.01,   0.01,   0.00,0.00000,-0.00021,-0.00021,   0.00,   0.00,   0.00,   0.00
 23,   0.00,   0.00, 424.36,   8.18, 774.51,41349.10,   0.00,42557.70,12470.41,12470.38,9502.25,5022.03,3092.62,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.01,   1.54,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00,   0.01,   0.01,   0.00,0.00000,-0.00020,-0.00020,   0.00,   0.00,   0.00,   0.00
 24,   0.00,   0.00, 424.32,   8.20, 774.47,41349.12,   0.00,42557.69,12470.41,12470.38,9502.25,5022.03,3092.62,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.01,   1.57,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00,   0.01,   0.01,   0.00,0.00000,-0.00021,-0.00021,   0.00,   0.00,   0.00,   0.00
 25,   0.00,   0.00, 424.29,   8.22, 774.43,41349.13,   0.00,42557.68,12470.41,12470.38,9502.25,5022.03,3092.62,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.01,   1.61,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00,   0.01,   0.01,   0.00,0.00000,-0.00022,-0.00022,   0.00,   0.00,   0.00,   0.00
 26,   0.00,   0.00, 424.26,   8.24, 774.39,41349.14,   0.00,42557.67,12470.40,12470.37,9502.24,5022.03,3092.62,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.01,   1.64,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00,   0.01,   0.01,   0.00,0.00000,-0.00023,-0.00023,   0.00,   0.00,   0.00,   0.00
 27,   0.00,   0.00, 424.23,   8.26, 774.35,41349.14,   0.00,42557.66,12470.40,12470.37,9502.24,5022.03,3092.62,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.01,   1.68,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00,   0.01,   0.01,   0.00,0.00000,-0.00022,-0.00022,   0.00,   0.00,   0.00,   0.00
 28,   0.00,   0.00, 424.19,   8.28, 774.31,41349.17,   0.00,42557.65,12470.40,12470.37,9502.24,5022.02,3092.62,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.01,   1.71,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00,   0.01,   0.01,   0.00,0.00000,-0.00020,-0.00020,   0.00,   0.00,   0.00,   0.00
 29,   0.00,   0.00, 424.16,   8.30, 774.27,41349.18,   0.00,42557.64,12470.40,12470.37,9502.23,5022.02,3092.62,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.01,   1.74,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00,   0.01,   0.01,   0.00,0.00000,-0.00021,-0.00021,   0.00,   0.00,   0.00,   0.00
 30,   0.00,   0.00, 424.13,   8.31, 774.23,41349.18,   0.00,42557.63,12470.40,12470.36,9502.23,5022.02,3092.62,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.01,   1.77,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00,   0.01,   0.01,   0.00,0.00000,-0.00022,-0.00022,   0.00,   0.00,   0.00,   0.00
 31,   0.00,   0.00, 424.10,   8.33, 774.19,41349.20,   0.00,42557.62,12470.40,12470.36,9502.23,5022.02,3092.62,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.01,   1.80,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00,   0.01,   0.01,   0.00,0.00000,-0.00024,-0.00024,   0.00,   0.00,   0.00,   0.00
 32,   0.00,   0.00, 424.06,   7.85, 774.66,41349.21,   0.00,42557.61,12470.40,12470.35,9502.22,5022.02,3092.62,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.01,   1.84,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00,   0.01,   0.01,   0.00,0.00000,-0.00021,-0.00021,   0.00,   0.00,   0.00,   0.00
 33,   0.00,   0.00, 424.02,   7.85, 774.62,41349.22,   0.00,42557.60,12470.40,12470.35,9502.22,5022.02,3092.62,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.01,   1.88,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00,   0.01,   0.01,   0.00,0.00000,-0.00013,-0.00013,   0.00,   0.00,   0.00,   0.00
 34,   0.00,   0.00, 423.97,   7.88, 774.56,41349.25,   0.00,42557.59,12470.39,12470.34,9502.21,5022.02,3092.62,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.01,   1.93,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00,   0.01,   0.01,   0.00,0.00000,-0.00019,-0.00019,   0.00,   0.00,   0.00,   0.00
 35,   0.00,   0.00, 423.92,   7.86, 774.55,41349.27,   0.00,42557.57,12470.39,12470.34,9502.21,5022.02,3092.62,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.01,   1.99,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00,   0.01,   0.01,   0.00,0.00000,-0.00020,-0.00020,   0.00,   0.00,   0.00,   0.00
 36,   0.00,   0.00, 423.86,   7.89, 774.49,41349.28,   0.00,42557.56,12470.39,12470.33,9502.21,5022.01,3092.62,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.01,   2.05,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00,   0.01,   0.01,   0.00,0.00000,-0.00021,-0.00021,   0.00,   0.00,   0.00,   0.00
 37,   0.00,   0.00, 423.81,   7.92, 774.42,41349.29,   0.00,42557.55,12470.39,12470.33,9502.20,5022.01,3092.61,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.01,   2.11,   0.00,   0.00,   0.00,   0.00,   0.02,   0.00,   0.02,   0.02,   0.00,0.00000,-0.00020,-0.00020,   0.00,   0.00,   0.00,   0.00
 38,   0.00,   0.00, 423.75,   7.95, 774.35,41349.32,   0.00,42557.53,12470.39,12470.32,9502.20,5022.01,3092.61,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.02,   2.16,   0.00,   0.00,   0.00,   0.00,   0.02,   0.00,   0.02,   0.02,   0.00,0.00000,-0.00022,-0.00022,   0.00,   0.00,   0.00,   0.00
 39,   0.00,   0.00, 423.70,   7.98, 774.29,41349.33,   0.00,42557.51,12470.38,12470.32,9502.19,5022.01,3092.61,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.02,   2.22,   0.00,   0.00,   0.00,   0.00,   0.02,   0.00,   0.02,   0.02,   0.00,0.00000,-0.00023,-0.00023,   0.00,   0.00,   0.00,   0.00
 40,   0.00,   0.00, 423.65,   8.01, 774.22,41349.35,   0.00,42557.50,12470.38,12470.31,9502.19,5022.00,3092.61,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.02,   2.27,   0.00,   0.00,   0.00,   0.00,   0.02,   0.00,   0.02,   0.02,   0.00,0.00000,-0.00024,-0.00024,   0.00,   0.00,   0.00,   0.00
 41,   0.00,   0.00, 423.59,   8.04, 774.16,41349.36,   0.00,42557.48,12470.38,12470.30,9502.18,5022.00,3092.61,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.02,   2.32,   0.00,   0.00,   0.00,   0.00,   0.02,   0.00,   0.02,   0.02,   0.00,0.00000,-0.00025,-0.00025,   0.00,   0.00,   0.00,   0.00
 42,   0.00,   0.00, 423.54,   8.07, 774.09,41349.38,   0.00,42557.46,12470.38,12470.30,9502.17,5022.00,3092.61,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.02,   2.37,   0.00,   0.00,   0.00,   0.00,   0.02,   0.00,   0.02,   0.02,   0.00,0.00000,-0.00025,-0.00025,   0.00,   0.00,   0.00,   0.00
 43,   0.00,   0.00, 423.49,   8.10, 774.03,41349.40,   0.00,42557.44,12470.38,12470.29,9502.17,5022.00,3092.61,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.02,   2.42,   0.00,   0.00,   0.00,   0.00,   0.02,   0.00,   0.02,   0.02,   0.00,0.00000,-0.00025,-0.00025,   0.00,   0.00,   0.00,   0.00
 44,   0.00,   0.00, 423.44,   8.13, 773.97,41349.42,   0.00,42557.42,12470.38,12470.28,9502.16,5021.99,3092.61,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.02,   2.46,   0.00,   0.00,   0.00,   0.00,   0.02,   0.00,   0.02,   0.02,   0.00,0.00000,-0.00024,-0.00024,   0.00,   0.00,   0.00,   0.00
 45,   0.00,   0.00, 423.39,   8.16, 773.91,41349.43,   0.00,42557.40,12470.37,12470.28,9502.15,5021.99,3092.60,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.02,   2.50,   0.00,   0.00,   0.00,   0.00,   0.02,   0.00,   0.02,   0.02,   0.00,0.00000,-0.00023,-0.00023,   0.00,   0.00,   0.00,   0.00
 46,   0.00,   0.00, 423.35,   8.19, 773.85,41349.45,   0.00,42557.38,12470.37,12470.27,9502.14,5021.99,3092.60,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.02,   2.54,   0.00,   0.00,   0.00,   0.00,   0.02,   0.00,   0.02,   0.02,   0.00,0.00000,-0.00022,-0.00022,   0.00,   0.00,   0.00,   0.00
 47,   0.00,   0.00, 423.30,   8.21, 773.80,41349.46,   0.00,42557.36,12470.37,12470.26,9502.14,5021.99,3092.60,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.02,   2.58,   0.00,   0.00,   0.00,   0.00,   0.02,   0.00,   0.02,   0.02,   0.00,0.00000,-0.00021,-0.00021,   0.00,   0.00,   0.00,   0.00
 48,   0.00,   0.00, 423.25,   8.24, 773.74,41349.48,   0.00,42557.33,12470.37,12470.26,9502.13,5021.98,3092.60,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.02,   2.62,   0.00,   0.00,   0.00,   0.00,   0.02,   0.00,   0.02,   0.02,   0.00,0.00000,-0.00028,-0.00028,   0.00,   0.00,   0.00,   0.00
 49,   0.00,   0.00, 423.21,   8.26, 773.69,41349.50,   0.00,42557.31,12470.36,12470.25,9502.12,5021.98,3092.60,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.02,   2.66,   0.00,   0.00,   0.00,   0.00,   0.02,   0.00,   0.02,   0.02,   0.00,0.00000,-0.00034,-0.00034,   0.00,   0.00,   0.00,   0.00
 50,   0.00,   0.00, 423.16,   8.29, 773.63,41349.51,   0.00,42557.29,12470.36,12470.24,9502.12,5021.97,3092.60,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.02,   2.69,   0.00,   0.00,   0.00,   0.00,   0.03,   0.00,   0.03,   0.03,   0.00,0.00000,-0.00038,-0.00038,   0.00,   0.00,   0.00,   0.00
 51,   0.00,   0.00, 423.12,   8.32, 773.57,41349.52,   0.00,42557.26,12470.36,12470.23,9502.11,5021.97,3092.59,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.03,   2.73,   0.00,   0.00,   0.00,   0.00,   0.03,   0.00,   0.03,   0.03,   0.00,0.00000,-0.00041,-0.00041,   0.00,   0.00,   0.00,   0.00
 52,   0.00,   0.00, 423.07,   8.34, 773.52,41349.54,   0.00,42557.23,12470.35,12470.22,9502.10,5021.97,3092.59,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.03,   2.76,   0.00,   0.00,   0.00,   0.00,   0.03,   0.00,   0.03,   0.03,   0.00,0.00000,-0.00043,-0.00043,   0.00,   0.00,   0.00,   0.00
 53,   0.00,   0.00, 423.01,   7.85, 773.97,41349.55,   0.00,42557.20,12470.35,12470.21,9502.09,5021.96,3092.59,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.03,   2.81,   0.00,   0.00,   0.00,   0.00,   0.03,   0.00,   0.03,   0.03,   0.00,0.00000,-0.00022,-0.00022,   0.00,   0.00,   0.00,   0.00
 54,   0.00,   0.00, 422.94,   7.86, 773.92,41349.58,   0.00,42557.17,12470.35,12470.20,9502.08,5021.96,3092.59,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.03,   2.87,   0.00,   0.00,   0.00,   0.00,   0.03,   0.00,   0.03,   0.03,   0.00,0.00000,-0.00020,-0.00020,   0.00,   0.00,   0.00,   0.00
 55,   0.00,   0.00, 422.86,   7.90, 773.83,41349.61,   0.00,42557.15,12470.34,12470.20,9502.07,5021.95,3092.58,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.03,   2.95,   0.00,   0.00,   0.00,   0.00,   0.03,   0.00,   0.03,   0.03,   0.00,0.00000,-0.00028,-0.00028,   0.00,   0.00,   0.00,   0.00
 56,   0.00,   0.00, 422.78,   7.95, 773.73,41349.64,   0.00,42557.11,12470.34,12470.18,9502.06,5021.95,3092.58,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.03,   3.02,   0.00,   0.00,   0.00,   0.00,   0.03,   0.00,   0.03,   0.03,   0.00,0.00000,-0.00033,-0.00033,   0.00,   0.00,   0.00,   0.00
 57,   0.00,   0.00, 422.70,   8.00, 773.63,41349.66,   0.00,42557.08,12470.33,12470.17,9502.05,5021.94,3092.58,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.04,   3.09,   0.00,   0.00,   0.00,   0.00,   0.03,   0.00,   0.03,   0.03,   0.00,0.00000,-0.00035,-0.00035,   0.00,   0.00,   0.00,   0.00
 58,   0.00,   0.00, 422.62,   8.04, 773.53,41349.68,   0.00,42557.04,12470.33,12470.16,9502.04,5021.94,3092.58,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.03,   3.16,   0.00,   0.00,   0.00,   0.00,   0.04,   0.00,   0.04,   0.04,   0.00,0.00000,-0.00037,-0.00037,   0.00,   0.00,   0.00,   0.00
 59,   0.00,   0.00, 422.54,   8.09, 773.44,41349.71,   0.00,42557.01,12470.32,12470.15,9502.03,5021.93,3092.57,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.04,   3.23,   0.00,   0.00,   0.00,   0.00,   0.04,   0.00,   0.04,   0.04,   0.00,0.00000,-0.00039,-0.00039,   0.00,   0.00,   0.00,   0.00
 60,   0.00,   0.00, 422.47,   8.13, 773.34,41349.73,   0.00,42556.97,12470.32,12470.14,9502.02,5021.92,3092.57,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.04,   3.29,   0.00,   0.00,   0.00,   0.00,   0.04,   0.00,   0.04,   0.04,   0.00,0.00000,-0.00040,-0.00040,   0.00,   0.00,   0.00,   0.00
 61,   0.00,   0.00, 422.38,   7.86, 773.56,41349.76,   0.00,42556.93,12470.31,12470.13,9502.00,5021.92,3092.57,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.04,   3.36,   0.00,   0.00,   0.00,   0.00,   0.04,   0.00,   0.04,   0.04,   0.00,0.00000,-0.00022,-0.00022,   0.00,   0.00,   0.00,   0.00
 62,   0.00,   0.00, 422.30,   7.91, 773.45,41349.79,   0.00,42556.89,12470.31,12470.11,9501.99,5021.91,3092.56,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.04,   3.43,   0.00,   0.00,   0.00,   0.00,   0.04,   0.00,   0.04,   0.04,   0.00,0.00000,-0.00031,-0.00031,   0.00,   0.00,   0.00,   0.00
 63,   0.00,   0.00, 422.22,   7.96, 773.35,41349.82,   0.00,42556.85,12470.30,12470.10,9501.98,5021.90,3092.56,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.04,   3.50,   0.00,   0.00,   0.00,   0.00,   0.04,   0.00,   0.04,   0.04,   0.00,0.00000,-0.00035,-0.00035,   0.00,   0.00,   0.00,   0.00
 64,   0.00,   0.00, 422.13,   7.86, 773.40,41349.85,   0.00,42556.80,12470.30,12470.09,9501.96,5021.90,3092.56,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.05,   3.56,   0.00,   0.00,   0.00,   0.00,   0.04,   0.00,   0.04,   0.04,   0.00,0.00000,-0.00036,-0.00036,   0.00,   0.00,   0.00,   0.00
 65,   0.00,   0.00, 422.05,   7.91, 773.30,41349.88,   0.00,42556.75,12470.29,12470.07,9501.95,5021.89,3092.55,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.05,   3.62,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00,   0.05,   0.05,   0.00,0.00000,-0.00040,-0.00040,   0.00,   0.00,   0.00,   0.00
 66,   0.00,   0.00, 421.98,   7.95, 773.21,41349.89,   0.00,42556.71,12470.28,12470.06,9501.94,5021.88,3092.55,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.05,   3.67,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00,   0.05,   0.05,   0.00,0.00000,-0.00041,-0.00041,   0.00,   0.00,   0.00,   0.00
 67,   0.00,   0.00, 421.90,   7.99, 773.12,41349.91,   0.00,42556.66,12470.28,12470.04,9501.92,5021.87,3092.54,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.05,   3.72,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00,   0.05,   0.05,   0.00,0.00000,-0.00043,-0.00043,   0.00,   0.00,   0.00,   0.00
 68,   0.00,   0.00, 421.83,   8.03, 773.03,41349.95,   0.00,42556.61,12470.27,12470.03,9501.91,5021.87,3092.54,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.05,   3.76,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00,   0.05,   0.05,   0.00,0.00000,-0.00044,-0.00044,   0.00,   0.00,   0.00,   0.00
 69,   0.00,   0.00, 421.77,   8.07, 772.95,41349.96,   0.00,42556.56,12470.26,12470.02,9501.89,5021.86,3092.53,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.05,   3.80,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00,   0.05,   0.05,   0.00,0.00000,-0.00044,-0.00044,   0.00,   0.00,   0.00,   0.00
 70,   0.00,   0.00, 421.70,   8.11, 772.87,41349.99,   0.00,42556.51,12470.26,12470.00,9501.88,5021.85,3092.53,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.05,   3.84,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00,   0.05,   0.05,   0.00,0.00000,-0.00045,-0.00045,   0.00,   0.00,   0.00,   0.00
 71,   0.00,   0.00, 421.64,   8.15, 772.80,41350.01,   0.00,42556.46,12470.25,12469.99,9501.86,5021.84,3092.52,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.05,   3.87,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00,   0.05,   0.05,   0.00,0.00000,-0.00046,-0.00046,   0.00,   0.00,   0.00,   0.00
 72,   0.00,   0.00, 421.57,   7.85, 773.06,41350.03,   0.00,42556.40,12470.24,12469.97,9501.84,5021.83,3092.52,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.05,   3.90,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00,   0.05,   0.05,   0.00,0.00000,-0.00039,-0.00039,   0.00,   0.00,   0.00,   0.00
