Daily C pools (kg C/ha) and fluxes (kg C/ha/day) at site boone3 in year 1
Day,Very labile litter,Labile litter,Resistant litter,Microbe,Humads,Humus,CharC,SOC,SOC0-10cm, SOC10-20cm,SOC20-30cm,SOC30-40cm,SOC40-50cm,SOC0-10cm, SOC10-20cm,SOC20-30cm,SOC30-40cm,SOC40-50cm,dSOC,DOC,Photosynthesis,Leaf-respiration, Stem-respiration, Root-respiration,Soil-heterotrophic-respiration, NPP,Eco-respiration, NEE,Stub,CH4-prod.,CH4-oxid.,CH4-flux,CH4-pool,DOC-leach,Litter-C,Manure-C
  1,   0.00,   0.00, 425.44,   7.91, 775.49,41348.75,   0.00,42557.81,12470.43,12470.43,9502.28,5022.04,3092.63,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.04,   0.21,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,0.00000,-0.00234,-0.00234,   0.00,   0.04,   0.00,   0.00
  2,   0.00,   0.00, 425.35,   7.97, 775.37,41348.79,   0.00,42557.81,12470.42,12470.43,9502.28,5022.04,3092.63,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.00,   0.33,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,0.00000,-0.00032,-0.00032,   0.00,   0.00,   0.00,   0.00
  3,   0.00,   0.00, 425.27,   8.01, 775.28,41348.80,   0.00,42557.80,12470.42,12470.43,9502.28,5022.04,3092.63,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.00,   0.43,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,0.00000,-0.00041,-0.00041,   0.00,   0.00,   0.00,   0.00
  4,   0.00,   0.00, 425.20,   8.05, 775.19,41348.84,   0.00,42557.80,12470.42,12470.43,9502.28,5022.04,3092.63,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.00,   0.53,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,0.00000,-0.00059,-0.00059,   0.00,   0.00,   0.00,   0.00
  5,   0.00,   0.00, 425.13,   8.09, 775.11,41348.85,   0.00,42557.80,12470.42,12470.42,9502.28,5022.04,3092.63,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.00,   0.61,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,0.00000,-0.00059,-0.00059,   0.00,   0.00,   0.00,   0.00
  6,   0.00,   0.00, 425.07,   8.13, 775.03,41348.87,   0.00,42557.79,12470.42,12470.42,9502.28,5022.04,3092.63,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.00,   0.69,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,0.00000,-0.00055,-0.00055,   0.00,   0.00,   0.00,   0.00
  7,   0.00,   0.00, 425.02,   8.16, 774.96,41348.88,   0.00,42557.79,12470.42,12470.42,9502.28,5022.04,3092.63,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.00,   0.76,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,0.00000,-0.00051,-0.00051,   0.00,   0.00,   0.00,   0.00
  8,   0.00,   0.00, 424.97,   8.19, 774.90,41348.91,   0.00,42557.79,12470.42,12470.42,9502.28,5022.04,3092.63,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.00,   0.83,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,0.00000,-0.00048,-0.00048,   0.00,   0.00,   0.00,   0.00
  9,   0.00,   0.00, 424.91,   7.86, 775.20,41348.93,   0.00,42557.79,12470.42,12470.42,9502.28,5022.04,3092.63,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.00,   0.89,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,0.00000,-0.00041,-0.00041,   0.00,   0.00,   0.00,   0.00
 10,   0.00,   0.00, 424.87,   7.89, 775.13,41348.94,   0.00,42557.78,12470.42,12470.42,9502.28,5022.04,3092.63,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.00,   0.95,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,0.00000,-0.00041,-0.00041,   0.00,   0.00,   0.00,   0.00
 11,   0.00,   0.00, 424.82,   7.92, 775.08,41348.96,   0.00,42557.77,12470.42,12470.42,9502.27,5022.04,3092.63,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.01,   1.01,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00,   0.01,   0.01,   0.00,0.00000,-0.00038,-0.00038,   0.00,   0.00,   0.00,   0.00
 12,   0.00,   0.00, 424.77,   7.94, 775.02,41348.97,   0.00,42557.77,12470.42,12470.41,9502.27,5022.04,3092.63,  0.010,  0.010,  0.008,  0.004,  0.002,  -0.00,   1.06,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00,   0.01,   0.01,   0.00,0.00000,-0.00036,-0.00036,   0.00,   0.00,   0.00,   0.00
